hunt_code,hunt_name,species,reported_hunt_years,classification,active_2026_database,row_count
BR7020,Monroe,Black Bear,2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7100,Beaver,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7101,"Book Cliffs, Bitter Creek/South",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7102,"Book Cliffs, Little Creek Roadless",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7104,"Manti, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7105,"Manti, South/San Rafael, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7106,Nebo,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7108,La Sal,Black Bear,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
BR7109,Mt Dutton,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7110,Nine Mile,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7111,"North Slope, Three Corners/West Daggett",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7112,Panguitch Lake/Zion,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7113,Paunsaugunt,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7114,Boulder/Kaiparowits,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7115,Fishlake/Thousand Lakes,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7116,San Juan,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7118,Yellowstone,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7119,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7120,"Wasatch Mtns, West-Central",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7121,Cache/Ogden,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7123,"Kamas/North Slope, Summit",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7124,"Fillmore, Pahvant",Black Bear,2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7125,Monroe,Black Bear,2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7200,Beaver,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7201,"Book Cliffs, Bitter Creek/South",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7203,"Manti, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7204,"Manti, South/San Rafael, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7205,Nebo,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7207,"Fillmore, Pahvant",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7208,La Sal,Black Bear,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
BR7209,Monroe,Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7210,Mt Dutton,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7211,Nine Mile,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7212,"North Slope, Three Corners/West Daggett",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7213,Panguitch Lake/Zion,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7214,Paunsaugunt,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7215,Boulder/Kaiparowits,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7216,Fishlake/Thousand Lakes,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7217,San Juan,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7219,Yellowstone,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7220,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7221,"Wasatch Mtns, West-Central",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7224,"Book Cliffs, Little Creek Roadless",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7225,"Book Cliffs, Little Creek Roadless**",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7226,La Sal,Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7227,San Juan,Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7228,Cache/Ogden,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7229,"Kamas/North Slope, Summit",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7230,Cache/Ogden,Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7231,"Central Mtns, Manti-North",Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7232,"Central Mtns, Manti-South/San Rafael, North",Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7233,"Central Mtns, Nebo",Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7234,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7235,"Kamas/North Slope, Summit",Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7236,"Plateau, Boulder/Kaiparowits",Black Bear,2021,HARVEST_ONLY_CODE,NO,1
BR7300,"Book Cliffs, Bitter Creek/South",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7301,"Book Cliffs, Little Creek Roadless",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7303,"Manti, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7304,"Manti, South/San Rafael, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7305,Nebo,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7307,La Sal,Black Bear,2021|2022|2023|2024,SPECIAL_PERMIT_OVERLAY,YES,4
BR7308,"North Slope, Three Corners/West Daggett",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7309,Panguitch Lake/Zion,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7310,Boulder/Kaiparowits,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7311,Fishlake/Thousand Lakes,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7312,San Juan,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7314,Yellowstone,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7315,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,2021|2022|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7316,"Wasatch Mtns, West-Central",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7317,Nine Mile,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7318,Beaver,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7320,Cache/Ogden,Black Bear,2021|2022|2023,ACTIVE_2026_DATABASE_CODE,YES,3
BR7321,"Kamas/North Slope, Summit",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7322,Mt Dutton,Black Bear,2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7323,Paunsaugunt,Black Bear,2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,3
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2022|2023|2024,SPECIAL_PERMIT_OVERLAY,YES,3
DA1000,"Beaver, Circleville North",Antlerless Deer,2021,HARVEST_ONLY_CODE,NO,1
DA1001,"Box Elder, West Bear River",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1002,"Box Elder, West Bear River",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1003,"Monroe/Plateau, Sevier Valley",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1004,"Mt Dutton, Circleville South",Antlerless Deer,2021,HARVEST_ONLY_CODE,NO,1
DA1007,"Panguitch Lake, Panguitch Valley",Antlerless Deer,2021,HARVEST_ONLY_CODE,NO,1
DA1009,"Pine Valley, Enterprise",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1011,George Creek,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DA1012,Junction Valley,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DA1013,Mt Carmel,Deer,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
DA1017,"Pine Valley, Enterprise",Antlerless Deer,2021,HARVEST_ONLY_CODE,NO,1
DA1018,"Pine Valley, New Harmony",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1026,Chalk Creek,Antlerless Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DA1027,"East Canyon, Davis-North Salt Lake",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1028,"East Canyon, Davis-North Salt Lake",Antlerless Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DA1029,"Nine Mile, Green River Valley",Antlerless Deer,2021,HARVEST_ONLY_CODE,NO,1
DA1030,"Nine Mile, Price River Valley",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1033,"San Juan, Monticello",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1039,East Canyon,Antlerless Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DA1040,East Canyon,Antlerless Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DA1041,"Nine Mile, Green River Valley",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1042,"San Juan, Monticello",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1043,"Southwest Desert, Cedar Valley",Antlerless Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DA1044,Myton Any legal weapon,Antlerless Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DA1045,"Fillmore, Oak City",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1046,"Nine Mile, Price River Valley",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DA1047,Vernal-Ouray Valley,Deer,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DA1048,Fillmore City,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DA1049,"Vernal, Ashley Valley",Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DA1050,The Rose of Snowville,Deer,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DB0007,Buck Deer - Statewide Permit,Deer,2022|2025,SPECIAL_PERMIT_OVERLAY,YES,2
DB0008,Deer Extended Archery Only,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB0009,Antelope Island,Deer,2022|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DB1000,Henry Mtns,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1001,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1002,Antelope Island,Deer,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1003,Henry Mtns,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1004,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1005,Henry Mtns,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1006,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1007,Henry Mtns,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1008,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1009,Henry Mtns,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1010,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1011,Book Cliffs,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1012,"Fillmore, Oak Creek LE",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1013,Dolores Triangle,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1014,"San Juan, Elk Ridge",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1015,Diamond Mtn,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1016,"West Desert, Vernon",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1017,"Book Cliffs, North",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1018,"Book Cliffs, South",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1019,"Fillmore, Oak Creek LE",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1020,Dolores Triangle,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1022,"San Juan, Elk Ridge",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1023,Diamond Mtn,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1024,"West Desert, Vernon",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1025,Book Cliffs,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1026,"Cache, Crawford Mtn",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1027,Chalk Creek/East Canyon/Morgan-South Rich,Limited Entry Buck Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DB1028,Fillmore,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1029,"Fillmore, Oak Creek LE",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1030,Kamas,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1031,Dolores Triangle,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1032,Monroe,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1033,Nine Mile,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1034,Pine Valley,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1036,Thousand Lakes,Mule Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DB1037,"San Juan, Elk Ridge",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1038,Diamond Mtn,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1039,Yellowstone,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1040,Southwest Desert,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1041,"Wasatch Mtns, East",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1042,"West Desert, Vernon",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1043,Zion,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1044,Book Cliffs,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1045,"Fillmore, Oak Creek LE",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1046,"San Juan, Elk Ridge",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1047,Diamond Mtn,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1048,"West Desert, Vernon",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1053,Mt Dutton,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1054,Ogden,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1055,Fishlake,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1056,Book Cliffs,Deer,2021|2022|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DB1058,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1059,Beaver,Mule Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DB1065,North Slope,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1073,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1074,Paunsaugunt,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1075,Book Cliffs (conservation) Archery,Mule Deer,2021|2022|2024,SPECIAL_PERMIT_OVERLAY,YES,3
DB1076,Book Cliffs (conservation) Muzzleloader,Mule Deer,2021|2022|2024,SPECIAL_PERMIT_OVERLAY,YES,3
DB1077,Box Elder,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1078,Cache,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1079,Manti/San Rafael,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1080,Nebo,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1081,La Sal Mtns,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1082,Oquirrh-Stansbury,Mule Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DB1083,Panguitch Lake,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1084,Boulder/Kaiparowits,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1085,"San Juan, Abajo Mtns",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1086,Vernal/Bonanza,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1087,"Wasatch Mtns, West",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1088,"West Desert, Tintic",Mule Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DB1089,"West Desert, West",Mule Deer,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DB1090,"Book Cliffs, Floy Canyon",Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1091,Kaiparowits HAMSS,Deer,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DB1092,Morgan-South Rich,Limited Entry Buck Deer,2021|2022,HARVEST_ONLY_CODE,NO,2
DB1094,Myton,Mule Deer,2022|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1100,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1101,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1103,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1105,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1106,Thousand Lakes,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1107,Thousand Lakes,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1108,Thousand Lakes,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
