hunt_code,hunt_name,species,historical_year,field_family,res,nr,total,source_field,source_value,lineage_status,canonical_status,paired_family_compare_status,review_reason
EA2026,"Box Elder, Hansel Mtn",Elk,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025,4,1,5,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025,,,,permits_2025_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025,3,0,3,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025_draw,3,0,3,permits_2025_draw_source,canonical_2026_source_of_truth_draw_results,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025,3,1,4,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025_draw,3,1,4,permits_2025_draw_source,canonical_2026_source_of_truth_draw_results,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025,2,0,2,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,2025,permits_2025_draw,2,0,2,permits_2025_draw_source,canonical_2026_source_of_truth_draw_results,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
