"hunt_code","hunt_name","species","weapon","hunt_type"
"DB1256","Junction Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DB1258","Little Red Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1259","Tunnel Hollow CWMU","Deer","Any Legal Weapon","CWMU"
"DB1260","Middle Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1261","Minnie Maud Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1263","Moon Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1264","Mountain Meadow CWMU","Deer","Any Legal Weapon","CWMU"
"DB1265","Mountain Top CWMU","Deer","Any Legal Weapon","CWMU"
"DB1266","Mt Carmel CWMU","Deer","Any Legal Weapon","CWMU"
"DB1269","North Promontory CWMU","Deer","Any Legal Weapon","CWMU"
"DB1270","Nucor West CWMU","Deer","Any Legal Weapon","CWMU"
"DB1271","Oak Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1272","Old Woman Plateau CWMU","Deer","Any Legal Weapon","CWMU"
"DB1273","Park Valley Hereford CWMU","Deer","Any Legal Weapon","CWMU"
"DB1274","Patmos Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1275","Pine Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1277","Pocatello Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DB1279","Preston Nutter Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1280","Promontory Point CWMU","Deer","Any Legal Weapon","CWMU"
"DB1281","Rattlesnake Pass CWMU","Deer","Any Legal Weapon","CWMU"
"DB1282","Redd Ranches CWMU","Deer","Any Legal Weapon","CWMU"
"DB1283","Roan Cliffs CWMU","Deer","Any Legal Weapon","CWMU"
"DB1285","Sand Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1286","Pisgah Mountain CWMU","Deer","Any Legal Weapon","CWMU"
"DB1287","Scofield Canyons CWMU","Deer","Any Legal Weapon","CWMU"
"DB1288","Scofield West CWMU","Deer","Any Legal Weapon","CWMU"
"DB1289","Sharp Mountain CWMU","Deer","Any Legal Weapon","CWMU"
"DB1290","Skull Crack CWMU","Deer","Any Legal Weapon","CWMU"
"DB1291","Skull Valley South CWMU","Deer","Any Legal Weapon","CWMU"
"DB1292","Soldier Summit CWMU","Deer","Any Legal Weapon","CWMU"
"DB1293","South Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1294","Spring Creek Acres CWMU","Deer","Any Legal Weapon","CWMU"
"DB1295","Spring Creek/Dodge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1298","Strawberry Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1299","Summit Point CWMU","Deer","Any Legal Weapon","CWMU"
"DB1300","Thatcher Mountain CWMU","Deer","Any Legal Weapon","CWMU"
"DB1301","Three C CWMU","Deer","Any Legal Weapon","CWMU"
"DB1303","North Peaks CWMU","Deer","Any Legal Weapon","CWMU"
"DB1304","Two Bear CWMU","Deer","Any Legal Weapon","CWMU"
"DB1305","Wallsburg CWMU","Deer","Any Legal Weapon","CWMU"
"DB1306","Washakie CWMU","Deer","Any Legal Weapon","CWMU"
"DB1308","West Hills CWMU","Deer","Any Legal Weapon","CWMU"
"DB1309","West Willow Creek Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1310","White's Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DB1312","Woodruff Creek South CWMU","Deer","Any Legal Weapon","CWMU"
"DB1317","Jacob's Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1322","Pahvant Ensign CWMU","Deer","Any Legal Weapon","CWMU"
"DB1323","Rock House CWMU","Deer","Any Legal Weapon","CWMU"
"DB1325","Double Cone CWMU","Deer","Any Legal Weapon","CWMU"
"DB1326","Rosette CWMU","Deer","Any Legal Weapon","CWMU"
"DB1327","Mountain Sky Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1328","Clear Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1330","Iron Spring CWMU","Deer","Any Legal Weapon","CWMU"
"DB1331","Raft River CWMU","Deer","Any Legal Weapon","CWMU"
"DB1332","West Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1333","5S CWMU","Deer","Any Legal Weapon","CWMU"
"DB1334","Alton - Cactus Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1335","Big Piney Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1336","First Light CWMU","Deer","Any Legal Weapon","CWMU"
"DB1337","Little Pole Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1341","Dry Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1342","Faust Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DB1347","The Rose of Snowville CWMU","Deer","Any Legal Weapon","CWMU"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1351","The Dirty Dozen","Deer","Any Legal Weapon","CWMU"
"EA1118","Alton CWMU","Elk","Any Legal Weapon","CWMU"
"EA1119","Bar J Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1120","Bear Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EA1121","Boobe Hole CWMU","Elk","Any Legal Weapon","CWMU"
"EA1122","Causey Spring CWMU","Elk","Any Legal Weapon","CWMU"
"EA1124","Chimney Rock CWMU","Elk","Any Legal Weapon","CWMU"
"EA1125","Coldwater Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1129","Deseret CWMU","Elk","Any Legal Weapon","CWMU"
"EA1130","Double Cone CWMU","Elk","Any Legal Weapon","CWMU"
"EA1131","Durst Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EA1132","East Fork Chalk Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EA1134","Ensign Ranches CWMU","Elk","Any Legal Weapon","CWMU"
"EA1135","Folley Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1136","Grass Valley/Clark Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EA1137","Grazing Pasture CWMU","Elk","Any Legal Weapon","CWMU"
"EA1138","Guildersleeve CWMU","Elk","Any Legal Weapon","CWMU"
"EA1139","Hardscrabble CWMU","Elk","Any Legal Weapon","CWMU"
"EA1140","Heaston East CWMU","Elk","Any Legal Weapon","CWMU"
"EA1141","Hiawatha CWMU","Elk","Any Legal Weapon","CWMU"
"EA1142","Indian Head CWMU","Elk","Any Legal Weapon","CWMU"
"EA1143","Circle E Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1145","Johnson Mountain Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1146","Jump Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EA1147","Little Red Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EA1149","Minnie Maud Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1151","Moon Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1153","Old Woman Plateau CWMU","Elk","Any Legal Weapon","CWMU"
"EA1156","Preston Nutter Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1157","Redd Ranches CWMU","Elk","Any Legal Weapon","CWMU"
"EA1158","Cactus Ranch LLC CWMU","Elk","Any Legal Weapon","CWMU"
"EA1159","Roan Cliffs CWMU","Elk","Any Legal Weapon","CWMU"
"EA1160","Sand Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EA1161","Scofield Canyons CWMU","Elk","Any Legal Weapon","CWMU"
"EA1162","Scofield East CWMU","Elk","Any Legal Weapon","CWMU"
"EA1163","Scofield West CWMU","Elk","Any Legal Weapon","CWMU"
"EA1164","SJ Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1165","Skull Crack CWMU","Elk","Any Legal Weapon","CWMU"
"EA1166","Soldier Summit CWMU","Elk","Any Legal Weapon","CWMU"
"EA1167","South Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EA1168","Spring Creek/Dodge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1170","Strawberry Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1171","Summit Point CWMU","Elk","Any Legal Weapon","CWMU"
"EA1172","Three C CWMU","Elk","Any Legal Weapon","CWMU"
"EA1174","Two Bear CWMU","Elk","Any Legal Weapon","CWMU"
"EA1175","Wallsburg CWMU","Elk","Any Legal Weapon","CWMU"
"EA1177","Woodruff Creek South CWMU","Elk","Any Legal Weapon","CWMU"
"EA1192","Pahvant Ensign CWMU","Elk","Any Legal Weapon","CWMU"
"EA1198","Bear Springs CWMU","Elk","Any Legal Weapon","CWMU"
"EA1200","Double R Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1201","Mountain Sky Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1233","Avintaquin Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EA1234","Royal Ivory Outfitters CWMU","Elk","Any Legal Weapon","CWMU"
"EA1235","Sharp Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EA1256","Little Pole Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EA1257","Tunnel Hollow CWMU","Elk","Any Legal Weapon","CWMU"
"EA1259","Diamond Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EA1260","West Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1261","Blackhawk CWMU","Elk","Any Legal Weapon","CWMU"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3500","Alton CWMU","Elk","Any Legal Weapon","CWMU"
"EB3501","Bar J Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3502","Bear Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EB3503","Bear Springs CWMU","Elk","Any Legal Weapon","CWMU"
"EB3504","Blackhawk CWMU","Elk","Any Legal Weapon","CWMU"
"EB3505","Boobe Hole CWMU","Elk","Any Legal Weapon","CWMU"
"EB3506","Causey Spring CWMU","Elk","Any Legal Weapon","CWMU"
"EB3508","Chimney Rock CWMU","Elk","Any Legal Weapon","CWMU"
"EB3509","Coldwater Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3511","Cotton Thomas CWMU","Elk","Any Legal Weapon","CWMU"
"EB3514","Deseret CWMU","Elk","Any Legal Weapon","CWMU"
"EB3515","Double Cone CWMU","Elk","Any Legal Weapon","CWMU"
"EB3516","Durst Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EB3517","East Fork Chalk Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3519","Ensign Ranches CWMU","Elk","Any Legal Weapon","CWMU"
"EB3520","Folley Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3521","Grass Valley/Clark Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EB3522","Grazing Pasture CWMU","Elk","Any Legal Weapon","CWMU"
"EB3523","Guildersleeve CWMU","Elk","Any Legal Weapon","CWMU"
"EB3524","Hardscrabble CWMU","Elk","Any Legal Weapon","CWMU"
"EB3525","Heaston East CWMU","Elk","Any Legal Weapon","CWMU"
"EB3526","Hiawatha CWMU","Elk","Any Legal Weapon","CWMU"
"EB3527","Indian Head CWMU","Elk","Any Legal Weapon","CWMU"
"EB3528","Ingham Peak CWMU","Elk","Any Legal Weapon","CWMU"
"EB3529","Circle E Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3530","Jacob's Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3531","Johnson Mountain Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3532","Jump Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3533","Junction Valley CWMU","Elk","Any Legal Weapon","CWMU"
"EB3534","Little Red Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3536","Minnie Maud Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3538","Moon Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3540","Old Woman Plateau CWMU","Elk","Any Legal Weapon","CWMU"
"EB3541","Patmos Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3543","Preston Nutter Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3544","Redd Ranches CWMU","Elk","Any Legal Weapon","CWMU"
"EB3545","Cactus Ranch LLC CWMU","Elk","Any Legal Weapon","CWMU"
"EB3546","Roan Cliffs CWMU","Elk","Any Legal Weapon","CWMU"
"EB3547","Sand Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3548","Scofield Canyons CWMU","Elk","Any Legal Weapon","CWMU"
"EB3549","Scofield East CWMU","Elk","Any Legal Weapon","CWMU"
"EB3550","Scofield West CWMU","Elk","Any Legal Weapon","CWMU"
"EB3551","SJ Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3552","Skull Crack CWMU","Elk","Any Legal Weapon","CWMU"
"EB3553","Soldier Summit CWMU","Elk","Any Legal Weapon","CWMU"
"EB3554","South Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EB3555","Spring Creek/Dodge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3557","Strawberry Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3558","Summit Point CWMU","Elk","Any Legal Weapon","CWMU"
"EB3559","Three C CWMU","Elk","Any Legal Weapon","CWMU"
"EB3562","Wallsburg CWMU","Elk","Any Legal Weapon","CWMU"
"EB3564","Woodruff Creek South CWMU","Elk","Any Legal Weapon","CWMU"
"EB3565","North Peaks CWMU","Elk","Any Legal Weapon","CWMU"
"EB3603","Pahvant Ensign CWMU","Elk","Any Legal Weapon","CWMU"
"EB3604","Double R Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3606","Mountain Sky Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3607","West Willow Creek Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3608","Avintaquin Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EB3610","Sharp Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EB3611","West Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3613","Little Pole Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EB3614","Tunnel Hollow CWMU","Elk","Any Legal Weapon","CWMU"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3620","The Dirty Dozen","Elk","Any Legal Weapon","CWMU"
"MA1009","Causey Spring CWMU","Moose","Any Legal Weapon","CWMU"
"MA1010","Deseret CWMU","Moose","Any Legal Weapon","CWMU"
"MB6201","Beaver Hollow CWMU","Moose","Any Legal Weapon","CWMU"
"MB6202","Causey Spring CWMU","Moose","Any Legal Weapon","CWMU"
"MB6206","Deseret CWMU","Moose","Any Legal Weapon","CWMU"
"MB6208","East Fork Chalk Creek CWMU","Moose","Any Legal Weapon","CWMU"
"MB6211","Grass Valley/Clark Canyon CWMU","Moose","Any Legal Weapon","CWMU"
"MB6219","Skull Crack CWMU","Moose","Any Legal Weapon","CWMU"
"MB6222","Strawberry Ridge CWMU","Moose","Any Legal Weapon","CWMU"
"MB6251","Hardscrabble CWMU","Moose","Any Legal Weapon","CWMU"
"MB6256","Woodruff Creek South CWMU","Moose","Any Legal Weapon","CWMU"
"MB6258","Jacob's Creek CWMU","Moose","Any Legal Weapon","CWMU"
"MB6262","Junction Valley CWMU","Moose","Any Legal Weapon","CWMU"
"MB6265","Little Pole Canyon CWMU","Moose","Any Legal Weapon","CWMU"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","Moose","Any Legal Weapon","CWMU"
"PB5300","Antelope Creek CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5302","Deseret CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5305","Park Valley CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5306","Rabbit Creek CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5309","Skull Valley South CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5311","The Rose of Snowville CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5312","TL Bar Ranch CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5314","Westlake CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5315","Zane CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5325","Allen Ranch CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5326","Cedar Springs CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5327","Cottonwood Ridge CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5328","Pahvant Ensign CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5329","Snowville Flat CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5330","George Creek CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5337","Heist CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5338","Castle Valley Outdoors CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5339","Iron Spring CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5342","Salt Wells CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5345","Green River Flat CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PB5346","Junction Valley CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1031","Westlake CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1047","Antelope Creek CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1048","The Rose of Snowville CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1049","Zane CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1050","Cottonwood Ridge CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1051","Pahvant Ensign CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1052","Heist CWMU","Pronghorn","Any Legal Weapon","CWMU"
"PD1053","Green River Flat CWMU","Pronghorn","Any Legal Weapon","CWMU"
"TK1018","Pahvant Ensign CWMU","Turkey","Any Legal Weapon","CWMU"
"TK1021","East Zion CWMU","Turkey","Any Legal Weapon","CWMU"
