hunt_code,hunt_name,species,weapon,hunt_type,season,permit_family,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,current_rac_res,current_rac_nr,current_rac_total,current_runtime_res,current_runtime_nr,current_runtime_total,delta_rac_res,delta_rac_nr,delta_rac_total,delta_runtime_res,delta_runtime_nr,delta_runtime_total,comparison_status,significant_difference,notes
EA1106,"Wasatch Mtns, Avintaquin",Elk,Any Legal Weapon,General Season,Jan 03 2026 - Jan 18 2026,STANDARD_ANTLERLESS_ELK,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,NO,
EA1110,"Wasatch Mtns, Salt Lake",Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,40,5,45,40,5,45,40,5,45,0,0,0,0,0,0,MATCH,NO,
EA1111,"Wasatch Mtns, Wallsburg",Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 14 2025,STANDARD_ANTLERLESS_ELK,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,NO,
EA1112,"Wasatch Mtns, Wallsburg",Elk,Any Legal Weapon,General Season,Dec 20 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,49,6,55,49,6,55,49,6,55,0,0,0,0,0,0,MATCH,NO,
EA1113,"Wasatch Mtns, West Heber",Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,NO,
EA1114,"Wasatch Mtns, West Timpanogos",Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,NO,
EA1117,Zion,Elk,Any Legal Weapon,General Season,Nov 11 2025 - Jan 11 2026,STANDARD_ANTLERLESS_ELK,198,22,220,198,22,220,198,22,220,0,0,0,0,0,0,MATCH,NO,
EA1118,Alton CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,6,0,6,,,,6,0,6,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1119,Bar J Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,12,0,12,,,,12,0,12,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1120,Bear Mountain CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,20,0,20,,,,20,0,20,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1121,Boobe Hole CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,10,0,10,,,,10,0,10,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1122,Causey Spring CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,5,0,5,,,,5,0,5,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1124,Chimney Rock CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,12,0,12,,,,12,0,12,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1125,Coldwater Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,25,0,25,,,,25,0,25,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1129,Deseret CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,425,0,425,,,,425,0,425,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1130,Double Cone CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,7,0,7,,,,7,0,7,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
