source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,selected_hunt_code,possible_hunt_codes,match_method,match_confidence,match_notes,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_count_2025,permit_count_2026,permit_count_2027,permit_year_instances_2025_2027,interpretation
1,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
2,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
3,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
4,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
5,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SCI,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
6,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
7,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
8,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
9,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
10,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,UAA,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
11,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
12,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
13,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
14,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,MDF,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
15,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
16,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
17,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
18,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,MDF,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
19,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,SFW,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
20,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,SFW,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
21,conservation,2025-2027,2026,Bear,Black Bear,Bear,Beaver,Multiseason,9500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7318,BR7318,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=87.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
22,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,5283.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7300,BR7300,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
23,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,5283.33,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7300,BR7300,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
24,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,5283.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7300,BR7300,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
25,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,5283.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7300,BR7300,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
26,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Book Cliffs, Little Creek Roadless",Multiseason,3333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7301,BR7301,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=111.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
27,conservation,2025-2027,2026,Bear,Black Bear,Bear,Boulder/Kaiparowits,Multiseason,3983.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7310,BR7310,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
28,conservation,2025-2027,2026,Bear,Black Bear,Bear,Boulder/Kaiparowits,Multiseason,3983.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7310,BR7310,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
29,conservation,2025-2027,2026,Bear,Black Bear,Bear,Boulder/Kaiparowits,Multiseason,3983.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7310,BR7310,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
30,conservation,2025-2027,2026,Bear,Black Bear,Bear,Boulder/Kaiparowits,Multiseason,3983.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7310,BR7310,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
31,conservation,2025-2027,2026,Bear,Black Bear,Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,2850.0,DSC,1.0,2025-27 Conservation Permits.xlsx,,BR7324|BR7325,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=135; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
32,conservation,2025-2027,2026,Bear,Black Bear,Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,4875.0,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7313,BR7313,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
33,conservation,2025-2027,2026,Bear,Black Bear,Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,4875.0,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7313,BR7313,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
34,conservation,2025-2027,2026,Bear,Black Bear,Bear,Fishlake/Thousand Lakes,Multiseason,13833.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7311,BR7311,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=103.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
35,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Kamas/North Slope, Summit",Multiseason,4750.0,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7321,BR7321,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
36,conservation,2025-2027,2026,Bear,Black Bear,Bear,La Sal,Multiseason,8370.83,UHA,1.0,2025-27 Conservation Permits.xlsx,BR7307,BR7307,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
37,conservation,2025-2027,2026,Bear,Black Bear,Bear,La Sal,Multiseason,8370.83,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7307,BR7307,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
38,conservation,2025-2027,2026,Bear,Black Bear,Bear,La Sal,Multiseason,8370.83,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7307,BR7307,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
39,conservation,2025-2027,2026,Bear,Black Bear,Bear,La Sal,Multiseason,8370.83,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7307,BR7307,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
40,conservation,2025-2027,2026,Bear,Black Bear,Bear,Manti-North,Multiseason,5133.33,UHA,1.0,2025-27 Conservation Permits.xlsx,BR7303,BR7303,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
41,conservation,2025-2027,2026,Bear,Black Bear,Bear,Manti-North,Multiseason,5133.33,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7303,BR7303,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
42,conservation,2025-2027,2026,Bear,Black Bear,Bear,Manti-North,Multiseason,5133.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7303,BR7303,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=99.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
43,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Manti-South/San Rafael, North",Multiseason,9611.11,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7304,BR7304,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=127.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
44,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Manti-South/San Rafael, North",Multiseason,9611.11,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7304,BR7304,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=127.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
45,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Manti-South/San Rafael, North",Multiseason,9611.11,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7304,BR7304,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=127.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
46,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nebo,Multiseason,5266.67,UHA,1.0,2025-27 Conservation Permits.xlsx,BR7305,BR7305,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=87.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
47,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7317,BR7317,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
48,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7317,BR7317,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
49,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7317,BR7317,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
50,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7317,BR7317,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
51,conservation,2025-2027,2026,Bear,Black Bear,Bear,Panguitch Lake/Zion,Multiseason,6166.67,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7309,BR7309,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=103.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
52,conservation,2025-2027,2026,Bear,Black Bear,Bear,Paunsaugunt,Multiseason,4000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7323,BR7323,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=87.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
53,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,UHA,1.0,2025-27 Conservation Permits.xlsx,BR7312,BR7312,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
54,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7312,BR7312,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
55,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7312,BR7312,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
56,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7312,BR7312,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=91.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
57,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,4333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7315,BR7315,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
58,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,4333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7315,BR7315,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=119.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
59,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,UAA,1.0,2025-27 Conservation Permits.xlsx,BR7316,BR7316,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
60,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7316,BR7316,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
61,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,MDF,1.0,2025-27 Conservation Permits.xlsx,BR7316,BR7316,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
62,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,SFW,1.0,2025-27 Conservation Permits.xlsx,BR7316,BR7316,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=115.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
63,conservation,2025-2027,2026,Bear,Black Bear,Bear,Yellowstone,Multiseason,3500.0,WCF,1.0,2025-27 Conservation Permits.xlsx,BR7314,BR7314,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=87.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
64,conservation,2025-2027,2026,Bear,Black Bear,Bear,Statewide,Multiseason,15666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,BR1000,BR1000,statewide_boundary_equivalent_to_sportsman_tag,HIGH,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
65,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,35000.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,,BI6523|BI6532|BI6534|BI6535|BI6536,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=56; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
66,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,35000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,,BI6528|BI6529|BI6530|BI6531|BI6537,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=68; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
67,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,68333.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
68,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,9166.67,SFW,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
69,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,40333.33,SCI,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
70,conservation,2025-2027,2026,Bison,Bison,Bison,Statewide,Any Legal Weapon,121666.67,SFW,1.0,2025-27 Conservation Permits.xlsx,BI1000,BI1000,statewide_boundary_equivalent_to_sportsman_tag,HIGH,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
71,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,88333.33,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1002|DS6601,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=78; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
72,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,71666.67,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1003|DS6602,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=58; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
73,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, West",Any Legal Weapon,77500.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1006|DS6603,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=78; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
