hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,NOTES,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,percent_harvest_success_previous_hunting_season,current_age_3yr_average,average_harvest_age,average_harvest_age_reported_hunt_year,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source
DB1011,7,Book Cliffs,Buck,Deer,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,,13,28,Bonus Point Draw Results,44,4,48,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,83.8,,,,,,,9000,5900,,
DB1025,7,Book Cliffs,Buck,Deer,Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,,26,41,Bonus Point Draw Results,43,4,47,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,73.8,,,,,,,9000,5900,,
DB1044,7,Book Cliffs,Buck,Deer,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",,42,57,Bonus Point Draw Results,6,1,7,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,8,1,9,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,9000,5900,,
DB1056,7,Book Cliffs (North & South),Buck,Deer,Any Legal Weapon,Conservation,Conservation,"Oct 17, 2026 - Oct 25, 2026",,,,,,,,,,,,,,4,,,,100,,,,,,,9000,5900,4,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
DB1075,7,Book Cliffs (North & South),Buck,Deer,Archery,Conservation,Conservation,Aug 16 2025 - Sept 12 2025,,,,,,,,,,,,,,2,,,,50,,,,,,,9000,5900,2,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
DB1076,7,Book Cliffs (North & South),Buck,Deer,Muzzleloader,Conservation,Conservation,Sept 24 2025 - Oct 02 2025,,,,,,,,,,,,,,2,,,,0,,,,,,,9000,5900,2,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
DA1030,11,"Nine Mile, Price River Valley",Antlerless,Deer,Archery,General Season,Antlerless,Aug 15 2026 - Sept 11 2026,,,,,23,1,24,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,38.9,,,,,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit),,
DA1046,11,"Nine Mile, Price River Valley",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Antlerless,Sept 12 2026 - Oct 09 2026,,,,,25,0,25,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,42.1,,,,,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit),,
BR7102,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,,"May 25 - June 28, 2026",,31,,2024 Draw Odds PDF Model Target 2025,4,0,4,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
BR7224,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,,"March 28 - May 25, 2026",,72,,2024 Draw Odds PDF Model Target 2025,9,1,10,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,14,1,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,12.3,2021,21_black_bear_report.pdf,PASS,,,,,
BR7225,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Spot and Stalk,,"Sept. 1 - Nov. 8, 2026",,73,,2024 Draw Odds PDF Model Target 2025,7,0,7,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,12.3,2021,21_black_bear_report.pdf,PASS,,,,,
BR7301,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",,77,,2024 Draw Odds PDF Model Target 2025,2,0,2,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,12.3,2021,21_black_bear_report.pdf,PASS,,,,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
EB3002,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Archery,Limited Entry,Mature Bull,Aug 15 2026 - Sept 15 2026,,199,238,Bonus Point Draw Results,3,0,3,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,7.7,,,,,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit),,
EB3028,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Early Any Legal Weapon,Limited Entry,Mature Bull,Sept 16 2026 - Sept 20 2026,,215,254,Bonus Point Draw Results,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,7.7,,,,,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit),,
EB3079,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Muzzleloader,Limited Entry,Mature Bull,Sept 21 2026 - Oct 02 2026,,245,284,Bonus Point Draw Results,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,7.7,,,,,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit),,
EB3104,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Multiseason,Limited Entry,Mature Bull,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",,260,299,Bonus Point Draw Results,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,7.7,8.3,2021,21_bg_report.pdf,PASS,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit),,
EB3167,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Mature Bull,Oct 03 2026 - Oct 15 2026,,307,346,Bonus Point Draw Results,3,1,4,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,7.7,,,,,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit),,
EL3002,12,Book Cliffs Little Creek Roadless,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,8.3,2021,21_bg_report.pdf,PASS,,,,,
EL3028,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,8.3,2021,21_bg_report.pdf,PASS,,,,,
EL3079,12,Book Cliffs Little Creek Roadless,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,8.3,2021,21_bg_report.pdf,PASS,,,,,
EL3167,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,,,,,,,,,,,
DB1018,15,"Book Cliffs, South",Buck,Deer,Any Legal Weapon,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,,20,35,Bonus Point Draw Results,27,2,29,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,34,4,38,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,84.6,,,,,,,9000 (entire Book Cliffs unit),5900 (entire Book Cliffs unit),,
PB5002,15,"Book Cliffs, South",Buck,Pronghorn,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,,411,502,Bonus Point Draw Results,7,1,8,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,8,1,9,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,50,4.6,3.5,2021,21_bg_report.pdf,PASS,2.0-3.0,950,540,,
PB5027,15,"Book Cliffs, South",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Limited Entry,Sept 12 2026 - Sept 20 2026,,431,522,Bonus Point Draw Results,31,3,34,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,34,4,38,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,96.6,4.6,3.5,2021,21_bg_report.pdf,PASS,2.0-3.0,950,540,,
RS1001,15,"Book Cliffs, South",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,Conservation,"Nov 1 - Dec 31, 2025",,,,,,,,,Utah DWR 2025-2027 Conservation Permit Database,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,FULL_SPLIT,100,,,,,,,450,265,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
RS6701,15,"Book Cliffs, South",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,,589,589,Bonus Point Draw Results,5,1,6,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,1,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,450,265,,
EA1266,18,"Box Elder, Hansel Mtn",Antlerless,Elk,Any Legal Weapon,General Season,Antlerless,Aug 01 2026 - Jan 31 2027,,,,,18,2,20,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,18,2,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT,18.8,,,,,,,1075 (entire Box Elder unit),1250 (entire Box Elder unit),,
EA2026,18,"Box Elder, Hansel Mtn",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Antlerless,Aug 01 2026 - Jan 31 2027,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,PRIVATE_LANDS_ONLY_ANTLERLESS_ELK,,,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,16.7,,,,,,,1075 (entire Box Elder unit),1250 (entire Box Elder unit),,
RE1000,20,"Box Elder, Newfoundland Mtn",Ewe,Rocky Mountain Bighorn Sheep,Any Legal Weapon,General Season,Antlerless,Sept 08 2026 - Sept 16 2026,,,,,4,1,5,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_EWE_BIGHORN,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Ewe,LIVE_DWR_RES_NR_SPLIT,80,,,,,,,300,215,,
RS1003,20,"Box Elder, Newfoundland Mtn",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,Conservation,"Oct 25 - Dec 31, 2025",,,,,,,,,Utah DWR 2025-2027 Conservation Permit Database,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,FULL_SPLIT,100,,,,,,,300,215,2,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30
RS6703,20,"Box Elder, Newfoundland Mtn",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 03 2026 - Oct 23 2026,,89,590,2025 O.I.L. Draw Results PDF Hunt Year 2025,3,0,3,2025_OIL_DRAW_RESULTS_PDF_HUNT_YEAR_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,300,215,,
RS6704,20,"Box Elder, Newfoundland Mtn",Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 24 2026 - Nov 13 2026,,90,591,2025 O.I.L. Draw Results PDF Hunt Year 2025,3,1,4,2025_OIL_DRAW_RESULTS_PDF_HUNT_YEAR_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,3,1,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,300,215,,
RS6722,20,"Box Elder, Newfoundland Mtn",Ram,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Nov 14 2026 - Dec 06 2026,,97,598,2025 O.I.L. Draw Results PDF Hunt Year 2025,2,0,2,2025_OIL_DRAW_RESULTS_PDF_HUNT_YEAR_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,300,215,,
