hunt_code,hunt_type,hunt_kind,draw_pool,residency,prediction_year,quota_residency,reserved_quota,random_quota,quota_source_status,reserved_fraction,applicant_rollover_source_year,retention_rate_raw,retention_rate_smoothed,rolled_forward_total_applicants,rolled_forward_unsuccessful_applicants,lower_point_additions,points_modeled,expected_cutoff_points,iterations
EB3037,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.725791,0.769264,231,231,53,33,17.0,600
EB3038,Limited Entry,LE,standard,Nonresident,2026,7,4,3,official,0.5714,2025,0.444144,0.586194,580,596,230,33,25.0,600
EB3038,Limited Entry,LE,standard,Resident,2026,61,31,30,official,0.5082,2025,0.960983,0.922139,3345,3055,528,33,20.0,600
EB3039,Limited Entry,LE,standard,Nonresident,2026,11,6,5,official,0.5455,2025,0.867925,0.861651,297,247,82,33,22.0,600
EB3039,Limited Entry,LE,standard,Resident,2026,102,51,51,official,0.5,2025,0.934945,0.905214,1374,1153,329,33,12.0,600
EB3042,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.609927,0.693952,346,337,113,33,,600
EB3042,Limited Entry,LE,standard,Resident,2026,8,4,4,official,0.5,2025,0.923815,0.897979,758,716,117,33,26.0,600
EB3043,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.638393,0.712455,148,117,66,33,24.0,600
EB3043,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.908886,0.888276,239,206,56,33,17.0,600
EB3044,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,1.154639,1.048015,193,136,54,33,,600
EB3044,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.865854,0.860305,145,119,44,33,14.0,600
EB3045,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.830955,0.837621,193,170,48,33,26.0,600
EB3045,Limited Entry,LE,standard,Resident,2026,14,7,7,official,0.5,2025,0.822581,0.832177,517,460,136,33,16.0,600
EB3046,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.791798,0.812169,39,39,7,33,18.0,600
EB3046,Limited Entry,LE,standard,Resident,2026,24,12,12,official,0.5,2025,0.923077,0.8975,263,190,94,33,10.0,600
EB3047,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.676251,0.737063,672,662,183,33,,600
EB3047,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,1.000751,0.947988,1403,1299,170,33,29.0,600
EB3048,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.686382,0.743649,151,138,52,33,23.0,600
EB3048,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.949674,0.914788,259,237,40,33,21.0,600
EB3049,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.776748,0.802386,214,206,50,33,,600
EB3049,Limited Entry,LE,standard,Resident,2026,8,4,4,official,0.5,2025,0.921814,0.896679,645,559,143,33,24.0,600
EB3050,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.944891,0.911679,259,215,63,33,26.0,600
EB3050,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.90402,0.885113,397,338,98,33,23.0,600
EB3053,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.90625,0.886563,146,109,49,33,,600
EB3053,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.755261,0.78842,251,256,48,33,19.0,600
EB3056,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.394041,0.553627,535,344,345,33,,600
EB3056,Limited Entry,LE,standard,Resident,2026,7,4,3,official,0.5714,2025,0.988758,0.940193,1074,974,158,33,27.0,600
EB3057,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.855238,0.853405,119,109,25,33,,600
EB3057,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,0.845309,0.846951,446,360,142,33,22.0,600
EB3063,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.873177,0.865065,335,303,73,33,25.0,600
EB3063,Limited Entry,LE,standard,Resident,2026,34,17,17,official,0.5,2025,0.872706,0.864759,1138,969,300,34,18.0,600
EB3064,Limited Entry,LE,standard,Nonresident,2026,11,6,5,official,0.5455,2025,0.97921,0.933986,232,181,63,33,21.0,600
EB3064,Limited Entry,LE,standard,Resident,2026,99,50,49,official,0.5051,2025,1.037308,0.97175,825,601,242,33,11.0,600
EB3065,Limited Entry,LE,standard,Nonresident,2026,6,3,3,official,0.5,2025,0.902778,0.884306,145,116,42,33,21.0,600
EB3065,Limited Entry,LE,standard,Resident,2026,57,29,28,official,0.5088,2025,0.935039,0.905276,605,492,159,33,12.0,600
EB3066,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.870851,0.863553,1656,1668,214,33,,600
EB3066,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,0.824902,0.833686,1350,1356,219,35,29.0,600
EB3067,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.803778,0.819955,182,170,44,33,27.0,600
EB3067,Limited Entry,LE,standard,Resident,2026,20,10,10,official,0.5,2025,0.802363,0.819036,234,191,78,33,14.0,600
EB3068,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.529807,0.641874,112,119,35,33,,600
EB3068,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.838729,0.842674,352,344,61,33,15.0,600
EB3069,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.8625,0.858125,78,67,19,33,21.0,600
EB3069,Limited Entry,LE,standard,Resident,2026,30,15,15,official,0.5,2025,0.796089,0.814958,284,252,78,33,13.0,600
EB3072,Limited Entry,LE,standard,Nonresident,2026,6,3,3,official,0.5,2025,0.334299,0.514794,298,363,109,33,24.0,600
EB3072,Limited Entry,LE,standard,Resident,2026,54,27,27,official,0.5,2025,0.868297,0.861893,2658,2508,496,33,16.0,600
EB3073,Limited Entry,LE,standard,Nonresident,2026,10,5,5,official,0.5,2025,0.826237,0.834554,205,183,49,33,17.0,600
EB3073,Limited Entry,LE,standard,Resident,2026,89,45,44,official,0.5056,2025,0.857014,0.854559,1154,979,319,33,10.0,600
EB3077,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,1.003559,0.949813,233,209,33,33,32.0,600
EB3077,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.965318,0.924957,217,186,45,33,26.0,600
EB3079,Limited Entry,LE,standard,Resident,2026,2,1,1,official,0.5,2025,0.731884,0.773225,62,43,27,33,24.0,600
EB3081,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.372093,0.53936,17,12,8,33,,600
EB3081,Limited Entry,LE,standard,Resident,2026,5,3,2,official,0.6,2025,0.958333,0.920417,7,3,4,33,3.0,600
EB3083,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.937984,0.90719,136,78,65,33,,600
EB3083,Limited Entry,LE,standard,Resident,2026,5,3,2,official,0.6,2025,0.74359,0.780833,85,88,17,33,16.0,600
EB3084,Limited Entry,LE,standard,Nonresident,2026,10,5,5,official,0.5,2025,0.875523,0.86659,189,172,38,33,20.0,600
EB3084,Limited Entry,LE,standard,Resident,2026,89,45,44,official,0.5056,2025,0.925379,0.898997,699,610,151,33,13.0,600
EB3086,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.833828,0.839488,90,80,20,33,,600
EB3086,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,0.810619,0.824403,104,93,27,33,19.0,600
EB3087,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.89701,0.880556,70,57,16,33,22.0,600
EB3087,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.925,0.89875,142,122,33,33,11.0,600
EB3088,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.861516,0.857485,147,143,24,33,,600
EB3088,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.922853,0.897354,187,149,52,33,23.0,600
EB3089,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.811024,0.824665,173,117,76,33,,600
EB3089,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,1.02093,0.961105,127,109,18,33,21.0,600
EB3091,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.943038,0.910475,97,68,33,33,15.0,600
EB3093,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.976744,0.932384,155,140,22,33,,600
EB3093,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.930841,0.902547,191,151,51,33,22.0,600
EB3096,Limited Entry,LE,standard,Nonresident,2026,6,3,3,official,0.5,2025,1.002066,0.948843,150,115,37,33,24.0,600
EB3096,Limited Entry,LE,standard,Resident,2026,50,25,25,official,0.5,2025,1.003356,0.949681,338,270,82,33,11.0,600
EB3097,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.937548,0.906906,282,251,52,33,30.0,600
EB3097,Limited Entry,LE,standard,Resident,2026,17,9,8,official,0.5294,2025,0.844354,0.84633,196,182,41,33,23.0,600
EB3098,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.787234,0.809202,53,41,20,33,25.0,600
EB3098,Limited Entry,LE,standard,Resident,2026,15,8,7,official,0.5333,2025,0.807601,0.822441,64,54,20,33,10.0,600
EB3100,Limited Entry,LE,standard,Nonresident,2026,9,5,4,official,0.5556,2025,0.86108,0.857202,190,160,53,33,19.0,600
EB3100,Limited Entry,LE,standard,Resident,2026,78,39,39,official,0.5,2025,0.830211,0.837137,595,509,167,33,10.0,600
EB3102,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,1.005501,0.951075,464,383,100,33,31.0,600
EB3104,Limited Entry,LE,standard,Resident,2026,1,0,1,official,0.0,2025,0.645963,0.717376,70,51,33,33,,600
EB3105,Limited Entry,LE,standard,Resident,2026,1,0,1,official,0.0,2025,0.561798,0.662669,26,21,12,33,,600
