hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_validation_notes,notes
BR1000,5001,Black Bear - Statewide Permit,Black Bear,Either Sex,Statewide,Any Legal Weapon,Public,,,,,NO_QUOTA_PUBLISHED,,../notes/DATABASE/BR1000-notes.md
BR1001,5002,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,Any Legal Weapon,Public,,,,,NO_QUOTA_PUBLISHED,,../notes/DATABASE/BR1001-notes.md
BR1007,5003,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_QUOTA_PUBLISHED,,../notes/DATABASE/BR1007-notes.md
BR1008,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",26,2,28,OK,,
BR1009,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",14,1,15,OK,,
BR1010,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",14,1,15,OK,,
BR1011,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",26,2,28,OK,,
BR1012,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",14,1,15,OK,,
BR1013,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",14,1,15,OK,,
BR1015,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,,
BR1016,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,,
BR1017,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,,
BR1018,5013,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_QUOTA_PUBLISHED,,../notes/DATABASE/BR1018-notes.md
BR7000,628,Beaver,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",9,1,10,OK,,
BR7001,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",49,5,54,OK,,
BR7003,52,Manti North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",17,2,19,OK,,
BR7004,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",18,0,18,OK,,
BR7005,616,Nebo,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,,
BR7007,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,0,1,OK,,
BR7009,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",4,0,4,OK,,
BR7010,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",9,0,9,OK,,
BR7011,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",4,0,4,OK,,
BR7012,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",20,2,22,OK,,
BR7013,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,,
BR7014,710,San Juan,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",35,3,38,OK,,
BR7015,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,,
BR7016,845,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",36,4,40,OK,,
BR7017,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",2,0,2,OK,,
BR7018,251,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",5,0,5,OK,,
BR7020,629,Monroe,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,0,1,OK,,
BR7021,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",2,0,2,OK,,
BR7022,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",40,3,43,OK,,
BR7100,628,Beaver,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",9,1,10,OK,,
BR7101,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",14,1,15,OK,,
BR7102,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,,
BR7104,52,Manti North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",17,1,18,OK,,
BR7105,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",18,2,20,OK,,
BR7106,616,Nebo,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",8,0,8,OK,,
BR7109,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",3,0,3,OK,,
BR7110,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",18,2,20,OK,,
BR7111,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,0,1,OK,,
BR7112,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,,
BR7113,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",3,0,3,OK,,
BR7114,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",13,1,14,OK,,
BR7115,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",7,0,7,OK,,
BR7116,710,San Juan,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",22,2,24,OK,,
BR7117,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,,
BR7118,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,,
BR7119,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,,
BR7120,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",22,1,23,OK,,
BR7121,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",4,0,4,OK,,
BR7122,93,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",7,0,7,OK,,
BR7123,5053,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",6,0,6,OK,,
BR7124,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",2,0,2,OK,,
BR7125,629,Monroe,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,0,1,OK,,
BR7126,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",6,0,6,OK,,
BR7127,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",25,2,27,OK,,
BR7200,628,Beaver,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,OK,,
BR7201,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,OK,,
BR7203,52,Manti North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,OK,,
BR7204,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,OK,,
BR7205,616,Nebo,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,OK,,
BR7207,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7210,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,OK,,
BR7211,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,OK,,
BR7212,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,OK,,
BR7213,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,OK,,
BR7214,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,,
BR7215,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,OK,,
BR7216,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,OK,,
BR7217,710,San Juan,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,OK,,
BR7218,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,OK,,
BR7219,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,,
BR7220,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,OK,,
BR7221,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,OK,,
BR7224,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",14,1,15,OK,,
BR7225,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Spot and Stalk,Any Legal Weapon,Public,"Sept. 1 - Nov. 8, 2026",5,0,5,OK,,
BR7228,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7229,5079,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,,
BR7237,629,Monroe,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7238,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,OK,,
BR7239,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,OK,,
BR7300,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,OK,,
BR7301,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,OK,,
BR7303,52,Manti North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,OK,,
BR7304,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,OK,,
BR7305,616,Nebo,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,,
BR7307,684,La Sal,Black Bear,Either Sex,Multiseason - Conservation,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,NO_QUOTA_PUBLISHED,,
BR7308,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7309,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,OK,,
BR7310,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,OK,,
BR7311,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,,
BR7312,710,San Juan,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,OK,,
BR7313,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,,
BR7314,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,,
BR7315,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,,
BR7316,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,OK,,
BR7317,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,OK,,
BR7318,628,Beaver,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7320,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,OK,,
BR7321,5101,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,,
BR7322,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7323,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7324,610,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Conservation,Multiseason,Public,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",,,,NO_QUOTA_PUBLISHED,,
BR7325,610,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,,
BR7326,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,OK,,
CG9999,5107,Cougar - Statewide,Cougar,Either Sex,Statewide,Any Legal Weapon,Public,,,,,NO_QUOTA_PUBLISHED,,
DA1001,28,"Box Elder, West Bear River",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Public,Aug 18 2025 - Aug 30 2025,,,30,TOTAL_ONLY_SPLIT_MISSING,,
DA1002,28,"Box Elder, West Bear River",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Public,Nov 24 2025 - Nov 29 2025,,,30,TOTAL_ONLY_SPLIT_MISSING,,
DA1003,115,"Monroe/Plateau, Sevier Valley",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Public,Sep 01 2025 - Sep 30 2025,,,15,TOTAL_ONLY_SPLIT_MISSING,,
DA1009,169,"Pine Valley, Enterprise",Deer,Antlerless,General Season,Any Legal Weapon,Public,Aug 01 2025 - Aug 15 2025,,,25,TOTAL_ONLY_SPLIT_MISSING,,
DA1011,806,George Creek CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,OK,,
DA1012,589,Junction Valley CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,15,OK,,
DA1013,533,Mt Carmel CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,OK,,
DA1018,840,"Pine Valley, New Harmony",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Public,Aug 01 2025 - Aug 15 2025,,,20,TOTAL_ONLY_SPLIT_MISSING,,
DA1027,77,"East Canyon, Davis-North Salt Lake",Deer,Antlerless,General Season,Any Legal Weapon,Public,Aug 01 2025 - Sep 15 2025,,,30,TOTAL_ONLY_SPLIT_MISSING,,
DA1030,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,Archery,Public,Aug 16 2025 - Sep 12 2025,,,25,TOTAL_ONLY_SPLIT_MISSING,,
DA1031,21,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,General Season,Archery,Public,Aug 16 2025 - Sep 12 2025,,,20,TOTAL_ONLY_SPLIT_MISSING,,
DA1033,23,"San Juan, Monticello",Deer,Antlerless,General Season,Archery,Public,Aug 01 2025 - Sep 14 2025,,,5,TOTAL_ONLY_SPLIT_MISSING,,
DA1041,6,"Nine Mile, Green River Valley",Deer,Antlerless,General Season,Any Legal Weapon,Public,Oct 04 2025 - Oct 26 2025,,,15,TOTAL_ONLY_SPLIT_MISSING,,
DA1042,23,"San Juan, Monticello",Deer,Antlerless,General Season,Archery,Public,Nov 24 2025 - Dec 31 2025,,,5,TOTAL_ONLY_SPLIT_MISSING,,
DA1045,474,"Fillmore, Oak City",Deer,Antlerless,General Season,Archery,Public,Aug 01 2025 - Sep 04 2025,,,20,TOTAL_ONLY_SPLIT_MISSING,,
DA1046,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Public,Sep 13 2025 - Oct 12 2025,,,25,TOTAL_ONLY_SPLIT_MISSING,,
