hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,source_file_2026,link_key
BR7311,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,DATABASE.csv,BR7311_RESIDENT
BR7312,710,San Juan,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,OK,DATABASE.csv,BR7312_RESIDENT
BR7313,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7313_RESIDENT
BR7314,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,DATABASE.csv,BR7314_RESIDENT
BR7315,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,OK,DATABASE.csv,BR7315_RESIDENT
BR7316,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,OK,DATABASE.csv,BR7316_RESIDENT
BR7317,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,OK,DATABASE.csv,BR7317_RESIDENT
BR7318,628,Beaver,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,DATABASE.csv,BR7318_RESIDENT
BR7320,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,OK,DATABASE.csv,BR7320_RESIDENT
BR7321,5101,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7321_RESIDENT
