reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5016,Pronghorn,9,"South Slope, Bonanza/Diamond Mtn",12|12|12|3.1|100.0,"[12, 12, 12, 3.1, 100.0]","9 PB5016 South Slope, Bonanza/Diamond Mtn 12 12 12 3.1 100.0",12.0,12,12.0,3.1,100.0,12.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5017,Pronghorn,9,"South Slope, Vernal",8|11|11|3.9|72.7,"[8, 11, 11, 3.9, 72.7]","9 PB5017 South Slope, Vernal 8 11 11 3.9 72.7",8.0,11,11.0,3.9,72.7,8.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5018,Pronghorn,20,Southwest Desert,16|31|31|8.6|52.0,"[16, 31, 31, 8.6, 52.0]",20 PB5018 Southwest Desert 16 31 31 8.6 52.0,16.0,31,31.0,8.6,52.0,16.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5019,Pronghorn,19,"West Desert, Riverbed",8|9|9|5.6|87.5,"[8, 9, 9, 5.6, 87.5]","19 PB5019 West Desert, Riverbed 8 9 9 5.6 87.5",8.0,9,9.0,5.6,87.5,8.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5020,Pronghorn,19,"West Desert, Rush Valley",6|6|6|7.8|100.0,"[6, 6, 6, 7.8, 100.0]","19 PB5020 West Desert, Rush Valley 6 6 6 7.8 100.0",6.0,6,6.0,7.8,100.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5021,Pronghorn,19,"West Desert, Snake Valley",6|10|9|5.3|66.7,"[6, 10, 9, 5.3, 66.7]","19 PB5021 West Desert, Snake Valley 6 10 9 5.3 66.7",6.0,10,9.0,5.3,66.7,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5022,Pronghorn,2/3/4,Cache/Morgan-South Rich/Ogden,7|11|8|2.7|83.3,"[7, 11, 8, 2.7, 83.3]",2/3/4 PB5022 Cache/Morgan-South Rich/Ogden 7 11 8 2.7 83.3,7.0,11,8.0,2.7,83.3,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5065,Pronghorn,21,"Fillmore, Oak Creek South",6|9|8|1.8|75.0,"[6, 9, 8, 1.8, 75.0]","21 PB5065 Fillmore, Oak Creek South 6 9 8 1.8 75.0",6.0,9,8.0,1.8,75.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5059,Pronghorn,11,"Nine Mile, Anthro-Myton Bench",18|18|18|1.4|100.0,"[18, 18, 18, 1.4, 100.0]","11 PB5059 Nine Mile, Anthro-Myton Bench 18 18 18 1.4 100.0",18.0,18,18.0,1.4,100.0,18.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5066,Pronghorn,8,"North Slope, Three Corners/West Daggett",7|8|8|3.4|87.5,"[7, 8, 8, 3.4, 87.5]","8 PB5066 North Slope, Three Corners/West Daggett 7 8 8 3.4 87.5",7.0,8,8.0,3.4,87.5,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
