Unit,Hunt number,Hunt name,Bull harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),Sex type,Hunt type,Weapon,Season,Hunt class,HUNT BOUNDARY,Page title,Source page,Source file,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
16A,EB3173,Nebo/San Pitch Mtns,19,5,19,14.8,27.8,Bull,Limited Entry,Archery,Archery,Limited Entry,901.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3173,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
8C,EB3013,"North Slope, Three Corners",8,3,7,11.8,50.0,Bull,Limited Entry,Archery,Archery,Limited Entry,140.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3013,1,North Slope Three Corners,existing_hunt_number_column,mapped_to_2026_codes
28,EB3015,Panguitch Lake,18,9,18,9.3,50.0,Bull,Limited Entry,Archery,Archery,Limited Entry,634.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3015,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3019,San Juan Bull Elk,26,12,26,12.5,48.0,Bull,Limited Entry,Archery,Archery,Limited Entry,183.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3019,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3146,"Southwest Desert, South",37,17,36,12.9,47.1,Bull,Limited Entry,Archery,Archery,Limited Entry,872.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3146,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3022,Wasatch Mtns,203,37,199,11.6,18.6,Bull,Limited Entry,Archery,Archery,Limited Entry,222.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3022,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3135,Barney Top/Kaiparowits,9,3,9,16.1,33.3,Bull,Limited Entry,Archery,September,Limited Entry,869.0,"Limited-entry September archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3135,1,Barney Top/Kaiparowits,existing_hunt_number_column,mapped_to_2026_codes
2,EB3132,"Cache, North",28,7,28,14.1,25.9,Bull,Limited Entry,Archery,September,Limited Entry,36.0,"Limited-entry September archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3132,1,Cache North,existing_hunt_number_column,mapped_to_2026_codes
20,EB3136,"Southwest Desert, North",11,9,11,9.8,81.8,Bull,Limited Entry,Archery,September,Limited Entry,871.0,"Limited-entry September archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3136,1,Southwest Desert North,existing_hunt_number_column,mapped_to_2026_codes
19,EB3137,"West Desert, Deep Creek",13,8,13,12.2,58.3,Bull,Limited Entry,Archery,September,Limited Entry,241.0,"Limited-entry September archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3137,1,West Desert Deep Creek,existing_hunt_number_column,mapped_to_2026_codes
22,EB3158,"Beaver, East",10,5,10,8.7,50.0,Bull,Limited Entry,Archery,Late,Limited Entry,685.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3158,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3161,"Book Cliffs, Bitter Creek/East",4,4,4,5.3,100.0,Bull,Limited Entry,Archery,Late,Limited Entry,899.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3161,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3190,Boulder,3,0,3,8.5,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,172.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3190,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
2,EB3168,"Cache, Meadowville",2,0,1,1.0,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,33.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3168,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3170,"Cache, South",5,1,4,8.5,25.0,Bull,Limited Entry,Archery,Late,Limited Entry,41.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3170,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3195,Diamond Mtn,4,1,4,7.5,25.0,Bull,Limited Entry,Archery,Late,Limited Entry,206.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3195,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3180,"Fillmore, Pahvant",10,1,10,10.5,10.0,Bull,Limited Entry,Archery,Late,Limited Entry,88.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3180,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3192,Fishlake/Thousand Lakes,5,1,5,7.0,20.0,Bull,Limited Entry,Archery,Late,Limited Entry,175.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3192,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3182,"La Sal, La Sal Mtns",2,0,1,7.0,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,617.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3182,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3172,Manti,7,0,7,10.6,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,51.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3172,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3184,Monroe,5,1,5,8.5,25.0,Bull,Limited Entry,Archery,Late,Limited Entry,629.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3184,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3186,Mt Dutton,7,0,7,11.0,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,630.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3186,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3174,Nebo/San Pitch Mtns,5,1,4,9.0,25.0,Bull,Limited Entry,Archery,Late,Limited Entry,901.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3174,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
28,EB3188,Panguitch Lake,5,1,5,11.0,20.0,Bull,Limited Entry,Archery,Late,Limited Entry,634.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3188,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3193,San Juan Bull Elk,5,0,4,6.3,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,183.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3193,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3197,"Southwest Desert, South",5,0,4,8.8,0.0,Bull,Limited Entry,Archery,Late,Limited Entry,872.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3197,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3199,Wasatch Mtns,8,1,6,7.2,20.0,Bull,Limited Entry,Archery,Late,Limited Entry,222.0,"Limited-entry late archery bull elk harvest, Utah 2024.",2,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3199,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
22,EB3024,"Beaver, East",11,11,11,2.9,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,685.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3024,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3162,"Book Cliffs, Bitter Creek/East",9,9,9,2.4,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,899.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3162,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3026,"Book Cliffs, Bitter Creek/South",2,2,2,2.5,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,,0,,existing_hunt_number_column,historical_only
10,EB3028,"Book Cliffs, Little Creek Roadless",2,2,2,3.0,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,12.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3028,1,Book Cliffs Little Creek Roadless,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3148,Boulder,15,13,15,3.1,86.7,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,172.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3148,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
1,EB3147,"Box Elder, Grouse Creek",8,5,8,4.0,62.5,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,867.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3147,1,Box Elder Grouse Creek,existing_hunt_number_column,mapped_to_2026_codes
1,EB3031,"Box Elder, Pilot Mtn",11,7,11,7.4,60.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,682.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3031,1,Box Elder Pilot Mtn,existing_hunt_number_column,mapped_to_2026_codes
2,EB3032,"Cache, Meadowville",8,5,8,3.7,57.1,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,33.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3032,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3036,"Cache, South",4,0,4,5.0,0.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,41.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3036,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3068,Diamond Mtn,25,21,25,3.1,82.6,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,206.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3068,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3042,"Fillmore, Pahvant",12,10,12,2.5,81.8,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,88.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3042,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3063,Fishlake/Thousand Lakes,37,24,37,3.9,63.9,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,175.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3063,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3045,"La Sal, La Sal Mtns",19,15,19,3.6,78.9,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,617.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3045,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3038,Manti,78,56,77,3.1,72.4,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,51.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3038,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3047,Monroe,12,12,12,2.5,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,629.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3047,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3049,Mt Dutton,7,7,7,2.6,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,630.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3049,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3040,Nebo,2,2,2,2.5,100.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,,0,,existing_hunt_number_column,historical_only
16A,EB3175,Nebo/San Pitch Mtns,9,8,9,2.4,88.9,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,901.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3175,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
28,EB3056,Panguitch Lake,9,6,9,2.9,66.7,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,634.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3056,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3066,San Juan Bull Elk,20,16,20,3.3,78.9,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,183.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3066,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3149,"Southwest Desert, South",19,15,19,2.9,77.8,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,872.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3149,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3072,Wasatch Mtns,89,57,88,3.7,65.0,Bull,Limited Entry,Any Legal Weapon,Early,Limited Entry,222.0,"Limited-entry early any legal weapon bull elk harvest, Utah 2024.",3,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3072,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
22,EB3159,"Beaver, East",26,21,26,6.1,80.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,685.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3159,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3164,"Book Cliffs, Bitter Creek/East",26,15,26,6.2,56.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,899.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3164,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3167,"Book Cliffs, Little Creek Roadless",1,1,1,8.0,100.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,12.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3167,1,Book Cliffs Little Creek Roadless,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3191,Boulder,37,26,36,8.0,71.4,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,172.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3191,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
1,EB3150,"Box Elder, Grouse Creek",14,7,14,5.4,50.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,867.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3150,1,Box Elder Grouse Creek,existing_hunt_number_column,mapped_to_2026_codes
2,EB3169,"Cache, Meadowville",16,3,13,5.8,25.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,33.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3169,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3171,"Cache, South",11,3,11,7.6,30.0,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,41.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3171,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3069,Diamond Mtn,36,32,36,4.6,88.6,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,206.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3069,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3181,"Fillmore, Pahvant",22,13,22,6.7,57.1,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,88.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3181,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3064,Fishlake/Thousand Lakes,102,64,101,6.3,63.8,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,175.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3064,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3183,"La Sal, La Sal Mtns",48,26,47,6.4,56.1,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,617.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3183,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3126,Manti,197,124,195,6.8,63.4,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,51.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3126,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3185,Monroe,23,15,21,6.3,73.7,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,629.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3185,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3187,Mt Dutton,22,21,22,5.9,95.2,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,630.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3187,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
16A,EB3177,Nebo/San Pitch Mtns,24,19,24,6.0,78.3,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,901.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3177,1,Nebo/San Pitch Mtns,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3053,"North Slope, Three Corners",14,12,14,3.4,85.7,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,140.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3053,1,North Slope Three Corners,existing_hunt_number_column,mapped_to_2026_codes
28,EB3189,Panguitch Lake,19,10,19,7.3,52.6,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,634.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3189,1,Panguitch Lake,existing_hunt_number_column,mapped_to_2026_codes
14,EB3194,San Juan Bull Elk,32,20,32,6.5,62.1,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,183.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3194,1,San Juan Bull Elk,existing_hunt_number_column,mapped_to_2026_codes
20,EB3198,"Southwest Desert, South",43,30,43,6.9,70.7,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,872.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3198,1,Southwest Desert South,existing_hunt_number_column,mapped_to_2026_codes
17,EB3127,Wasatch Mtns,241,129,239,6.3,53.9,Bull,Limited Entry,Any Legal Weapon,Mid,Limited Entry,222.0,"Limited-entry mid any legal weapon bull elk harvest, Utah 2024.",4,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3127,1,Wasatch Mtns,existing_hunt_number_column,mapped_to_2026_codes
22,EB3025,"Beaver, East",15,14,15,4.9,93.3,Bull,Limited Entry,Any Legal Weapon,Late,Limited Entry,685.0,"Limited-entry late any legal weapon bull elk harvest, Utah 2024.",5,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3025,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
