report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,county,row_type,n,hunters_afield,total_harvest,mean_public_days_afield,mean_private_days_afield,percent_success,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Sanpete,county,123,575,187,3.5,1.2,32.5,,Sanpete,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Tooele,county,110,514,135,4.3,0.2,26.4,,Tooele,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Utah,county,344,1607,355,3.9,0.3,22.1,,Utah,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Wasatch,county,89,416,98,3.4,0.6,23.6,,Wasatch,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Central Region total,regional_total,800,3738,873,3.8,0.5,23.4,,Central Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Beaver,county,57,266,56,3.9,0.4,21.1,,Beaver,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Garfield,county,44,206,70,4.3,0.2,34.1,,Garfield,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Iron,county,119,556,149,4.1,0.7,26.9,,Iron,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Kane,county,44,206,70,2.4,1.3,34.1,,Kane,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Millard,county,74,346,93,3.4,0.4,27.0,,Millard,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Piute,county,15,70,5,2.3,0.5,6.7,,Piute,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Sevier,county,94,439,131,4.6,0.6,29.8,,Sevier,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Washington,county,126,589,145,2.9,1.1,24.6,,Washington,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Wayne,county,29,135,47,3.6,0.3,34.5,,Wayne,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southern,Southern Region total,regional_total,602,2813,766,3.6,0.7,27.2,,Southern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,Daggett,county,11,51,5,2.2,0.0,9.1,,Daggett,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,Duchesne,county,116,542,192,2.3,2.2,35.3,,Duchesne,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,Uintah,county,108,505,192,3.2,2.0,38.0,,Uintah,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northeastern,Northeastern Region total,regional_total,235,1098,389,2.7,2.0,35.4,,Northeastern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,Carbon,county,21,98,14,4.8,0.4,14.3,,Carbon,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,Emery,county,40,187,93,3.9,1.5,50.0,,Emery,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,Grand,county,28,131,37,4.1,0.1,28.6,,Grand,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,San Juan,county,83,388,149,4.0,0.6,38.6,,San Juan,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,Southeastern Region total,regional_total,172,804,293,4.1,0.7,36.4,,Southeastern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Southeastern,Unknown,county,27,126,47,2.7,0.8,37.0,,Unknown,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Statewide,Statewide total,statewide_total,2443,9428,2920,3.9,0.9,31.0,,Statewide total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
