Unit,Unit name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
13B,"La Sal, Dolores Triangle",21,21,8,10,15,9,5,27,8,18,EA1037,1,"La Sal, Dolores Triangle",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
13A,"La Sal, La Sal Mtns",184,203,141,196,187,324,276,299,270,232,EA1038;EA1039;EA1237;EA1280;EA2009,5,"La Sal, La Sal Mtns | La Sal, La Sal Mtns | La Sal, La Sal Mtns-North | La Sal, La Sal Mtns-North | La Sal, La Sal Mtns",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
16B,Manti,1515,1491,541,731,629,537,465,534,680,795,EA1013;EA1015;EA1017;EA1018;EA1020;EA1022;EA1023;EA1024;EA1025;EA1278;EA1279;EA2011,12,"Manti, Central | Manti, Ferron Canyon | Manti, Gordon Creek-Price Canyon | Manti, Horn Mtn | Manti, Mohrland-Stump Flat | Manti, North | Manti, South | Manti, South | Manti, West | Manti, Ferron-Nelson Mtn | Manti, Ferron-Nelson Mtn | Manti",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
23,Monroe,484,196,76,140,80,94,117,134,101,110,EA1286,1,Monroe,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
4,Morgan-South Rich,532,630,335,438,457,500,543,731,453,645,EA1044;EA1228;EA1229;EA2002,4,"Morgan-South Rich, South Rich | Morgan-South Rich | Morgan-South Rich | Morgan-South Rich",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
24,Mt Dutton,223,143,229,256,191,62,43,77,24,60,EA1049;EA1281;EA2017,3,"Mt Dutton, Deep Creek | Mt Dutton, Deep Creek | Mt Dutton",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
16A,Nebo,134,195,203,467,224,210,199,318,268,305,EA1021;EA1207;EA1208;EA1226;EA2016,5,"Nebo | Nebo, Moroni Hills | Nebo | Nebo, Moroni Hills | Nebo",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
11A,"Nine Mile, Anthro",135,121,61,66,174,166,166,136,153,29,EA1054;EA2008;EA2034,3,"Nine Mile, West Anthro | Nine Mile, Anthro-Myton Bench | Nine Mile, Anthro",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
11B,"Nine Mile, Range Creek",115,104,88,48,44,32,85,89,96,114,EA1239;EA1240;EA2029,3,"Nine Mile, Range Creek | Nine Mile, Range Creek | Nine Mile, Range Creek",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
8A,"North Slope, Summit",104,116,90,103,80,102,122,97,94,103,EA1196;EA1268,2,"North Slope, Summit | North Slope, Summit",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
8C,"North Slope, Three Corners",8,8,0,4,2,1,3,0,11,0,EA1273;EA1274;EA1277,3,"North Slope, Three Corners | North Slope, Three Corners | North Slope, Three Corners",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
8B,"North Slope, West Daggett",196,209,89,136,103,86,56,73,42,101,EA1060;EA1061;EA1250;EA2005,4,"North Slope, West Daggett | North Slope, West Daggett | North Slope, West Daggett | North Slope, West Daggett",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
3,Ogden,428,608,167,274,334,87,169,248,118,168,EA1063;EA1064;EA1269;EA1282,4,"Ogden | Ogden | Ogden (Excludes Hyrum) | Ogden, North",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
18,Oquirrh-Stansbury,94,59,58,51,13,22,28,21,84,93,EA2036,1,"Oquirrh-Stansbury, East",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
28,Panguitch Lake,173,342,259,213,207,231,162,66,69,72,EA1069;EA1283;EA1284;EA1285;EA2018,5,Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
27,Paunsaugunt,54,135,56,71,59,68,41,29,8,21,EA1073;EA1187;EA2015,3,"Paunsaugunt | Paunsaugunt, Hatch Bench | Paunsaugunt",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
30,Pine Valley,4,14,35,20,8,15,11,19,2,17,EA1254,1,Pine Valley,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
14,San Juan,146,170,85,160,105,114,180,177,149,132,EA1081;EA1082;EA2010,3,San Juan | San Juan | San Juan,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
12,San Rafael,19,11,15,0,8,0,0,4,0,0,EA1084,1,"San Rafael, North",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
20,Southwest Desert,395,275,379,239,290,284,79,101,114,86,EA1101;EA1251,2,"Southwest Desert | Southwest Desert, Burbank/Garrison",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
9BD,Vernal/Bonanza,387,531,187,381,374,338,383,400,232,261,EA1085;EA1087;EA2028,3,Vernal/Bonanza | Bonanza/Vernal | Vernal/Bonanza,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
17,Wasatch Mtns,1830,878,423,579,461,518,487,568,422,643,EA1106;EA1110;EA1111;EA1112;EA1113;EA1114;EA1189;EA1217;EA1264;EA1265;EA1276;EA2012;EA2013;EA2014;EA2038,15,"Wasatch Mtns, Avintaquin | Wasatch Mtns, Salt Lake | Wasatch Mtns, Wallsburg | Wasatch Mtns, Wallsburg | Wasatch Mtns, West Heber | Wasatch Mtns, West Timpanogos | Wasatch Mtns, West-Central | Wasatch Mtns, Avintaquin | Wasatch Mtns, Rabbit Gulch | Wasatch Mtns, Tabby Mtn | Wasatch Mtns, Box Elder Peak | Wasatch Mtns, West | Wasatch Mtns, Currant Creek | Wasatch Mtns, Avintaquin - White River | Wasatch Mtns",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
19,West Desert,34,54,93,93,134,140,95,145,110,138,EA1101;EA1231;EA1251;EA2019,4,"Southwest Desert | West Desert, Tintic Valley | Southwest Desert, Burbank/Garrison | West Desert, Tintic Valley",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
9A,Yellowstone,538,871,418,709,587,608,437,414,292,277,EA1244;EA1245;EA2006;EA2037,4,Yellowstone | Yellowstone | Yellowstone | Yellowstone,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
29,Zion,68,123,230,193,202,206,99,137,115,128,EA1117;EA2020,2,Zion | Zion,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
