reported_hunt_year,model_target_year,source_file,source_page,source_family,species,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,raw_line,source_sha256
2012,2013,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,456,100,285,0.4,5.6,140.0,0.3,2.4,2012 456 100 285 0.4 5.6 140 0.3 2.4,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2013,2014,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,468,108,318,0.5,5.6,162.0,0.3,2.2,2013 468 108 318 0.5 5.6 162 0.3 2.2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2014,2015,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,498,99,304,0.4,5.2,175.0,0.5,3.3,2014 498 99 304 0.4 5.2 175 0.5 3.3,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2015,2016,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,528,165,432,0.4,5.6,166.0,0.4,2.5,2015 528 165 432 0.4 5.6 166 0.4 2.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2016,2017,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,492,157,345,0.5,6.4,172.0,0.5,3.7,2016 492 157 345 0.5 6.4 172 0.5 3.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2017,2018,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,419,155,257,0.5,7.4,162.0,0.6,4.5,2017 419 155 257 0.5 7.4 162 0.6 4.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2018,2019,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,557,177,352,0.4,5.6,179.0,0.4,3.2,2018 557 177 352 0.4 5.6 179 0.4 3.2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2019,2020,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,534,193,437,0.3,4.3,260.0,0.4,3.6,2019 534 193 437 0.3 4.3 260 0.4 3.6,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2020,2021,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,518,183,348,0.3,4.9,229.0,0.5,4.0,2020 518 183 348 0.3 4.9 229 0.5 4.0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2021,2022,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,582,255,370,0.3,4.6,180.0,0.4,2.7,2021 582 255 370 0.3 4.6 180 0.4 2.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2022,2023,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,550,239,423,0.3,4.1,253.0,0.3,2.1,2022 550 239 423 0.3 4.1 253 0.3 2.1,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2023,2024,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,463,200,315,0.3,2.9,146.0,0.3,2.1,2023 463 200 315 0.3 2.9 146 0.3 2.1,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,509,262,183,0.3,3.3,128.0,0.4,3.4,2024 509 262 183 0.3 3.3 128 0.4 3.4,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
