reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_sold,hunters_afield,harvest_total,percent_permits_filled,bears_per_hunter,percent_female,depredation_other_mortality,total_harvest_mortality,pursuit_permits,raw_line,source_sha256,percent_success,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,parse_notes,section_title,hunt_name,hunt_code,permits_issued,harvest_male,harvest_female,harvest_unknown,percent_adult_male,mean_age,depredation_male,depredation_female,depredation_unknown,average_age,unit_context,permits_or_quota,percent_permits_or_quota_filled,depredation_mortality,permits,season,hunt_type,quota,percent_quota_filled,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,pursuit_type,pursuers_afield,bears_per_pursuit_day,bears_per_pursuer,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,unit_code,table_year_start,table_year_end
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,,,,,,,,,,San Juan (early) 14 8 7 28 5 5 0 0 10 0.4 1.4,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_restricted_pursuit_by_unit_season_2024,,,,,,,,,,,,,San Juan (early),,,,14.0,,,,,,8.0,,,,,,,restricted_summer,7.0,0.4,1.4,28.0,5.0,5.0,0.0,0.0,10.0,,,
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,,,,,,,,,,Book Cliffs (late) 26 17 14 80 0 17 8 6 31 0.4 2.2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_restricted_pursuit_by_unit_season_2024,,,,,,,,,,,,,Book Cliffs (late),,,,26.0,,,,,,17.0,,,,,,,restricted_summer,14.0,0.4,2.2,80.0,0.0,17.0,8.0,6.0,31.0,,,
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,,,,,,,,,,La Sal (late) 14 8 11 75 11 26 7 16 60 0.8 5.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_restricted_pursuit_by_unit_season_2024,,,,,,,,,,,,,La Sal (late),,,,14.0,,,,,,8.0,,,,,,,restricted_summer,11.0,0.8,5.5,75.0,11.0,26.0,7.0,16.0,60.0,,,
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,,,,,,,,,,San Juan (late) 12 8 3 27 0 6 2 0 8 0.3 2.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_restricted_pursuit_by_unit_season_2024,,,,,,,,,,,,,San Juan (late),,,,12.0,,,,,,8.0,,,,,,,restricted_summer,3.0,0.3,2.7,27.0,0.0,6.0,2.0,0.0,8.0,,,
1990,1991,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1990 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1991,1992,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1991 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1992,1993,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1992 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1993,1994,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1993 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1994,1995,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1994 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1995,1996,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,1.0,100.0,,0.0,,1.0,,1995 1 1 0 1 100 0 — — 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,100.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,1.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1996,1997,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1996 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1997,1998,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1997 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1998,1999,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1998 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1999,2000,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1999 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2000,2001,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,2000 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2001,2002,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,1.0,100.0,,0.0,,1.0,,2001 1 1 0 1 100 0 — 5.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,100.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,1.0,0.0,,,5.0,0.0,0.0,,5.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2002,2003,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,3.0,,2002 1 0 0 0 0 — — — 1 2 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,1.0,2.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2003,2004,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,2003 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,0.0,,,,0.0,0.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2004,2005,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,1.0,100.0,,0.0,,1.0,,2004 1 1 0 1 100 0 — 7.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,100.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,1.0,0.0,,,7.0,0.0,0.0,,7.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2005,2006,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,1.0,100.0,,100.0,,1.0,,2005 1 0 1 1 100 100 — 13.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,100.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,1.0,0.0,1.0,,,13.0,0.0,0.0,,13.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2006,2007,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,1.0,50.0,,0.0,,1.0,,2006 2 1 0 1 50 0 — 4.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,50.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,2.0,1.0,0.0,,,4.0,0.0,0.0,,4.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2007,2008,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,2.0,,2007 2 0 0 0 0 — — — 1 1 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,2.0,0.0,0.0,,,,1.0,1.0,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2008,2009,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,3.0,50.0,,33.0,,5.0,,2008 6 2 1 3 50 33 — 7.7 1 1 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,50.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,6.0,2.0,1.0,,,7.7,1.0,1.0,,7.7,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2009,2010,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,7.0,70.0,,14.0,,8.0,,2009 10 6 1 7 70 14 86 9.4 1 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,70.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,10.0,6.0,1.0,,86.0,9.4,1.0,0.0,,9.4,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2010,2011,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,4.0,27.0,,25.0,,4.0,,2010 15 3 1 4 27 25 50 5.0 0 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,27.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,15.0,3.0,1.0,,50.0,5.0,0.0,0.0,,5.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2011,2012,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,3.0,20.0,,33.0,,5.0,,2011 15 2 1 3 20 33 67 7.0 1 1 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,20.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,15.0,2.0,1.0,,67.0,7.0,1.0,1.0,,7.0,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2012,2013,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,8.0,47.0,,25.0,,8.0,,2012 17 6 2 8 47 25 50 7.5 0 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,47.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,17.0,6.0,2.0,,50.0,7.5,0.0,0.0,,7.5,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2013,2014,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,9.0,53.0,,56.0,,10.0,,2013 17 4 5 9 53 56 22 9.2 1 0 10,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,53.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,17.0,4.0,5.0,,22.0,9.2,1.0,0.0,,9.2,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2014,2015,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,8.0,47.0,,50.0,,9.0,,2014 17 4 4 8 47 50 14 7.3 0 1 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,47.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,17.0,4.0,4.0,,14.0,7.3,0.0,1.0,,7.3,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2015,2016,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,13.0,59.0,,38.0,,13.0,,2015 22 8 5 13 59 38 31 5.6 0 0 13,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,59.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,22.0,8.0,5.0,,31.0,5.6,0.0,0.0,,5.6,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2016,2017,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,13.0,59.0,,69.0,,14.0,,2016 22 4 9 13 59 69 8 7.3 0 0 14*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,59.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,22.0,4.0,9.0,,8.0,7.3,0.0,0.0,,7.3,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2017,2018,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,12.0,60.0,,25.0,,12.0,,2017 20 9 3 12 60 25 42 5.2 0 0 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,60.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,20.0,9.0,3.0,,42.0,5.2,0.0,0.0,,5.2,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2018,2019,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,17.0,77.0,,47.0,,17.0,,2018 22 9 8 17 77 47 12 5.5 0 0 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,77.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,22.0,9.0,8.0,,12.0,5.5,0.0,0.0,,5.5,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2019,2020,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,13.0,57.0,,38.0,,13.0,,2019 23 8 5 13 57 38 8 4.2 0 0 13,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,57.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,23.0,8.0,5.0,,8.0,4.2,0.0,0.0,,4.2,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2020,2021,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,19.0,76.0,,37.0,,19.0,,2020 25 12 7 19 76 37 29 5.4 0 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,76.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,25.0,12.0,7.0,,29.0,5.4,0.0,0.0,,5.4,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2021,2022,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,14.0,48.0,,43.0,,15.0,,2021 29 8 6 14 48 43 29 4.5 0 1 15,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,48.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,29.0,8.0,6.0,,29.0,4.5,0.0,1.0,,4.5,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2022,2023,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,21.0,62.0,,48.0,,21.0,,2022 34 11 10 21 62 48 17 5.8 0 0 21,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,62.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,34.0,11.0,10.0,,17.0,5.8,0.0,0.0,,5.8,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2023,2024,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,11.0,32.0,,36.0,,12.0,,2023 34 5 4 11** 32 36 13 5.5 1 0 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,32.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,34.0,5.0,4.0,,13.0,5.5,1.0,0.0,,5.5,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
2024,2025,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,,,19.0,56.0,,42.0,,19.0,,2024 34 11 8 19 56 42 17 5.8 0 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,56.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,34.0,11.0,8.0,,17.0,5.8,0.0,0.0,,5.8,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1990.0,2024.0
1990,1991,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,3.0,17.0,,67.0,,6.0,,1990 18 1 2 3 17 67 — — 3 0 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,17.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,1.0,2.0,,,,3.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1991,1992,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,7.0,39.0,,29.0,,7.0,,1991 18 5 2 7 39 29 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,39.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,5.0,2.0,,,,0.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1992,1993,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,6.0,33.0,,17.0,,8.0,,1992 18 5 1 6 33 17 — — 2 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,33.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,5.0,1.0,,,,2.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1993,1994,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,7.0,39.0,,57.0,,7.0,,1993 18 3 4 7 39 57 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,39.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,3.0,4.0,,,,0.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1994,1995,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,8.0,44.0,,50.0,,9.0,,1994 18 4 4 8 44 50 — — 1 0 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,44.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,4.0,4.0,,,,1.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1995,1996,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,12.0,67.0,,8.0,,14.0,,1995 18 11 1 12 67 8 — — 2 0 14,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,67.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,11.0,1.0,,,,2.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1996,1997,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,10.0,56.0,,20.0,,11.0,,1996 18 8 2 10 56 20 — — 1 0 11,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,56.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,8.0,2.0,,,,1.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1997,1998,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,8.0,44.0,,38.0,,8.0,,1997 18 5 3 8 44 38 — — 0 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,44.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,18.0,5.0,3.0,,,,0.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1998,1999,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,7.0,23.0,,57.0,,7.0,,1998 30 3 4 7 23 57 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,23.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,30.0,3.0,4.0,,,,0.0,0.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
1999,2000,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,,,10.0,33.0,,10.0,,12.0,,1999 30 9 1 10 33 10 — — 1 1 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,33.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,30.0,9.0,1.0,,,,1.0,1.0,,,Book Cliffs,,,,,,,,,,,,,,,,,,,,,,,,,,,10ab,1990.0,2024.0
