reported_hunt_year,model_target_year,source_file,source_page,source_family,species,unit_context,unit_code,table_year_start,table_year_end,permits_issued,harvest_male,harvest_female,harvest_total,percent_permits_filled,percent_female,percent_adult_male,mean_age,depredation_male,depredation_female,total_harvest_mortality,raw_line,source_sha256
2002,2003,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,1,2,3,2002 1 0 0 0 0 — — — 1 2 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2003,2004,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2003 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2004,2005,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,1.0,0.0,1.0,100.0,0.0,,7.0,0,0,1,2004 1 1 0 1 100 0 — 7.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2005,2006,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,1.0,1.0,100.0,100.0,,13.0,0,0,1,2005 1 0 1 1 100 100 — 13.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2006,2007,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,2.0,1.0,0.0,1.0,50.0,0.0,,4.0,0,0,1,2006 2 1 0 1 50 0 — 4.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2007,2008,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,2.0,0.0,0.0,0.0,0.0,,,,1,1,2,2007 2 0 0 0 0 — — — 1 1 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2008,2009,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,6.0,2.0,1.0,3.0,50.0,33.0,,7.7,1,1,5,2008 6 2 1 3 50 33 — 7.7 1 1 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2009,2010,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,10.0,6.0,1.0,7.0,70.0,14.0,86.0,9.4,1,0,8,2009 10 6 1 7 70 14 86 9.4 1 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2010,2011,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,15.0,3.0,1.0,4.0,27.0,25.0,50.0,5.0,0,0,4,2010 15 3 1 4 27 25 50 5.0 0 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2011,2012,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,15.0,2.0,1.0,3.0,20.0,33.0,67.0,7.0,1,1,5,2011 15 2 1 3 20 33 67 7.0 1 1 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2012,2013,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,17.0,6.0,2.0,8.0,47.0,25.0,50.0,7.5,0,0,8,2012 17 6 2 8 47 25 50 7.5 0 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2013,2014,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,17.0,4.0,5.0,9.0,53.0,56.0,22.0,9.2,1,0,10,2013 17 4 5 9 53 56 22 9.2 1 0 10,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2014,2015,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,17.0,4.0,4.0,8.0,47.0,50.0,14.0,7.3,0,1,9,2014 17 4 4 8 47 50 14 7.3 0 1 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2015,2016,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,22.0,8.0,5.0,13.0,59.0,38.0,31.0,5.6,0,0,13,2015 22 8 5 13 59 38 31 5.6 0 0 13,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2016,2017,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,22.0,4.0,9.0,13.0,59.0,69.0,8.0,7.3,0,0,14,2016 22 4 9 13 59 69 8 7.3 0 0 14*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2017,2018,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,20.0,9.0,3.0,12.0,60.0,25.0,42.0,5.2,0,0,12,2017 20 9 3 12 60 25 42 5.2 0 0 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2018,2019,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,22.0,9.0,8.0,17.0,77.0,47.0,12.0,5.5,0,0,17,2018 22 9 8 17 77 47 12 5.5 0 0 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2019,2020,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,23.0,8.0,5.0,13.0,57.0,38.0,8.0,4.2,0,0,13,2019 23 8 5 13 57 38 8 4.2 0 0 13,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2020,2021,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,25.0,12.0,7.0,19.0,76.0,37.0,29.0,5.4,0,0,19,2020 25 12 7 19 76 37 29 5.4 0 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2021,2022,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,29.0,8.0,6.0,14.0,48.0,43.0,29.0,4.5,0,1,15,2021 29 8 6 14 48 43 29 4.5 0 1 15,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2022,2023,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,34.0,11.0,10.0,21.0,62.0,48.0,17.0,5.8,0,0,21,2022 34 11 10 21 62 48 17 5.8 0 0 21,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2023,2024,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,34.0,5.0,4.0,11.0,32.0,36.0,13.0,5.5,1,0,12,2023 34 5 4 11** 32 36 13 5.5 1 0 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2024,2025,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,34.0,11.0,8.0,19.0,56.0,42.0,17.0,5.8,0,0,19,2024 34 11 8 19 56 42 17 5.8 0 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1990,1991,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,1.0,2.0,3.0,17.0,67.0,,,3,0,6,1990 18 1 2 3 17 67 — — 3 0 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1991,1992,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,5.0,2.0,7.0,39.0,29.0,,,0,0,7,1991 18 5 2 7 39 29 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1992,1993,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,5.0,1.0,6.0,33.0,17.0,,,2,0,8,1992 18 5 1 6 33 17 — — 2 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1993,1994,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,3.0,4.0,7.0,39.0,57.0,,,0,0,7,1993 18 3 4 7 39 57 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1994,1995,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,4.0,4.0,8.0,44.0,50.0,,,1,0,9,1994 18 4 4 8 44 50 — — 1 0 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1995,1996,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,11.0,1.0,12.0,67.0,8.0,,,2,0,14,1995 18 11 1 12 67 8 — — 2 0 14,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1996,1997,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,8.0,2.0,10.0,56.0,20.0,,,1,0,11,1996 18 8 2 10 56 20 — — 1 0 11,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1997,1998,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,18.0,5.0,3.0,8.0,44.0,38.0,,,0,0,8,1997 18 5 3 8 44 38 — — 0 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1998,1999,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,30.0,3.0,4.0,7.0,23.0,57.0,,,0,0,7,1998 30 3 4 7 23 57 — — 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1999,2000,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,30.0,9.0,1.0,10.0,33.0,10.0,,,1,1,12,1999 30 9 1 10 33 10 — — 1 1 12,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2000,2001,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,29.0,7.0,7.0,14.0,48.0,50.0,,,9,3,26,2000 29 7 7 14 48 50 — — 9 3 26,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2001,2002,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,15.0,5.0,3.0,8.0,53.0,38.0,,6.8,1,0,9,2001 15 5 3 8 53 38 — 6.8 1 0 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2002,2003,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,25.0,7.0,5.0,12.0,48.0,42.0,,7.3,1,0,14,2002 25 7 5 12 48 42 — 7.3 1 0 14*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2003,2004,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,25.0,4.0,5.0,9.0,36.0,56.0,,8.0,2,0,12,2003 25 4 5 9 36 56 — 8.0 2 0 12*,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2004,2005,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,25.0,10.0,3.0,13.0,52.0,23.0,,5.9,2,2,17,2004 25 10 3 13 52 23 — 5.9 2 2 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2005,2006,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,30.0,5.0,3.0,8.0,27.0,38.0,,7.3,0,0,8,2005 30 5 3 8 27 38 — 7.3 0 0 8,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2006,2007,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,15.0,5.0,0.0,5.0,33.0,0.0,,7.0,0,0,5,2006 15 5 0 5 33 0 — 7.0 0 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2007,2008,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,15.0,8.0,1.0,9.0,60.0,11.0,,10.3,0,0,9,2007 15 8 1 9 60 11 — 10.3 0 0 9,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2008,2009,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,19.0,12.0,2.0,14.0,74.0,14.0,,7.4,0,0,14,2008 19 12 2 14 74 14 — 7.4 0 0 14,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2009,2010,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,23.0,10.0,0.0,10.0,43.0,0.0,90.0,8.8,0,0,10,2009 23 10 0 10 43 0 90 8.8 0 0 10,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2010,2011,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,23.0,10.0,3.0,13.0,57.0,23.0,54.0,8.0,2,2,17,2010 23 10 3 13 57 23 54 8.0 2 2 17,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2011,2012,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,28.0,13.0,1.0,14.0,50.0,7.0,62.0,4.8,0,0,14,2011 28 13 1 14 50 7 62 4.8 0 0 14,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2012,2013,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,36.0,13.0,2.0,15.0,42.0,13.0,53.0,7.7,0,1,16,2012 36 13 2 15 42 13 53 7.7 0 1 16,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2013,2014,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,36.0,18.0,4.0,22.0,61.0,18.0,62.0,6.4,0,2,24,2013 36 18 4 22 61 18 62 6.4 0 2 24,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2014,2015,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,35.0,17.0,4.0,21.0,60.0,19.0,37.0,5.2,4,0,25,2014 35 17 4 21 60 19 37 5.2 4 0 25,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2015,2016,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,56.0,14.0,11.0,25.0,45.0,44.0,23.0,5.4,1,1,27,2015 56 14 11 25 45 44 23 5.4 1 1 27,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2016,2017,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,56.0,17.0,4.0,21.0,38.0,19.0,48.0,5.7,1,1,23,2016 56 17 4 21 38 19 48 5.7 1 1 23,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2017,2018,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,56.0,11.0,7.0,18.0,32.0,39.0,47.0,6.4,2,2,22,2017 56 11 7 18 32 39 47 6.4 2 2 22,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2018,2019,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,56.0,12.0,6.0,18.0,32.0,33.0,50.0,6.3,1,0,19,2018 56 12 6 18 32 33 50 6.3 1 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2019,2020,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,67.0,14.0,12.0,26.0,39.0,29.0,29.0,7.9,1,0,27,2019 67 14 12 26 39 29 29 7.9 1 0 27,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2020,2021,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,63.0,23.0,10.0,33.0,52.0,30.0,24.0,5.7,1,0,34,2020 63 23 10 33 52 30 24 5.7 1 0 34,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2021,2022,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,82.0,15.0,7.0,22.0,27.0,32.0,43.0,5.6,0,0,22,2021 82 15 7 22 27 32 43 5.6 0 0 22,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2022,2023,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,91.0,21.0,7.0,28.0,31.0,25.0,43.0,6.0,0,1,29,2022 91 21 7 28 31 25 43 6.0 0 1 29,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2023,2024,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,91.0,13.0,5.0,18.0,20.0,28.0,6.0,5.3,1,0,19,2023 91 13 5 18 20 28 6 5.3 1 0 19,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2024,2025,24_black_bear_mortality_report.pdf,2,black_bear_unit_mortality_history,Black Bear,Book Cliffs,10ab,1990,2024,91.0,24.0,1.0,25.0,27.0,4.0,48.0,5.7,0,0,25,2024 91 24 1 25 27 4 48 5.7 0 0 25,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2010,2011,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,7.0,3.0,0.0,3.0,43.0,0.0,100.0,9.7,0,0,3,2010 7 3 0 3 43 0 100 9.7 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2011,2012,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,9.0,0.0,0.0,0.0,0.0,,,,0,0,0,2011 9 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2012,2013,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,10.0,3.0,0.0,3.0,30.0,0.0,100.0,10.7,0,0,3,2012 10 3 0 3 30 0 100 10.7 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2013,2014,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,10.0,4.0,1.0,5.0,50.0,20.0,60.0,7.6,0,0,5,2013 10 4 1 5 50 20 60 7.6 0 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2014,2015,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,10.0,3.0,0.0,3.0,30.0,0.0,67.0,5.7,1,0,4,2014 10 3 0 3 30 0 67 5.7 1 0 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2015,2016,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,15.0,4.0,1.0,5.0,33.0,20.0,60.0,8.4,0,0,5,2015 15 4 1 5 33 20 60 8.4 0 0 5,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2016,2017,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,15.0,3.0,0.0,3.0,20.0,0.0,67.0,7.7,0,0,3,2016 15 3 0 3 20 0 67 7.7 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2017,2018,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,15.0,5.0,2.0,7.0,47.0,29.0,67.0,7.7,0,0,7,2017 15 5 2 7 47 29 67 7.7 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2018,2019,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,18.0,2.0,1.0,3.0,17.0,33.0,0.0,4.3,0,0,3,2018 18 2 1 3 17 33 0 4.3 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2019,2020,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,18.0,5.0,1.0,6.0,33.0,17.0,83.0,8.3,0,0,6,2019 18 5 1 6 33 17 83 8.3 0 0 6,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2020,2021,24_black_bear_mortality_report.pdf,3,black_bear_unit_mortality_history,Black Bear,"Book Cliffs, Little Creek Roadless",10c,2010,2024,22.0,3.0,4.0,7.0,32.0,57.0,17.0,6.0,0,0,7,2020 22 3 4 7 32 57 17 6.0 0 0 7,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
