reported_hunt_year,model_target_year,source_file,source_page,source_family,species,hunt_code,hunt_name,unit_context,season,hunt_type,permits,harvest_male,harvest_female,harvest_total,percent_permits_filled,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7203,"Manti, North","Manti, North",fall,limited_entry_fall,11,3,1,4,36,"BR7203 Manti, North 11 3 1 4 36",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7204,"Manti, South/San Rafael, North","Manti, South/San Rafael, North",fall,limited_entry_fall,17,7,2,9,53,"BR7204 Manti, South/San Rafael, North 17 7 2 9 53",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7210,Mt Dutton,Mt Dutton,fall,limited_entry_fall,3,1,0,1,33,BR7210 Mt Dutton 3 1 0 1 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7205,Nebo,Nebo,fall,limited_entry_fall,6,1,1,2,33,BR7205 Nebo 6 1 1 2 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7211,Nine Mile,Nine Mile,fall,limited_entry_fall,32,2,1,3,9,BR7211 Nine Mile 32 2 1 3 9,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7212,"North Slope, Three Corners/West Daggett","North Slope, Three Corners/West Daggett",fall,limited_entry_fall,2,0,0,0,0,"BR7212 North Slope, Three Corners/West Daggett 2 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7213,Panguitch Lake/Zion,Panguitch Lake/Zion,fall,limited_entry_fall,8,3,0,3,38,BR7213 Panguitch Lake/Zion 8 3 0 3 38,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7214,Paunsaugunt,Paunsaugunt,fall,limited_entry_fall,3,1,0,1,33,BR7214 Paunsaugunt 3 1 0 1 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7217,San Juan,San Juan,fall,limited_entry_fall,6,2,1,3,50,BR7217 San Juan 6 2 1 3 50,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7220,"Wasatch Mtns, Avintaquin/Currant Creek","Wasatch Mtns, Avintaquin/Currant Creek",fall,limited_entry_fall,9,3,1,4,44,"BR7220 Wasatch Mtns, Avintaquin/Currant Creek 9 3 1 4 44",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7221,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",fall,limited_entry_fall,12,7,1,8,67,"BR7221 Wasatch Mtns, West-Central 12 7 1 8 67",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7219,Yellowstone,Yellowstone,fall,limited_entry_fall,4,0,0,0,0,BR7219 Yellowstone 4 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7318,Beaver,Beaver,multiseason,limited_entry_multiseason,3,1,0,1,33,BR7318 Beaver 3 1 0 1 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7300,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",multiseason,limited_entry_multiseason,7,3,0,3,43,"BR7300 Book Cliffs, Bitter Creek/South 7 3 0 3 43",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7301,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",multiseason,limited_entry_multiseason,2,0,0,0,0,"BR7301 Book Cliffs, Little Creek Roadless 2 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,multiseason,limited_entry_multiseason,12,4,1,5,42,BR7310 Boulder/Kaiparowits 12 4 1 5 42,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,multiseason,limited_entry_multiseason,1,0,0,0,0,BR7324 Chalk Creek/East Canyon/Morgan-South Rich 1 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7313,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,multiseason,limited_entry_multiseason,9,0,2,2,22,BR7313 Diamond Mtn/Vernal/Bonanza 9 0 2 2 22,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7311,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,multiseason,limited_entry_multiseason,3,0,0,0,0,BR7311 Fishlake/Thousand Lakes 3 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7321,"Kamas/North Slope, Summit","Kamas/North Slope, Summit",multiseason,limited_entry_multiseason,5,1,1,2,40,"BR7321 Kamas/North Slope, Summit 5 1 1 2 40",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7307,La Sal,La Sal,multiseason,limited_entry_multiseason,14,5,2,7,50,BR7307 La Sal 14 5 2 7 50,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7303,"Manti, North","Manti, North",multiseason,limited_entry_multiseason,14,6,2,8,57,"BR7303 Manti, North 14 6 2 8 57",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7304,"Manti, South/San Rafael, North","Manti, South/San Rafael, North",multiseason,limited_entry_multiseason,15,5,2,7,47,"BR7304 Manti, South/San Rafael, North 15 5 2 7 47",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7322,Mt Dutton,Mt Dutton,multiseason,limited_entry_multiseason,1,0,0,0,0,BR7322 Mt Dutton 1 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7305,Nebo,Nebo,multiseason,limited_entry_multiseason,5,2,3,5,100,BR7305 Nebo 5 2 3 5 100,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7317,Nine Mile,Nine Mile,multiseason,limited_entry_multiseason,9,2,0,2,22,BR7317 Nine Mile 9 2 0 2 22,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,8,black_bear_hunt_code_harvest_2024,Black Bear,BR7308,"North Slope, Three Corners/West Daggett","North Slope, Three Corners/West Daggett",multiseason,limited_entry_multiseason,1,0,0,0,0,"BR7308 North Slope, Three Corners/West Daggett 1 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
