reported_hunt_year,model_target_year,species,unit_context,permits_or_quota_2024,harvest_male,harvest_female,harvest_unknown,harvest_total_unit_summary_2024,percent_permits_or_quota_filled_2024,percent_female,percent_adult_male,depredation_mortality_unit_summary_2024,unit_code,permits_issued,harvest_total,percent_permits_filled,percent_female_mortality_history,percent_adult_male_mortality_history,mean_age,depredation_male,depredation_female,total_harvest_mortality,bears_per_pursuer_general_spring,bears_per_pursuer_general_summer,bears_per_pursuit_day_general_spring,bears_per_pursuit_day_general_summer,bears_treed_total_general_spring,bears_treed_total_general_summer,pursuers_afield_general_spring,pursuers_afield_general_summer,pursuit_days_afield_general_spring,pursuit_days_afield_general_summer,source_family,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw
2024,2025,Black Bear,Mt Dutton,10,3,0,0,3,30,0,50,0,24,10.0,3.0,30.0,0.0,50.0,3.0,0.0,0.0,3.0,2.0,0.0,0.3,0.0,24.0,0.0,12.0,2.0,89.0,17.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Nebo,32,10,10,0,20,63,50,0,2,16a,32.0,20.0,63.0,50.0,0.0,3.7,0.0,0.0,20.0,2.2,2.9,0.3,0.6,22.0,29.0,10.0,10.0,64.0,49.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Nine Mile,90,16,7,0,23,26,30,43,3,11,90.0,23.0,26.0,30.0,43.0,5.7,3.0,0.0,26.0,5.8,9.0,0.4,0.4,35.0,18.0,6.0,2.0,87.0,49.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"North Slope, Three Corners/West Daggett",8,1,2,0,3,38,67,33,3,8bc,8.0,3.0,38.0,67.0,33.0,8.7,2.0,1.0,6.0,,,,,,,0.0,0.0,,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Panguitch Lake/Zion,29,9,1,0,10,34,10,22,2,28/29,29.0,10.0,34.0,10.0,22.0,4.8,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,35.0,4.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Paunsaugunt,11,1,0,0,1,9,0,0,0,27,11.0,1.0,9.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.5,0.0,0.1,0.0,2.0,4.0,4.0,29.0,27.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,San Juan,104,34,13,0,47,45,28,31,3,14,104.0,47.0,45.0,28.0,31.0,4.0,2.0,1.0,50.0,2.2,,0.3,,35.0,,16.0,,122.0,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",40,14,7,0,21,53,33,19,2,,,,,,,,,,,2.6,2.8,0.4,0.3,26.0,54.0,10.0,19.0,74.0,171.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Wasatch Mtns, West-Central",100,28,7,0,35,35,20,24,11,,,,,,,,,,,,3.2,,0.5,,61.0,0.0,19.0,,117.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Yellowstone,22,9,2,0,11,50,18,55,0,9a,22.0,11.0,45.0,18.0,55.0,5.4,0.0,0.0,11.0,2.5,5.3,0.3,0.4,30.0,21.0,12.0,4.0,113.0,58.0,black_bear_quality_features_2024_for_2025,True,True,True
