hunt_code,species_category,hunt_name_draw,draw_res_permits,draw_nr_permits,draw_total_permits,harvest_permits,harvest_source_file,comparison_status
EA1030,Antlerless Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",36,4,40,,,missing_in_harvest_extracts
EA1031,Antlerless Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",36,4,40,,,missing_in_harvest_extracts
EA1033,Antlerless Elk,Antlerless Elk - Kamas - Any Legal Weapon,90,11,101,,,missing_in_harvest_extracts
EA1035,Antlerless Elk,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",101,7,108,,,missing_in_harvest_extracts
EA1037,Antlerless Elk,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",36,4,40,,,missing_in_harvest_extracts
EA1038,Antlerless Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",239,28,267,,,missing_in_harvest_extracts
EA1039,Antlerless Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",180,23,203,,,missing_in_harvest_extracts
EA1040,Antlerless Elk,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",6,1,7,,,missing_in_harvest_extracts
EA1044,Antlerless Elk,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",25,4,29,,,missing_in_harvest_extracts
EA1049,Antlerless Elk,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",54,7,61,,,missing_in_harvest_extracts
EA1054,Antlerless Elk,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",39,1,40,,,missing_in_harvest_extracts
EA1056,Antlerless Elk,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",5,0,5,,,missing_in_harvest_extracts
EA1058,Antlerless Elk,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",116,15,131,,,missing_in_harvest_extracts
EA1060,Antlerless Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",16,1,17,,,missing_in_harvest_extracts
EA1061,Antlerless Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",15,2,17,,,missing_in_harvest_extracts
EA1063,Antlerless Elk,Antlerless Elk - Ogden - Any Legal Weapon,61,8,69,,,missing_in_harvest_extracts
EA1064,Antlerless Elk,Antlerless Elk - Ogden - Any Legal Weapon,44,1,45,,,missing_in_harvest_extracts
EA1069,Antlerless Elk,Antlerless Elk - Panguitch Lake - Any Legal Weapon,18,3,21,,,missing_in_harvest_extracts
EA1073,Antlerless Elk,Antlerless Elk - Paunsaugunt - Any Legal Weapon,15,2,17,,,missing_in_harvest_extracts
EA1074,Antlerless Elk,Antlerless Elk - Pine Valley - Any Legal Weapon,4,1,5,,,missing_in_harvest_extracts
EA1075,Antlerless Elk,Antlerless Elk - Boulder East - Any Legal Weapon,11,2,13,,,missing_in_harvest_extracts
EA1076,Antlerless Elk,Antlerless Elk - Boulder West - Any Legal Weapon,15,2,17,,,missing_in_harvest_extracts
EA1077,Antlerless Elk,Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,15,2,17,,,missing_in_harvest_extracts
EA1078,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,101,12,113,,,missing_in_harvest_extracts
EA1079,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes East - Any Legal Weapon,36,4,40,,,missing_in_harvest_extracts
EA1080,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes West - Any Legal Weapon,22,3,25,,,missing_in_harvest_extracts
EA1081,Antlerless Elk,Antlerless Elk - San Juan - Any Legal Weapon,90,11,101,,,missing_in_harvest_extracts
EA1082,Antlerless Elk,Antlerless Elk - San Juan - Any Legal Weapon,90,11,101,,,missing_in_harvest_extracts
EA1084,Antlerless Elk,"Antlerless Elk - San Rafael, North - Any Legal Weapon",4,0,4,,,missing_in_harvest_extracts
EA1085,Antlerless Elk,Antlerless Elk - Vernal/bonanza - Archery,68,4,72,,,missing_in_harvest_extracts
EA1087,Antlerless Elk,Antlerless Elk - Vernal/bonanza - Any Legal Weapon,72,8,80,,,missing_in_harvest_extracts
EA1089,Antlerless Elk,Antlerless Elk - Diamond Mtn - Any Legal Weapon,36,4,40,,,missing_in_harvest_extracts
EA1090,Antlerless Elk,Antlerless Elk - Diamond Mtn - Any Legal Weapon,36,4,40,,,missing_in_harvest_extracts
EA1094,Antlerless Elk,Antlerless Elk - Mosby Mtn - Any Legal Weapon,72,8,80,,,missing_in_harvest_extracts
EA1101,Antlerless Elk,Antlerless Elk - Southwest Desert - Any Legal Weapon,61,8,69,,,missing_in_harvest_extracts
EA1106,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Avintaquin - Any Legal Weapon",149,19,168,,,missing_in_harvest_extracts
EA1110,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Salt Lake - Any Legal Weapon",32,3,35,,,missing_in_harvest_extracts
EA1111,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",25,3,28,,,missing_in_harvest_extracts
EA1112,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",40,5,45,,,missing_in_harvest_extracts
EA1113,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, West Heber - Any Legal Weapon",22,3,25,,,missing_in_harvest_extracts
EA1114,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, West Timpanogos - Any Legal Weapon",25,4,29,,,missing_in_harvest_extracts
EA1116,Antlerless Elk,Antlerless Elk - Zion - Any Legal Weapon,15,2,17,,,missing_in_harvest_extracts
EA1117,Antlerless Elk,Antlerless Elk - Zion - Any Legal Weapon,130,15,145,,,missing_in_harvest_extracts
EA1118,Antlerless Elk,Cwmu Antlerless Elk - Alton - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1119,Antlerless Elk,Cwmu Antlerless Elk - Bar J Ranch - Any Legal Weapon,10,0,10,,,missing_in_harvest_extracts
EA1120,Antlerless Elk,Cwmu Antlerless Elk - Bear Mountain - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1121,Antlerless Elk,Cwmu Antlerless Elk - Boobe Hole - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1122,Antlerless Elk,Cwmu Antlerless Elk - Causey Spring - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1124,Antlerless Elk,Cwmu Antlerless Elk - Chimney Rock - Any Legal Weapon,10,0,10,,,missing_in_harvest_extracts
EA1125,Antlerless Elk,Cwmu Antlerless Elk - Coldwater Ranch - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1126,Antlerless Elk,Cwmu Antlerless Elk - Cotton Thomas - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1129,Antlerless Elk,Cwmu Antlerless Elk - Deseret - Any Legal Weapon,248,0,248,,,missing_in_harvest_extracts
EA1130,Antlerless Elk,Cwmu Antlerless Elk - Double Cone - Any Legal Weapon,6,0,6,,,missing_in_harvest_extracts
EA1131,Antlerless Elk,Cwmu Antlerless Elk - Durst Mountain - Any Legal Weapon,24,0,24,,,missing_in_harvest_extracts
EA1132,Antlerless Elk,Cwmu Antlerless Elk - East Fork Chalk Creek - Any Legal Weapon,24,0,24,,,missing_in_harvest_extracts
EA1134,Antlerless Elk,Cwmu Antlerless Elk - Ensign Ranches - Any Legal Weapon,48,0,48,,,missing_in_harvest_extracts
EA1135,Antlerless Elk,Cwmu Antlerless Elk - Folley Ridge - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1136,Antlerless Elk,Cwmu Antlerless Elk - Grass Valley/clark Canyon - Any Legal Weapon,40,0,40,,,missing_in_harvest_extracts
EA1137,Antlerless Elk,Cwmu Antlerless Elk - Grazing Pasture - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1138,Antlerless Elk,Cwmu Antlerless Elk - Guildersleeve - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1139,Antlerless Elk,Cwmu Antlerless Elk - Hardscrabble - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1140,Antlerless Elk,Cwmu Antlerless Elk - Heaston East - Any Legal Weapon,20,0,20,,,missing_in_harvest_extracts
EA1141,Antlerless Elk,Cwmu Antlerless Elk - Hiawatha - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1142,Antlerless Elk,Cwmu Antlerless Elk - Indian Head - Any Legal Weapon,10,0,10,,,missing_in_harvest_extracts
EA1143,Antlerless Elk,Cwmu Antlerless Elk - J.b. Ranch - Any Legal Weapon,17,0,17,,,missing_in_harvest_extracts
EA1145,Antlerless Elk,Cwmu Antlerless Elk - Johnson Mountain Ranch - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1146,Antlerless Elk,Cwmu Antlerless Elk - Jump Creek - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1147,Antlerless Elk,Cwmu Antlerless Elk - Little Red Creek - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
EA1149,Antlerless Elk,Cwmu Antlerless Elk - Minnie Maud Ridge - Any Legal Weapon,7,0,7,,,missing_in_harvest_extracts
EA1151,Antlerless Elk,Cwmu Antlerless Elk - Moon Ranch - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1153,Antlerless Elk,Cwmu Antlerless Elk - Old Woman Plateau - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1156,Antlerless Elk,Cwmu Antlerless Elk - Preston Nutter Ranch - Any Legal Weapon,7,0,7,,,missing_in_harvest_extracts
EA1157,Antlerless Elk,Cwmu Antlerless Elk - Redd Ranches - Any Legal Weapon,28,0,28,,,missing_in_harvest_extracts
EA1158,Antlerless Elk,Cwmu Antlerless Elk - Riverview Ranch Llc - Any Legal Weapon,6,0,6,,,missing_in_harvest_extracts
EA1159,Antlerless Elk,Cwmu Antlerless Elk - Roan Cliffs - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1160,Antlerless Elk,Cwmu Antlerless Elk - Sand Creek - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1161,Antlerless Elk,Cwmu Antlerless Elk - Scofield Canyons - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1162,Antlerless Elk,Cwmu Antlerless Elk - Scofield East - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
EA1163,Antlerless Elk,Cwmu Antlerless Elk - Scofield West - Any Legal Weapon,16,0,16,,,missing_in_harvest_extracts
EA1164,Antlerless Elk,Cwmu Antlerless Elk - Sj Ranch - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1165,Antlerless Elk,Cwmu Antlerless Elk - Skull Crack - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
EA1166,Antlerless Elk,Cwmu Antlerless Elk - Soldier Summit - Any Legal Weapon,13,0,13,,,missing_in_harvest_extracts
EA1167,Antlerless Elk,Cwmu Antlerless Elk - South Canyon - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1168,Antlerless Elk,Cwmu Antlerless Elk - Spring Creek/dodge - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
EA1170,Antlerless Elk,Cwmu Antlerless Elk - Strawberry Ridge - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1171,Antlerless Elk,Cwmu Antlerless Elk - Summit Point - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1172,Antlerless Elk,Cwmu Antlerless Elk - Three C - Any Legal Weapon,10,0,10,,,missing_in_harvest_extracts
EA1174,Antlerless Elk,Cwmu Antlerless Elk - Two Bear - Any Legal Weapon,48,0,48,,,missing_in_harvest_extracts
EA1175,Antlerless Elk,Cwmu Antlerless Elk - Wallsburg - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1176,Antlerless Elk,Cwmu Antlerless Elk - Weber Florence Creek/stillman Creek - Any Legal Weapon,52,0,52,,,missing_in_harvest_extracts
EA1177,Antlerless Elk,Cwmu Antlerless Elk - Woodruff Creek South - Any Legal Weapon,7,0,7,,,missing_in_harvest_extracts
EA1187,Antlerless Elk,"Antlerless Elk - Paunsaugunt, Hatch Bench - Any Legal Weapon",11,0,11,,,missing_in_harvest_extracts
EA1189,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, West-central - Muzzleloader",348,16,364,,,missing_in_harvest_extracts
EA1192,Antlerless Elk,Cwmu Antlerless Elk - Pahvant Ensign - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1193,Antlerless Elk,"Antlerless Elk - Cache, Rich - Any Legal Weapon",15,2,17,,,missing_in_harvest_extracts
EA1196,Antlerless Elk,"Antlerless Elk - North Slope, Summit - Any Legal Weapon",54,7,61,,,missing_in_harvest_extracts
EA1198,Antlerless Elk,Cwmu Antlerless Elk - Bear Springs - Any Legal Weapon,2,0,2,,,missing_in_harvest_extracts
EA1200,Antlerless Elk,Cwmu Antlerless Elk - Double R Ranch - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1201,Antlerless Elk,Cwmu Antlerless Elk - Mountain Sky Ranch - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1203,Antlerless Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",4,1,5,,,missing_in_harvest_extracts
EA1204,Antlerless Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",4,1,5,,,missing_in_harvest_extracts
EA1206,Antlerless Elk,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",8,0,8,,,missing_in_harvest_extracts
EA1207,Antlerless Elk,Antlerless Elk - Moroni Hills - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1208,Antlerless Elk,Antlerless Elk - Nebo - Any Legal Weapon,159,18,177,,,missing_in_harvest_extracts
EA1209,Antlerless Elk,"Antlerless Elk - Fillmore, Oak Creek Le - Any Legal Weapon",36,4,40,,,missing_in_harvest_extracts
EA1217,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Avintaquin - Any Legal Weapon",118,7,125,,,missing_in_harvest_extracts
EA1222,Antlerless Elk,"Antlerless Elk - Beaver, East - Any Legal Weapon",22,3,25,,,missing_in_harvest_extracts
EA1223,Antlerless Elk,"Antlerless Elk - Beaver, East - Any Legal Weapon",22,3,25,,,missing_in_harvest_extracts
EA1224,Antlerless Elk,"Antlerless Elk - Book Cliffs, Bitter Creek/south - Any Legal Weapon",94,11,105,,,missing_in_harvest_extracts
EA1225,Antlerless Elk,"Antlerless Elk - Book Cliffs, Bitter Creek/south - Any Legal Weapon",118,13,131,,,missing_in_harvest_extracts
EA1226,Antlerless Elk,Antlerless Elk - Moroni Hills - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1228,Antlerless Elk,Antlerless Elk - Morgan-south Rich - Any Legal Weapon,85,5,90,,,missing_in_harvest_extracts
EA1229,Antlerless Elk,Antlerless Elk - Morgan-south Rich - Any Legal Weapon,128,14,142,,,missing_in_harvest_extracts
EA1231,Antlerless Elk,"Antlerless Elk - West Desert, Tintic Valley - Any Legal Weapon",72,8,80,,,missing_in_harvest_extracts
EA1233,Antlerless Elk,Cwmu Antlerless Elk - Avintaquin Canyon - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1234,Antlerless Elk,Cwmu Antlerless Elk - Royal Ivory Outfitters - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
EA1235,Antlerless Elk,Cwmu Antlerless Elk - Sharp Mountain - Any Legal Weapon,8,0,8,,,missing_in_harvest_extracts
EA1236,Antlerless Elk,Antlerless Elk - East Canyon - Any Legal Weapon,234,9,243,,,missing_in_harvest_extracts
EA1237,Antlerless Elk,"Antlerless Elk - La Sal, La Sal Mtns-north - Any Legal Weapon",61,15,76,,,missing_in_harvest_extracts
EA1239,Antlerless Elk,"Antlerless Elk - Nine Mile, Range Creek - Any Legal Weapon",22,3,25,,,missing_in_harvest_extracts
EA1240,Antlerless Elk,"Antlerless Elk - Nine Mile, Range Creek - Any Legal Weapon",87,10,97,,,missing_in_harvest_extracts
EA1242,Antlerless Elk,Antlerless Elk - Buckskin Hills-jensen - Any Legal Weapon,72,6,78,,,missing_in_harvest_extracts
EA1243,Antlerless Elk,Antlerless Elk - Buckskin Hills-jensen - Any Legal Weapon,72,10,82,,,missing_in_harvest_extracts
EA1244,Antlerless Elk,Antlerless Elk - Yellowstone - Any Legal Weapon,72,8,80,,,missing_in_harvest_extracts
EA1245,Antlerless Elk,Antlerless Elk - Yellowstone - Muzzleloader,44,1,45,,,missing_in_harvest_extracts
EA1250,Antlerless Elk,"Antlerless Elk - North Slope, West Daggett - Any Legal Weapon",22,3,25,,,missing_in_harvest_extracts
EA1251,Antlerless Elk,"Antlerless Elk - Southwest Desert, Burbank/garrison - Any Legal Weapon",11,2,13,,,missing_in_harvest_extracts
EA1252,Antlerless Elk,"Antlerless Elk - Southwest Desert, Burbank/garrison - Any Legal Weapon",4,1,5,,,missing_in_harvest_extracts
EA1254,Antlerless Elk,Antlerless Elk - Pine Valley - Any Legal Weapon,15,2,17,,,missing_in_harvest_extracts
EA1256,Antlerless Elk,Cwmu Antlerless Elk - Little Pole Canyon - Any Legal Weapon,10,0,10,,,missing_in_harvest_extracts
EA1259,Antlerless Elk,Cwmu Antlerless Elk - Diamond Mountain - Any Legal Weapon,2,0,2,,,missing_in_harvest_extracts
EA1260,Antlerless Elk,Cwmu Antlerless Elk - West Ridge - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
EA1261,Antlerless Elk,Cwmu Antlerless Elk - Blackhawk - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
EA1264,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Rabbit Gulch - Any Legal Weapon",77,1,78,,,missing_in_harvest_extracts
EA1265,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Tabby Mtn - Any Legal Weapon",76,3,79,,,missing_in_harvest_extracts
EA1266,Antlerless Elk,"Antlerless Elk - Box Elder, Hansel Mtn - Any Legal Weapon",15,2,17,,,missing_in_harvest_extracts
EA1267,Antlerless Elk,Antlerless Elk - Cache - Any Legal Weapon,87,10,97,,,missing_in_harvest_extracts
EA1268,Antlerless Elk,"Antlerless Elk - North Slope, Summit - Archery",83,4,87,,,missing_in_harvest_extracts
EA1269,Antlerless Elk,Antlerless Elk - Ogden (excludes Hyrum) - Any Legal Weapon,136,4,140,,,missing_in_harvest_extracts
EA2033,Antlerless Elk,Antlerless Elk - Kamas - Archery,41,3,44,,,missing_in_harvest_extracts
EA2034,Antlerless Elk,"Antlerless Elk - Nine Mile, Anthro - Archery",12,4,16,,,missing_in_harvest_extracts
EA2036,Antlerless Elk,"Antlerless Elk - Oquirrh-stansbury, East - Any Legal Weapon",29,4,33,,,missing_in_harvest_extracts
EA2037,Antlerless Elk,Antlerless Elk - Yellowstone - Archery,50,15,65,,,missing_in_harvest_extracts
EA2038,Antlerless Elk,Antlerless Elk - Wasatch Mtns - Archery,425,39,464,,,missing_in_harvest_extracts
MA1005,Antlerless Moose,Antlerless Moose - Morgan-south Rich - Any Legal Weapon,6,1,7,,,missing_in_harvest_extracts
MA1006,Antlerless Moose,"Antlerless Moose - Wasatch Mtns, West - Any Legal Weapon",4,1,5,,,missing_in_harvest_extracts
PD1000,Doe Pronghorn,"Doe Pronghorn - Box Elder, Snowville - Any Legal Weapon",29,4,33,,,missing_in_harvest_extracts
PD1006,Doe Pronghorn,Doe Pronghorn - Parker Mtn - Any Legal Weapon,18,3,21,,,missing_in_harvest_extracts
PD1012,Doe Pronghorn,"Doe Pronghorn - Box Elder, Promontory - Any Legal Weapon",8,1,9,,,missing_in_harvest_extracts
PD1016,Doe Pronghorn,Cwmu Doe Pronghorn - Zane - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
PD1017,Doe Pronghorn,"Doe Pronghorn - Box Elder, West - Any Legal Weapon",25,4,29,,,missing_in_harvest_extracts
PD1025,Doe Pronghorn,Cwmu Doe Pronghorn - Cottonwood Ridge - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
PD1026,Doe Pronghorn,Cwmu Doe Pronghorn - Pahvant Ensign - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
PD1031,Doe Pronghorn,Cwmu Two Doe Pronghorn - Westlake - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
PD1032,Doe Pronghorn,Cwmu Doe Pronghorn - Antelope Creek - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
PD1033,Doe Pronghorn,Doe Pronghorn - Poison Springs Bench - Any Legal Weapon,11,2,13,,,missing_in_harvest_extracts
PD1034,Doe Pronghorn,"Doe Pronghorn - Fillmore, Oak Creek South - Any Legal Weapon",18,3,21,,,missing_in_harvest_extracts
PD1035,Doe Pronghorn,"Doe Pronghorn - Fillmore, Oak Creek South - Any Legal Weapon",18,3,21,,,missing_in_harvest_extracts
PD1043,Doe Pronghorn,"Doe Pronghorn - Nine Mile, Anthro-pleasant Valley - Any Legal Weapon",8,1,9,,,missing_in_harvest_extracts
PD1044,Doe Pronghorn,Doe Pronghorn - Vernal-ouray Valley - Any Legal Weapon,18,3,21,,,missing_in_harvest_extracts
PD1045,Doe Pronghorn,Cwmu Doe Pronghorn - The Rose Of Snowville - Any Legal Weapon,2,0,2,,,missing_in_harvest_extracts
PD1046,Doe Pronghorn,Cwmu Doe Pronghorn - Green River Flat - Any Legal Weapon,5,0,5,,,missing_in_harvest_extracts
RE1000,Ewe Bighorn,"Rocky Mountain Bighorn Sheep Ewe - Box Elder, Newfoundland Mtns - Any Legal Weapon",4,1,5,,,missing_in_harvest_extracts
