hunt_code,hunt_name,dataset_family,res_total_permits,nr_total_permits,total_permits,source_file,source_page,integrity_note
DS6608,"Desert Bighorn Sheep - San Rafael, Dirty Devil - Any Legal Weapon Page 211",big_game_master,6,1801,1807,24_bg-odds.pdf,509,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DS6610,"Desert Bighorn Sheep - San Rafael, South - Any Legal Weapon Page 213",big_game_master,11,2123,2134,24_bg-odds.pdf,511,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3000,"Limited-entry Archery Bull Elk - Beaver, East - Archery Page 222",big_game_master,18,514,532,24_bg-odds.pdf,189,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3006,Limited-entry Archery Bull Elk - Manti - Archery Page 226,big_game_master,149,453,602,24_bg-odds.pdf,193,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3010,Limited-entry Archery Bull Elk - Monroe - Archery Page 229,big_game_master,17,304,321,24_bg-odds.pdf,196,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3015,Limited-entry Archery Bull Elk - Panguitch Lake - Archery Page 232,big_game_master,12,250,262,24_bg-odds.pdf,199,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3018,Limited-entry Archery Bull Elk - Fishlake/thousand Lakes - Archery Page 233,big_game_master,76,203,279,24_bg-odds.pdf,200,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3019,Limited-entry Archery Bull Elk - San Juan Bull Elk - Archery Page 234,big_game_master,22,809,831,24_bg-odds.pdf,201,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3022,Limited-entry Archery Bull Elk - Wasatch Mtns - Archery Page 236,big_game_master,181,381,562,24_bg-odds.pdf,203,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3024,"Limited-entry Alw (rifle) Bull Elk - Early - Beaver, East - Any Legal Weapon Page 237",big_game_master,7,1199,1206,24_bg-odds.pdf,204,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3025,"Limited-entry Alw (rifle) Bull Elk - Late - Beaver, East - Any Legal Weapon Page 238",big_game_master,13,216,229,24_bg-odds.pdf,205,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3038,Limited-entry Alw (rifle) Bull Elk - Early - Manti - Any Legal Weapon Page 245,big_game_master,62,656,718,24_bg-odds.pdf,212,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3039,Limited-entry Alw (rifle) Bull Elk - Late - Manti - Any Legal Weapon Page 246,big_game_master,102,241,343,24_bg-odds.pdf,213,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3042,"Limited-entry Alw (rifle) Bull Elk - Early - Fillmore, Pahvant - Any Legal Weapon Page 247",big_game_master,7,363,370,24_bg-odds.pdf,214,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3047,Limited-entry Alw (rifle) Bull Elk - Early - Monroe - Any Legal Weapon Page 252,big_game_master,7,665,672,24_bg-odds.pdf,219,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3049,Limited-entry Alw (rifle) Bull Elk - Early - Mt Dutton - Any Legal Weapon Page 254,big_game_master,6,227,233,24_bg-odds.pdf,221,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3063,Limited-entry Alw (rifle) Bull Elk - Early - Fishlake/thousand Lakes - Any Legal Weapon Page 259,big_game_master,30,313,343,24_bg-odds.pdf,226,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3066,Limited-entry Alw (rifle) Bull Elk - Early - San Juan Bull Elk - Any Legal Weapon Page 262,big_game_master,9,2030,2039,24_bg-odds.pdf,229,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3072,Limited-entry Alw (rifle) Bull Elk - Early - Wasatch Mtns - Any Legal Weapon Page 266,big_game_master,72,546,618,24_bg-odds.pdf,233,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3073,Limited-entry Alw (rifle) Bull Elk - Late - Wasatch Mtns - Any Legal Weapon Page 267,big_game_master,124,208,332,24_bg-odds.pdf,234,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3077,"Limited-entry Muzzleloader Bull Elk - Beaver, East - Muzzleloader Page 268",big_game_master,12,221,233,24_bg-odds.pdf,235,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3084,Limited-entry Muzzleloader Bull Elk - Manti - Muzzleloader Page 272,big_game_master,90,216,306,24_bg-odds.pdf,239,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3097,Limited-entry Muzzleloader Bull Elk - San Juan Bull Elk - Muzzleloader Page 280,big_game_master,14,241,255,24_bg-odds.pdf,247,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3126,Limited-entry Alw (rifle) Bull Elk - Mid - Manti - Any Legal Weapon Page 298,big_game_master,178,341,519,24_bg-odds.pdf,265,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3127,Limited-entry Alw (rifle) Bull Elk - Mid - Wasatch Mtns - Any Legal Weapon Page 299,big_game_master,217,257,474,24_bg-odds.pdf,266,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3145,Limited-entry Archery Bull Elk - Boulder - Archery Page 309,big_game_master,28,371,399,24_bg-odds.pdf,276,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3148,Limited-entry Alw (rifle) Bull Elk - Early - Boulder - Any Legal Weapon Page 312,big_game_master,11,659,670,24_bg-odds.pdf,279,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3149,"Limited-entry Alw (rifle) Bull Elk - Early - Southwest Desert, South - Any Legal Weapon Page 313",big_game_master,12,323,335,24_bg-odds.pdf,280,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3154,Limited-entry Muzzleloader Bull Elk - Boulder - Muzzleloader Page 318,big_game_master,17,204,221,24_bg-odds.pdf,285,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3159,"Limited-entry Alw (rifle) Bull Elk - Mid - Beaver, East - Any Legal Weapon Page 323",big_game_master,22,264,286,24_bg-odds.pdf,290,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3162,"Limited-entry Alw (rifle) Bull Elk - Early - Book Cliffs, Bitter Creek/east - Any Legal Weapon Page 326",big_game_master,7,264,271,24_bg-odds.pdf,293,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3189,Limited-entry Alw (rifle) Bull Elk - Mid - Panguitch Lake - Any Legal Weapon Page 353,big_game_master,15,216,231,24_bg-odds.pdf,320,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
EB3194,Limited-entry Alw (rifle) Bull Elk - Mid - San Juan Bull Elk - Any Legal Weapon Page 358,big_game_master,28,288,316,24_bg-odds.pdf,325,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6800,Mountain Goat - Beaver - Any Legal Weapon Page 431,big_game_master,7,3116,3123,24_bg-odds.pdf,520,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6803,Mountain Goat - Nebo - Any Legal Weapon Page 433,big_game_master,12,1356,1368,24_bg-odds.pdf,522,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6805,Mountain Goat - High Uintas Central - Any Legal Weapon Page 435,big_game_master,3,600,603,24_bg-odds.pdf,524,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6806,Mountain Goat - High Uintas East - Any Legal Weapon Page 436,big_game_master,1,934,935,24_bg-odds.pdf,525,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6808,Mountain Goat - High Uintas West - Any Legal Weapon Page 438,big_game_master,8,819,827,24_bg-odds.pdf,527,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6817,"Mountain Goat - La Sal, La Sal Mtns - Any Legal Weapon Page 442",big_game_master,10,1563,1573,24_bg-odds.pdf,531,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
GO6821,Mountain Goat Archery - Nebo - Archery Page 446,big_game_master,9,765,774,24_bg-odds.pdf,535,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6000,Bull Moose - Cache - Any Legal Weapon Page 448,big_game_master,13,1972,1985,24_bg-odds.pdf,538,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6005,Bull Moose - Morgan-south Rich - Any Legal Weapon Page 453,big_game_master,4,399,403,24_bg-odds.pdf,543,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6006,"Bull Moose - North Slope, Summit - Any Legal Weapon Page 454",big_game_master,22,2742,2764,24_bg-odds.pdf,544,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6007,"Bull Moose - North Slope, Three Corners/west Daggett - Any Legal Weapon Page 455",big_game_master,8,1014,1022,24_bg-odds.pdf,545,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6008,Bull Moose - Ogden - Any Legal Weapon Page 456,big_game_master,7,814,821,24_bg-odds.pdf,546,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
MB6011,Bull Moose - Wasatch Mtns/central Mtns - Any Legal Weapon Page 459,big_game_master,19,2941,2960,24_bg-odds.pdf,549,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5025,Limited-entry Alw (rifle) Buck Pronghorn - Beaver - Any Legal Weapon Page 503,big_game_master,35,401,436,24_bg-odds.pdf,419,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5027,"Limited-entry Alw (rifle) Buck Pronghorn - Book Cliffs, South - Any Legal Weapon Page 505",big_game_master,27,473,500,24_bg-odds.pdf,421,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5033,"Limited-entry Alw (rifle) Buck Pronghorn - Fillmore, Oak Creek South - Any Legal Weapon Page 510",big_game_master,33,215,248,24_bg-odds.pdf,426,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5037,"Limited-entry Alw (rifle) Buck Pronghorn - Nine Mile, Anthro-myton Bench - Any Legal Weapon Page 513",big_game_master,75,371,446,24_bg-odds.pdf,429,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5046,"Limited-entry Alw (rifle) Buck Pronghorn - San Rafael, North - Any Legal Weapon Page 521",big_game_master,53,1150,1203,24_bg-odds.pdf,437,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
PB5049,Limited-entry Alw (rifle) Buck Pronghorn - Southwest Desert - Any Legal Weapon Page 524,big_game_master,83,789,872,24_bg-odds.pdf,440,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
RS6701,"Rocky Mountain Bighorn Sheep - Book Cliffs, South - Any Legal Weapon Page 568",big_game_master,5,6931,6936,24_bg-odds.pdf,574,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
RS6703,"Rocky Mountain Bighorn Sheep - Box Elder, Newfoundland Mtn - Any Legal Weapon Page 569",big_game_master,4,1922,1926,24_bg-odds.pdf,575,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
RS6704,"Rocky Mountain Bighorn Sheep - Box Elder, Newfoundland Mtn - Any Legal Weapon Page 570",big_game_master,5,1588,1593,24_bg-odds.pdf,576,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
RS6726,"Rocky Mountain Bighorn Sheep - Fillmore, Oak Creek - Any Legal Weapon Page 580",big_game_master,4,1943,1947,24_bg-odds.pdf,586,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
