Section,Unit,Hunt number,Hunt name,Cow harvest,Calf harvest,Total harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),source_page
Limited-entry any legal weapon antlerless elk harvest,2,EA1011,"Cache, Richards Hollow",10,3,13,20,19,5.0,68.4,2
Limited-entry any legal weapon antlerless elk harvest,2,EA1012,"Cache, Richmond Hyde Park",1,0,1,10,5,8.6,20.0,2
Limited-entry any legal weapon antlerless elk harvest,2,EA1206,"Cache, Richmond Hyde Park",4,0,4,10,9,7.5,50.0,2
Limited-entry any legal weapon antlerless elk harvest,6,EA1026,Chalk Creek,67,4,71,340,245,6.8,28.8,2
Limited-entry any legal weapon antlerless elk harvest,9C,EA1089,Diamond Mtn,8,3,11,48,43,3.7,26.8,2
Limited-entry any legal weapon antlerless elk harvest,9C,EA1090,Diamond Mtn,14,0,14,48,46,3.2,31.1,2
Limited-entry any legal weapon antlerless elk harvest,5,EA1236,East Canyon,76,9,85,296,250,5.6,34.1,2
Limited-entry any legal weapon antlerless elk harvest,21,EA1209,"Fillmore, Oak Creek LE",11,4,15,49,44,9.4,34.3,2
Limited-entry any legal weapon antlerless elk harvest,21,EA1030,"Fillmore, Pahvant",14,1,15,49,45,4.4,33.3,2
Limited-entry any legal weapon antlerless elk harvest,21,EA1031,"Fillmore, Pahvant",17,3,20,49,41,9.3,48.4,2
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1078,Fishlake/Thousand Lakes,39,7,46,133,129,5.5,35.5,2
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1079,Fishlake/Thousand Lakes East,28,1,29,48,46,3.7,63.0,2
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1080,Fishlake/Thousand Lakes West,21,2,23,28,27,3.9,84.6,2
Limited-entry any legal weapon antlerless elk harvest,7,EA1033,Kamas,24,1,25,124,107,6.2,23.8,2
Limited-entry any legal weapon antlerless elk harvest,7,EA2033,Kamas,1,0,1,100,64,6.4,1.9,2
Limited-entry any legal weapon antlerless elk harvest,7,EA1035,"Kamas, Oakley",13,4,17,124,102,6.4,16.3,2
Limited-entry any legal weapon antlerless elk harvest,13B,EA1037,"La Sal, Dolores Triangle",16,2,18,47,40,3.8,45.5,2
Limited-entry any legal weapon antlerless elk harvest,13A,EA1038,"La Sal, La Sal Mtns",45,9,54,296,270,5.5,20.0,2
Limited-entry any legal weapon antlerless elk harvest,13A,EA1039,"La Sal, La Sal Mtns",20,5,25,246,201,7.2,12.5,2
Limited-entry any legal weapon antlerless elk harvest,13A,EA1237,"La Sal, La Sal Mtns, North",31,4,35,148,120,6.2,29.0,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1013,"Manti, Central",21,4,25,60,59,4.7,43.1,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1015,"Manti, Ferron Canyon",17,3,20,58,56,4.9,35.2,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1017,"Manti, Gordon Creek-Price",26,1,27,69,64,8.7,42.3,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1018,"Manti, Horn Mtn",24,6,30,49,48,4.7,61.7,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1020,"Manti, Mohrland-Stump Flat",43,10,53,88,78,6.8,68.9,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1022,"Manti, North",65,6,71,271,258,4.3,27.4,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1023,"Manti, South",28,6,34,97,90,4.5,38.1,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1024,"Manti, South",61,7,68,98,94,5.7,72.9,2
Limited-entry any legal weapon antlerless elk harvest,16B,EA1025,"Manti, West",35,7,42,109,87,8.3,48.6,2
Limited-entry any legal weapon antlerless elk harvest,23,EA1040,"Monroe, Koosharem Valley",1,0,1,6,4,2.5,25.0,2
Limited-entry any legal weapon antlerless elk harvest,4,EA1228,Morgan-South Rich,10,2,12,98,78,2.9,14.7,3
Limited-entry any legal weapon antlerless elk harvest,4,EA1229,Morgan-South Rich,81,4,85,174,159,3.5,53.6,3
Limited-entry any legal weapon antlerless elk harvest,4,EA1044,"Morgan-South Rich, South Rich",8,3,11,35,24,3.2,47.1,3
Limited-entry any legal weapon antlerless elk harvest,24,EA1049,"Mt Dutton, Deep Creek",14,3,17,72,60,4.6,28.1,3
Limited-entry any legal weapon antlerless elk harvest,16A,EA1021,Nebo,59,9,68,197,185,4.1,37.1,3
Limited-entry any legal weapon antlerless elk harvest,16A,EA1208,Nebo,92,4,96,219,199,6.3,48.4,3
Limited-entry any legal weapon antlerless elk harvest,16A,EA1207,"Nebo, Moroni Hills",2,0,2,10,8,4.1,25.0,3
Limited-entry any legal weapon antlerless elk harvest,16A,EA1226,"Nebo, Moroni Hills",0,1,1,9,8,4.1,12.5,3
Limited-entry any legal weapon antlerless elk harvest,11B,EA1239,"Nine Mile, Range Creek",10,0,10,29,23,5.7,42.9,3
Limited-entry any legal weapon antlerless elk harvest,11B,EA1240,"Nine Mile, Range Creek",37,1,38,119,100,7.1,38.3,3
Limited-entry any legal weapon antlerless elk harvest,11A,EA1054,"Nine Mile, West Anthro",19,4,23,50,44,3.6,52.9,3
Limited-entry any legal weapon antlerless elk harvest,8B,EA1056,"North Slope, Greendale",0,0,0,5,5,13.0,0.0,3
Limited-entry any legal weapon antlerless elk harvest,8A,EA1058,"North Slope, Henry's Fork-Burnt Fork",30,7,37,149,120,6.0,30.5,3
Limited-entry any legal weapon antlerless elk harvest,8A,EA1196,"North Slope, Summit",8,1,9,74,70,5.5,12.5,3
Limited-entry any legal weapon antlerless elk harvest,8B,EA1250,"North Slope, West Daggett",7,0,7,30,29,6.0,25.0,3
Limited-entry any legal weapon antlerless elk harvest,3,EA1063,Ogden,8,2,10,73,62,7.3,16.4,3
Limited-entry any legal weapon antlerless elk harvest,3,EA1064,Ogden,9,0,9,50,40,5.1,23.5,3
Limited-entry any legal weapon antlerless elk harvest,3,EA1269,Ogden (excludes Hyrum),53,6,59,174,145,4.5,40.5,3
Limited-entry any legal weapon antlerless elk harvest,18,EA2036,"Oquirrh-Stansbury, East",35,1,36,39,39,3.1,91.9,3
Limited-entry any legal weapon antlerless elk harvest,28,EA1069,Panguitch Lake,9,0,9,23,20,3.2,44.4,3
Limited-entry any legal weapon antlerless elk harvest,27,EA1073,Paunsaugunt,3,0,3,20,11,6.0,30.0,3
Limited-entry any legal weapon antlerless elk harvest,27,EA1187,"Paunsaugunt, Hatch Bench",1,0,1,15,12,8.7,8.3,3
Limited-entry any legal weapon antlerless elk harvest,30,EA1074,Pine Valley,0,0,0,4,3,9.3,0.0,3
Limited-entry any legal weapon antlerless elk harvest,30,EA1254,Pine Valley,3,0,3,17,14,7.0,25.0,3
Limited-entry any legal weapon antlerless elk harvest,14,EA1081,San Juan,28,2,30,124,112,4.8,27.1,3
Limited-entry any legal weapon antlerless elk harvest,14,EA1082,San Juan,41,5,46,122,106,6.8,43.0,3
Limited-entry any legal weapon antlerless elk harvest,12,EA1084,"San Rafael, North",0,0,0,4,2,11.5,0.0,3
Limited-entry any legal weapon antlerless elk harvest,20,EA1101,Southwest Desert,50,2,52,84,80,4.2,64.9,3
Limited-entry any legal weapon antlerless elk harvest,20,EA1251,"Southwest Desert, Burbank/Garrison",6,0,6,14,13,2.6,50.0,3
Limited-entry any legal weapon antlerless elk harvest,20,EA1252,"Southwest Desert, Burbank/Garrison",1,0,1,5,4,3.3,25.0,3
Limited-entry any legal weapon antlerless elk harvest,9B,EA1242,"Vernal, Buckskin Hills-Jensen",22,0,22,100,89,6.5,25.0,3
Limited-entry any legal weapon antlerless elk harvest,9B,EA1243,"Vernal, Buckskin Hills-Jensen",27,5,32,98,83,5.2,39.1,3
Limited-entry any legal weapon antlerless elk harvest,9B,EA1094,"Vernal, Mosby Mtn",30,2,32,99,87,6.4,36.6,3
Limited-entry any legal weapon antlerless elk harvest,9B,EA1087,Vernal/Bonanza,24,3,27,98,91,5.9,29.5,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1106,"Wasatch Mtns, Avintaquin",29,5,34,193,157,4.0,21.4,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1217,"Wasatch Mtns, Avintaquin",21,5,26,149,129,4.3,20.5,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1264,"Wasatch Mtns, Rabbit Gulch",32,1,33,97,92,3.4,36.3,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1110,"Wasatch Mtns, Salt Lake",15,0,15,41,35,7.9,42.4,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1265,"Wasatch Mtns, Tabby Mtn",44,3,47,97,86,2.5,54.4,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1111,"Wasatch Mtns, Wallsburg",6,1,7,35,27,3.7,28.0,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1112,"Wasatch Mtns, Wallsburg",5,3,8,51,44,6.3,17.9,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1113,"Wasatch Mtns, West Heber",9,0,9,30,23,4.8,38.9,3
Limited-entry any legal weapon antlerless elk harvest,17,EA1114,"Wasatch Mtns, West Timpanogos",15,2,17,34,29,5.2,57.7,4
Limited-entry any legal weapon antlerless elk harvest,19,EA1231,"West Desert, Tintic Valley",34,5,39,100,90,8.3,43.2,4
Limited-entry any legal weapon antlerless elk harvest,9A,EA1244,Yellowstone,11,1,12,100,81,4.5,14.7,4
Limited-entry any legal weapon antlerless elk harvest,29,EA1116,Zion,0,0,0,20,15,7.7,0.0,4
Limited-entry any legal weapon antlerless elk harvest,29,EA1117,Zion,20,0,20,177,136,7.0,14.5,4
Limited-entry any legal weapon antlerless elk harvest,22,EA2021,"Beaver, East",5,1,6,28,19,7.0,33.3,5
Limited-entry any legal weapon antlerless elk harvest,1,EA2026,"Box Elder, Hansel Mtn",11,0,11,83,64,7.3,16.7,5
Limited-entry any legal weapon antlerless elk harvest,2,EA2027,Cache,66,8,74,268,240,6.7,31.1,5
Limited-entry any legal weapon antlerless elk harvest,6,EA2004,Chalk Creek,163,24,187,494,407,6.5,46.0,5
Limited-entry any legal weapon antlerless elk harvest,9C,EA2030,Diamond Mtn,91,5,96,259,214,5.6,45.0,5
Limited-entry any legal weapon antlerless elk harvest,5,EA2003,East Canyon,90,7,97,295,255,8.4,38.1,5
Limited-entry any legal weapon antlerless elk harvest,21,EA2039,"Fillmore, Pahvant",31,5,36,150,108,9.3,33.8,5
Limited-entry any legal weapon antlerless elk harvest,7,EA2040,Kamas,32,2,34,88,77,4.5,44.2,5
Limited-entry any legal weapon antlerless elk harvest,13A,EA2009,"La Sal, La Sal Mtns",13,0,13,70,62,11.5,21.6,5
Limited-entry any legal weapon antlerless elk harvest,16B,EA2011,Manti,94,12,106,248,205,8.8,51.6,5
Limited-entry any legal weapon antlerless elk harvest,4,EA2002,Morgan-South Rich,56,8,64,231,186,5.8,34.4,5
Limited-entry any legal weapon antlerless elk harvest,24,EA2017,Mt Dutton,20,0,20,49,41,8.8,50.0,5
Limited-entry any legal weapon antlerless elk harvest,16A,EA2016,Nebo,45,15,60,247,203,10.2,29.4,5
Limited-entry any legal weapon antlerless elk harvest,11A,EA2008,"Nine Mile, Anthro-Myton Bench",4,0,4,34,29,7.8,12.5,5
Limited-entry any legal weapon antlerless elk harvest,11B,EA2029,"Nine Mile, Range Creek",29,2,31,115,99,8.9,31.6,5
Limited-entry any legal weapon antlerless elk harvest,8B,EA2005,"North Slope, West Daggett",40,0,40,75,62,4.3,64.7,5
Limited-entry any legal weapon antlerless elk harvest,28,EA2018,Panguitch Lake,24,0,24,50,43,11.8,54.5,5
Limited-entry any legal weapon antlerless elk harvest,27,EA2015,Paunsaugunt,12,2,14,92,76,6.0,17.9,5
Limited-entry any legal weapon antlerless elk harvest,14,EA2010,San Juan,18,0,18,50,45,12.1,40.0,5
Limited-entry any legal weapon antlerless elk harvest,9B,EA2028,Vernal/Bonanza,78,7,85,244,211,7.5,40.4,5
Limited-entry any legal weapon antlerless elk harvest,17,EA2014,"Wasatch Mtns, Avintaquin-White River",8,0,8,51,37,5.2,21.7,5
Limited-entry any legal weapon antlerless elk harvest,17,EA2013,"Wasatch Mtns, Currant Creek",50,0,50,149,121,5.4,41.2,5
Limited-entry any legal weapon antlerless elk harvest,17,EA2012,"Wasatch Mtns, West",64,17,81,237,193,4.4,41.9,5
Limited-entry any legal weapon antlerless elk harvest,19,EA2019,"West Desert, Tintic Valley",21,6,27,93,70,11.3,38.0,5
Limited-entry any legal weapon antlerless elk harvest,9A,EA2006,Yellowstone,152,16,168,450,356,11.3,47.2,5
Limited-entry any legal weapon antlerless elk harvest,29,EA2020,Zion,60,4,64,281,229,13.1,28.0,5
Limited-entry any legal weapon antlerless elk harvest,27,EA1118,Alton,1,0,1,4,3,8.5,50.0,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1233,Avintaquin Canyon,0,0,0,10,3,5.0,0.0,6
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1119,Bar J Ranch,8,4,12,19,19,4.0,62.5,6
Limited-entry any legal weapon antlerless elk harvest,16B,EA1120,Bear Mountain,4,0,4,17,17,3.9,21.4,6
Limited-entry any legal weapon antlerless elk harvest,3,EA1198,Bear Springs,0,0,0,2,2,4.5,0.0,6
Limited-entry any legal weapon antlerless elk harvest,16B,EA1260,Blackhawk,3,0,3,5,5,3.4,60.0,6
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1121,Boobe Hole,6,0,6,10,10,2.6,60.0,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1122,Causey Spring,2,0,2,5,5,3.0,40.0,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1124,Chimney Rock,3,0,3,12,12,2.1,25.0,6
Limited-entry any legal weapon antlerless elk harvest,3,EA1125,Coldwater Ranch,13,1,14,20,19,1.8,72.2,6
Limited-entry any legal weapon antlerless elk harvest,1,EA1126,Cotton Thomas,0,0,0,5,3,3.0,0.0,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1129,Deseret,332,41,373,576,541,2.6,69.0,6
Limited-entry any legal weapon antlerless elk harvest,9C,EA1259,Diamond Mountain CWMU,3,0,3,3,3,1.0,100.0,6
Limited-entry any legal weapon antlerless elk harvest,1,EA1130,Double Cone,1,0,1,7,6,5.0,20.0,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1200,Double R Ranch,6,0,6,10,8,2.3,75.0,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1131,Durst Mountain,22,0,22,29,29,1.7,75.0,6
Limited-entry any legal weapon antlerless elk harvest,6,EA1132,East Fork Chalk Creek,24,0,24,66,59,4.3,40.0,6
Limited-entry any legal weapon antlerless elk harvest,6,EA1134,Ensign Ranches,47,8,55,110,100,2.2,55.1,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1135,Folley Ridge,11,0,11,19,18,2.1,60.0,6
Limited-entry any legal weapon antlerless elk harvest,6,EA1136,Grass Valley/Clark Canyon,61,5,66,92,90,2.1,74.0,6
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1137,Grazing Pasture,14,0,14,15,14,3.4,100.0,6
Limited-entry any legal weapon antlerless elk harvest,4,EA1138,Guildersleeve,9,2,11,20,20,3.3,52.6,6
Limited-entry any legal weapon antlerless elk harvest,5,EA1139,Hardscrabble,4,0,4,9,9,3.4,44.4,6
Limited-entry any legal weapon antlerless elk harvest,18,EA1140,Heaston East,24,0,24,24,24,1.4,100.0,6
Limited-entry any legal weapon antlerless elk harvest,16B,EA1141,Hiawatha,9,0,9,15,13,3.1,71.4,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1142,Indian Head,2,2,4,11,11,3.1,40.0,6
Limited-entry any legal weapon antlerless elk harvest,13A,EA1143,J. B. Ranch,28,3,31,35,34,1.9,90.6,6
Limited-entry any legal weapon antlerless elk harvest,25AB,EA1145,Johnson Mountain Ranch,17,0,17,20,19,1.6,89.5,6
Limited-entry any legal weapon antlerless elk harvest,16B,EA1146,Jump Creek,4,0,4,14,12,3.3,33.3,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1256,Little Pole Canyon,3,1,4,12,11,2.6,36.4,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1147,Little Red Creek,11,1,12,14,14,2.2,84.6,6
Limited-entry any legal weapon antlerless elk harvest,11B,EA1149,Minnie Maud Ridge,0,0,0,8,8,7.0,0.0,6
Limited-entry any legal weapon antlerless elk harvest,17,EA1151,Moon Ranch,0,0,0,6,5,2.2,0.0,6
Limited-entry any legal weapon antlerless elk harvest,16A,EA1201,Mountain Sky Ranch,5,0,5,10,10,3.8,50.0,6
Limited-entry any legal weapon antlerless elk harvest,16B,EA1153,Old Woman Plateau,0,1,1,4,4,3.0,33.3,6
Limited-entry any legal weapon antlerless elk harvest,21,EA1192,Pahvant Ensign,2,0,2,6,6,1.7,33.3,6
Limited-entry any legal weapon antlerless elk harvest,11B,EA1156,Preston Nutter Ranch,5,0,5,7,6,1.4,80.0,6
Limited-entry any legal weapon antlerless elk harvest,13A,EA1157,Redd Ranches,21,0,21,33,32,2.7,66.7,6
Limited-entry any legal weapon antlerless elk harvest,1,EA1158,Riverview Ranch LLC,8,0,8,9,9,1.9,87.5,6
Limited-entry any legal weapon antlerless elk harvest,11B,EA1159,Roan Cliffs,1,0,1,6,5,2.8,25.0,6
Limited-entry any legal weapon antlerless elk harvest,8A,EA1234,Royal Ivory Outfitters,6,0,6,14,14,2.3,41.7,7
Limited-entry any legal weapon antlerless elk harvest,17,EA1160,Sand Creek,5,0,5,5,5,2.5,100.0,7
Limited-entry any legal weapon antlerless elk harvest,16B,EA1161,Scofield Canyons,7,0,7,9,9,1.8,75.0,7
Limited-entry any legal weapon antlerless elk harvest,16B,EA1162,Scofield East,12,0,12,14,14,1.8,84.6,7
Limited-entry any legal weapon antlerless elk harvest,16B,EA1163,Scofield West,12,1,13,26,22,3.3,57.9,7
Limited-entry any legal weapon antlerless elk harvest,3,EA1235,Sharp Mountain,3,2,5,8,7,2.3,71.4,7
Limited-entry any legal weapon antlerless elk harvest,2,EA1164,SJ Ranch,1,1,2,6,6,3.2,33.3,7
Limited-entry any legal weapon antlerless elk harvest,4,EA1165,Skull Crack,6,2,8,12,11,1.0,71.4,7
Limited-entry any legal weapon antlerless elk harvest,16B,EA1166,Soldier Summit,3,2,5,16,15,2.5,30.8,7
Limited-entry any legal weapon antlerless elk harvest,3,EA1167,South Canyon,5,3,8,10,10,1.9,80.0,7
Limited-entry any legal weapon antlerless elk harvest,14,EA1168,Spring Creek/Dodge,12,1,13,20,17,3.8,80.0,7
Limited-entry any legal weapon antlerless elk harvest,2,EA1170,Strawberry Ridge,10,0,10,10,10,1.7,100.0,7
Limited-entry any legal weapon antlerless elk harvest,14,EA1171,Summit Point,8,0,8,10,10,4.9,75.0,7
Limited-entry any legal weapon antlerless elk harvest,17,EA1172,Three C,15,1,16,17,17,2.1,93.3,7
Limited-entry any legal weapon antlerless elk harvest,6,EA1174,Two Bear,39,1,40,56,53,1.6,76.5,7
Limited-entry any legal weapon antlerless elk harvest,17,EA1175,Wallsburg,0,0,0,10,9,2.6,0.0,7
Limited-entry any legal weapon antlerless elk harvest,6,EA1176,Weber Florence Creek,19,2,21,94,90,3.5,23.8,7
Limited-entry any legal weapon antlerless elk harvest,11B,EA1261,West Ridge,4,0,4,5,5,5.4,80.0,7
Limited-entry any legal weapon antlerless elk harvest,4,EA1177,Woodruff Creek South,4,0,4,8,8,4.3,50.0,7
