hunt_code,species,hunt_name,hunt_type,weapon,sex_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,year,prediction_year,source_file
DB1606,Deer,East Canyon,General Season,Muzzleloader,Male Only,316,242.0,18.0,7.4,3.6,2.8,2025,2026,harvest_2025.csv
DB1607,Deer,Morgan-South Rich,General Season,Any Legal Weapon,Male Only,628,516.0,155.0,30.0,3.4,3.1,2025,2026,harvest_2025.csv
DB1608,Deer,Morgan-South Rich,General Season,Archery,Male Only,308,223.0,31.0,13.9,8.5,3.0,2025,2026,harvest_2025.csv
DB1609,Deer,Morgan-South Rich,General Season,Early Any Legal Weapon,Male Only,323,226.0,47.0,20.8,3.0,2.9,2025,2026,harvest_2025.csv
DB1610,Deer,Morgan-South Rich,General Season,Muzzleloader,Male Only,181,149.0,18.0,12.1,4.8,2.7,2025,2026,harvest_2025.csv
DB1611,Deer,"Beaver, East",General Season,Archery,Male Only,296,258.0,76.0,29.5,7.6,3.4,2025,2026,harvest_2025.csv
DB1612,Deer,"Beaver, East",General Season,Muzzleloader,Male Only,307,275.0,93.0,33.8,4.1,3.3,2025,2026,harvest_2025.csv
DB1613,Deer,"Beaver, East",General Season,Any Legal Weapon,Male Only,1059,989.0,494.0,49.9,4.3,3.2,2025,2026,harvest_2025.csv
DB1614,Deer,"Beaver, West",General Season,Archery,Male Only,91,85.0,24.0,28.2,9.5,3.7,2025,2026,harvest_2025.csv
DB1615,Deer,"Beaver, West",General Season,Muzzleloader Restricted,Male Only,89,79.0,31.0,39.2,4.5,3.7,2025,2026,harvest_2025.csv
DB1616,Deer,"Beaver, West",General Season,Rifle Restricted,Male Only,286,276.0,143.0,51.8,4.7,3.4,2025,2026,harvest_2025.csv
DB1617,Deer,"West Desert, Swasey",General Season,Archery,Male Only,68,55.0,21.0,38.2,9.1,3.6,2025,2026,harvest_2025.csv
DB1618,Deer,"West Desert, Swasey",General Season,Muzzleloader,Male Only,65,54.0,12.0,22.2,4.4,3.3,2025,2026,harvest_2025.csv
DB1619,Deer,"West Desert, Swasey",General Season,Any Legal Weapon,Male Only,228,190.0,44.0,23.2,4.5,2.7,2025,2026,harvest_2025.csv
DB1620,Deer,Oquirrh/Tintic,General Season,Archery,Male Only,372,310.0,84.0,27.1,8.9,3.4,2025,2026,harvest_2025.csv
DB1621,Deer,Oquirrh/Tintic,General Season,Muzzleloader,Male Only,385,341.0,114.0,33.4,4.2,3.3,2025,2026,harvest_2025.csv
DB1622,Deer,Oquirrh/Tintic,General Season,Any Legal Weapon,Male Only,1412,1270.0,598.0,47.1,4.0,3.4,2025,2026,harvest_2025.csv
DB1623,Deer,Cedar/Stansbury,General Season,Archery,Male Only,181,155.0,40.0,25.8,7.9,3.6,2025,2026,harvest_2025.csv
DB1624,Deer,Cedar/Stansbury,General Season,Muzzleloader,Male Only,190,173.0,39.0,22.5,4.2,2.9,2025,2026,harvest_2025.csv
DB1625,Deer,Cedar/Stansbury,General Season,Any Legal Weapon,Male Only,621,559.0,207.0,37.0,4.1,3.1,2025,2026,harvest_2025.csv
DB1627,Deer,Cache,General Season,Rifle Restricted,Male Only,2723,2413.0,669.0,27.7,4.2,3.0,2025,2026,harvest_2025.csv
DB1628,Deer,Cache,General Season,Muzzleloader Restricted,Male Only,548,428.0,111.0,25.9,4.3,3.1,2025,2026,harvest_2025.csv
DB1629,Deer,Boulder/Kaiparowits,General Season,Rifle Restricted,Male Only,1226,1119.0,458.0,40.9,4.5,3.1,2025,2026,harvest_2025.csv
DB1630,Deer,Boulder/Kaiparowits,General Season,Muzzleloader Restricted,Male Only,395,352.0,114.0,32.4,4.5,3.3,2025,2026,harvest_2025.csv
DB1631,Deer,Box Elder,General Season,Early Any Legal Weapon,Male Only,963,784.0,222.0,28.3,3.1,3.0,2025,2026,harvest_2025.csv
DB1770,Deer,Box Elder,General Season,Dedicated Hunter,Male Only,83,78.0,29.0,37.2,9.9,3.6,2025,2026,harvest_2025.csv
DB1771,Deer,Cache,General Season,Dedicated Hunter,Male Only,297,281.0,65.0,23.1,9.9,3.1,2025,2026,harvest_2025.csv
DB1772,Deer,Manti/San Rafael,General Season,Dedicated Hunter,Male Only,1037,1001.0,392.0,39.2,9.7,3.3,2025,2026,harvest_2025.csv
DB1773,Deer,Nebo,General Season,Dedicated Hunter,Male Only,561,518.0,205.0,39.6,10.2,3.3,2025,2026,harvest_2025.csv
DB1774,Deer,Chalk Creek/East Canyon/Morgan-South Rich,General Season,Dedicated Hunter,Male Only,1,1.0,0.0,0.0,7.0,5.0,2025,2026,harvest_2025.csv
DB1775,Deer,Fillmore,General Season,Dedicated Hunter,Male Only,291,284.0,123.0,43.3,10.6,3.6,2025,2026,harvest_2025.csv
DB1777,Deer,Kamas,General Season,Dedicated Hunter,Male Only,104,96.0,32.0,33.3,9.0,3.1,2025,2026,harvest_2025.csv
DB1778,Deer,La Sal Mtns,General Season,Dedicated Hunter,Male Only,215,199.0,95.0,47.7,9.4,3.7,2025,2026,harvest_2025.csv
DB1779,Deer,Monroe,General Season,Dedicated Hunter,Male Only,73,55.0,31.0,56.4,8.5,3.6,2025,2026,harvest_2025.csv
DB1780,Deer,Mt Dutton,General Season,Dedicated Hunter,Male Only,49,47.0,27.0,57.4,7.2,3.6,2025,2026,harvest_2025.csv
DB1781,Deer,Nine Mile,General Season,Dedicated Hunter,Male Only,163,156.0,63.0,40.4,11.6,3.0,2025,2026,harvest_2025.csv
DB1782,Deer,North Slope,General Season,Dedicated Hunter,Male Only,136,127.0,40.0,31.5,8.1,3.1,2025,2026,harvest_2025.csv
DB1783,Deer,Ogden,General Season,Dedicated Hunter,Male Only,125,120.0,36.0,30.0,11.6,3.6,2025,2026,harvest_2025.csv
DB1785,Deer,Panguitch Lake,General Season,Dedicated Hunter,Male Only,298,282.0,114.0,40.4,11.5,3.4,2025,2026,harvest_2025.csv
DB1786,Deer,Pine Valley,General Season,Dedicated Hunter,Male Only,404,384.0,173.0,45.1,10.1,3.0,2025,2026,harvest_2025.csv
DB1787,Deer,Boulder/Kaiparowits,General Season,Dedicated Hunter,Male Only,265,251.0,59.0,23.5,9.4,3.1,2025,2026,harvest_2025.csv
DB1788,Deer,Fishlake,General Season,Dedicated Hunter,Male Only,155,149.0,59.0,39.6,8.5,3.7,2025,2026,harvest_2025.csv
DB1790,Deer,"San Juan, Abajo Mtns",General Season,Dedicated Hunter,Male Only,176,162.0,52.0,32.1,8.9,3.2,2025,2026,harvest_2025.csv
DB1791,Deer,Vernal/Bonanza,General Season,Dedicated Hunter,Male Only,157,144.0,69.0,47.9,11.0,3.3,2025,2026,harvest_2025.csv
DB1792,Deer,Yellowstone,General Season,Dedicated Hunter,Male Only,163,151.0,56.0,37.1,8.2,3.3,2025,2026,harvest_2025.csv
DB1793,Deer,Southwest Desert,General Season,Dedicated Hunter,Male Only,53,51.0,16.0,31.4,12.0,2.9,2025,2026,harvest_2025.csv
DB1794,Deer,"Wasatch Mtns, East",General Season,Dedicated Hunter,Male Only,788,748.0,244.0,32.6,9.4,3.4,2025,2026,harvest_2025.csv
DB1795,Deer,"Wasatch Mtns, West",General Season,Dedicated Hunter,Male Only,545,505.0,168.0,33.3,9.3,3.3,2025,2026,harvest_2025.csv
DB1798,Deer,Zion,General Season,Dedicated Hunter,Male Only,360,337.0,158.0,46.9,8.2,3.5,2025,2026,harvest_2025.csv
DB1799,Deer,Chalk Creek,General Season,Dedicated Hunter,Male Only,47,46.0,13.0,28.3,10.7,3.4,2025,2026,harvest_2025.csv
DB1800,Deer,East Canyon,General Season,Dedicated Hunter,Male Only,107,103.0,35.0,34.0,10.8,3.4,2025,2026,harvest_2025.csv
DB1801,Deer,Morgan-South Rich,General Season,Dedicated Hunter,Male Only,25,22.0,3.0,13.6,8.7,3.0,2025,2026,harvest_2025.csv
DB1802,Deer,"Beaver, East",General Season,Dedicated Hunter,Male Only,245,232.0,76.0,32.8,8.2,3.3,2025,2026,harvest_2025.csv
DB1803,Deer,"Beaver, West",General Season,Dedicated Hunter,Male Only,54,54.0,15.0,27.8,11.7,3.4,2025,2026,harvest_2025.csv
DB1804,Deer,Cedar/Stansbury,General Season,Dedicated Hunter,Male Only,141,127.0,39.0,30.7,8.0,2.7,2025,2026,harvest_2025.csv
DB1805,Deer,Oquirrh/Tintic,General Season,Dedicated Hunter,Male Only,276,258.0,96.0,37.2,9.1,3.2,2025,2026,harvest_2025.csv
DB1806,Deer,"West Desert, Swasey",General Season,Dedicated Hunter,Male Only,37,34.0,7.0,20.6,9.8,3.2,2025,2026,harvest_2025.csv
LD1001,Deer,Paunsaugunt,Limited Entry Landowner,Archery,Male Only,1,1.0,0.0,0.0,5.0,1.0,2025,2026,harvest_2025.csv
LD1004,Deer,Paunsaugunt,Limited Entry Landowner,Any Legal Weapon,Male Only,1,1.0,1.0,100.0,5.0,5.0,2025,2026,harvest_2025.csv
LD1006,Deer,Paunsaugunt,Limited Entry Landowner,Muzzleloader,Male Only,1,1.0,0.0,0.0,6.0,2.0,2025,2026,harvest_2025.csv
LD1019,Deer,"Fillmore, Oak Creek LE",Limited Entry Landowner,Any Legal Weapon,Male Only,1,1.0,0.0,0.0,9.0,4.0,2025,2026,harvest_2025.csv
