unit,unit_name,bull_harvest,hunters_afield,mean_days_hunted,success_rate_pct,reported_hunt_year,model_target_year,species,source_file,source_page,source_table,metric_family,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw
17,Wasatch Mtns,157.0,1838,4.1,8.5,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
19,West Desert,8.0,38,2.6,21.1,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
Statewide,Statewide totals,1017.0,8867,5.0,11.5,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,False,True,True
22,Beaver,17.0,227,3.0,7.5,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
10,Book Cliffs,2.0,18,3.1,11.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
1,Box Elder,41.0,207,2.8,19.8,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
2,Cache,13.0,245,2.8,5.3,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
6,Chalk Creek,40.0,362,2.9,11.0,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
5,East Canyon,57.0,354,2.8,16.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
21,Fillmore,14.0,240,3.1,5.8,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
15,Henry Mtns,0.0,25,3.2,0.0,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
7,Kamas,49.0,872,3.0,5.6,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
4,Morgan-South Rich,52.0,392,3.0,13.3,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16A,Nebo,7.0,171,3.2,4.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11A,"Nine Mile, Anthro",57.0,471,3.3,12.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11B,"Nine Mile, Range Creek",64.0,368,3.5,17.4,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8A,"North Slope, Summit",156.0,1880,3.7,8.3,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8B,"North Slope, West Daggett",71.0,1003,3.9,7.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
3,Ogden,48.0,415,3.0,11.6,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
18,Oquirrh-Stansbury,57.0,477,3.4,11.9,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
27,Paunsaugunt,28.0,309,3.5,9.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
30,Pine Valley,8.0,161,3.2,5.0,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
14,San Juan,4.0,36,4.1,11.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
12,San Rafael,2.0,18,2.2,11.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9BD,Vernal/Bonanza,170.0,1473,4.1,11.5,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
19,West Desert,49.0,558,3.2,8.8,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9A,Yellowstone,235.0,1450,3.6,16.2,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
29,Zion,35.0,475,3.6,7.4,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
Statewide,Statewide totals,1276.0,10580,4.0,12.1,2024,2025,Elk,Elk harvest data.pdf,2,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,False,True,True
22,Beaver,1.0,85,3.1,1.2,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
10,Book Cliffs,0.0,18,1.8,0.0,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
1,Box Elder,5.0,77,2.8,6.5,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
2,Cache,6.0,118,2.8,5.1,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
6,Chalk Creek,14.0,128,2.9,10.9,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
5,East Canyon,27.0,160,2.7,16.9,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
21,Fillmore,4.0,68,2.5,5.9,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
15,Henry Mtns,3.0,16,3.2,18.8,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
7,Kamas,13.0,193,2.5,6.7,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
4,Morgan-South Rich,24.0,188,2.7,12.8,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16A,Nebo,4.0,71,2.5,5.6,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11A,"Nine Mile, Anthro",14.0,175,3.3,8.0,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11B,"Nine Mile, Range Creek",19.0,169,3.2,11.2,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8A,"North Slope, Summit",25.0,467,3.6,5.4,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8B,"North Slope, West Daggett",16.0,290,4.0,5.5,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
3,Ogden,19.0,178,3.0,10.7,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
18,Oquirrh-Stansbury,14.0,133,3.2,10.5,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
27,Paunsaugunt,3.0,84,3.3,3.6,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
30,Pine Valley,3.0,88,3.1,3.4,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
14,San Juan,3.0,14,3.8,21.4,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
12,San Rafael,1.0,10,2.8,10.0,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9BD,Vernal/Bonanza,42.0,504,4.0,8.3,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
19,West Desert,13.0,174,3.2,7.5,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9A,Yellowstone,44.0,409,3.8,10.8,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
29,Zion,9.0,133,3.3,6.8,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
Statewide,Statewide totals,326.0,3344,3.9,9.7,2024,2025,Elk,Elk harvest data.pdf,3,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,False,True,True
22,Beaver,2.0,25,5.4,8.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
10,Book Cliffs,3.0,19,5.4,15.8,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
25C/26,Boulder/Kaiparowits,2.0,17,3.7,11.8,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
1,Box Elder,0.0,1,3.0,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
2,Cache,2.0,66,4.7,3.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9C,Diamond Mtn,0.0,1,4.0,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
21,Fillmore,0.0,12,3.5,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
25AB,Fishlake/Thousand Lakes,36.0,183,4.2,19.7,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
13B,"La Sal, Dolores Triangle",,0,,,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
13A,"La Sal, La Sal Mtns",1.0,14,4.3,7.1,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16B,Manti,16.0,133,4.3,12.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
23,Monroe,5.0,40,3.9,12.5,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
24,Mt Dutton,1.0,12,2.9,8.3,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16A,Nebo,2.0,35,3.5,5.7,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
28,Panguitch Lake,0.0,17,2.8,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
14,San Juan,0.0,3,4.7,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
12,San Rafael,0.0,1,2.0,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
20,Southwest Desert,3.0,35,4.4,8.6,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
17,Wasatch Mtns,19.0,105,3.9,18.1,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
19,West Desert,0.0,2,2.5,0.0,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
Statewide,Statewide totals,92.0,640,4.7,14.6,2024,2025,Elk,Elk harvest data.pdf,4,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,False,True,True
22,Beaver,1.0,19,3.6,5.3,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
10,Book Cliffs,2.0,8,3.3,25.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
1,Box Elder,3.0,43,3.0,7.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
2,Cache,6.0,65,2.9,9.2,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
6,Chalk Creek,15.0,81,4.4,18.5,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
5,East Canyon,16.0,91,3.4,17.6,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
21,Fillmore,5.0,27,3.2,18.5,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
15,Henry Mtns,,0,,,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
7,Kamas,5.0,95,3.6,5.3,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
4,Morgan-South Rich,21.0,162,3.9,13.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16A,Nebo,2.0,31,3.6,6.5,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11A,"Nine Mile, Anthro",7.0,80,3.2,8.8,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
11B,"Nine Mile, Range Creek",11.0,81,3.4,13.6,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8A,"North Slope, Summit",7.0,170,4.2,4.1,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
8B,"North Slope, West Daggett",15.0,163,4.8,9.2,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
3,Ogden,16.0,136,3.7,11.8,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
18,Oquirrh-Stansbury,2.0,40,4.2,5.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
27,Paunsaugunt,6.0,45,3.5,13.3,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
30,Pine Valley,5.0,40,4.1,12.5,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
14,San Juan,3.0,21,3.4,14.3,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
12,San Rafael,0.0,3,3.0,0.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9BD,Vernal/Bonanza,27.0,233,4.5,11.6,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
19,West Desert,2.0,57,3.8,3.5,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9A,Yellowstone,40.0,247,4.3,16.2,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
29,Zion,5.0,64,3.7,7.8,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
Statewide,Statewide totals,222.0,1708,4.6,13.0,2024,2025,Elk,Elk harvest data.pdf,5,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,False,True,True
