reported_hunt_year,model_target_year,species,unit,unit_name,quality_metric,avg_age_2024,avg_age_3yr_average,objective,objective_midpoint,avg_age_vs_objective_midpoint,avg_age_trend_2024_minus_2023,demand_signal_candidate,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_file,source_table
2024,2025,Elk,13A,"La Sal, La Sal Mtns",limited_entry_bull_elk_average_age,6.3,6.2,5.5–6.0,5.75,0.5499999999999998,0.5999999999999996,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,16B,Manti,limited_entry_bull_elk_average_age,6.0,6.3,5.5–6.0,5.75,0.25,-0.09999999999999964,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,23,Monroe,limited_entry_bull_elk_average_age,8.3,8.3,6.0–6.5,6.25,2.0500000000000007,-0.7999999999999989,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,24,Mt Dutton,limited_entry_bull_elk_average_age,8.0,7.8,6.0–6.5,6.25,1.75,0.20000000000000018,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,16A,Nebo/San Pitch Mtns,limited_entry_bull_elk_average_age,7.1,7.1,5.5–6.0,5.75,1.3499999999999996,0.5,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,8C,"North Slope, Three Corners",limited_entry_bull_elk_average_age,4.8,5.3,5.5–6.0,5.75,-0.9500000000000002,-0.9000000000000004,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,28,Panguitch Lake,limited_entry_bull_elk_average_age,7.9,7.8,6.0–6.5,6.25,1.6500000000000004,0.10000000000000053,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,14A,San Juan Bull Elk,limited_entry_bull_elk_average_age,7.9,7.9,6.5–7.0,6.75,1.1500000000000004,0.3000000000000007,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,20A,"Southwest Desert, North",limited_entry_bull_elk_average_age,9.5,8.4,3.5–4.5,4.0,5.5,1.4000000000000004,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,20B,"Southwest Desert, South",limited_entry_bull_elk_average_age,8.4,8.3,6.0–6.5,6.25,2.1500000000000004,0.3000000000000007,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,17,Wasatch Mtns,limited_entry_bull_elk_average_age,5.2,5.3,5.5–6.0,5.75,-0.5499999999999998,0.20000000000000018,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,19A,"West Desert, Deep Creek",limited_entry_bull_elk_average_age,8.2,7.3,3.5–4.5,4.0,4.199999999999999,0.7999999999999989,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
