reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,antlerless,Antlerless Elk,EA1222,"Beaver, East",Antlerless Elk,Any Legal Weapon,5,3,0,17.0,0.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1222 Beaver, East Any Legal Weapon 5 3 0 0.0 17.0",
2022,2023,antlerless,Antlerless Elk,EA1223,"Beaver, East",Antlerless Elk,Any Legal Weapon,5,4,3,3.0,75.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1223 Beaver, East Any Legal Weapon 5 4 3 75.0 3.0",
2022,2023,antlerless,Antlerless Elk,EA1224,"Book Cliffs, Bitter Creek/South",Antlerless Elk,Any Legal Weapon,129,119,62,4.2,51.9,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1224 Book Cliffs, Bitter Creek/South Any Legal Weapon 129 119 62 51.9 4.2",
2022,2023,antlerless,Antlerless Elk,EA1225,"Book Cliffs, Bitter Creek/South",Antlerless Elk,Muzzleloader,160,152,108,2.9,71.1,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1225 Book Cliffs, Bitter Creek/South Muzzleloader 160 152 108 71.1 2.9",
2022,2023,antlerless,Antlerless Elk,EA1004,"Book Cliffs, Little Creek Roadless",Antlerless Elk,Any Legal Weapon,27,20,7,4.0,37.5,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1004 Book Cliffs, Little Creek Roadless Any Legal Weapon 27 20 7 37.5 4.0",
2022,2023,antlerless,Antlerless Elk,EA1007,"Box Elder, Grouse Creek",Antlerless Elk,Any Legal Weapon,5,4,0,5.0,0.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1007 Box Elder, Grouse Creek Any Legal Weapon 5 4 0 0.0 5.0",
2022,2023,antlerless,Antlerless Elk,EA1008,"Box Elder, Grouse Creek",Antlerless Elk,Any Legal Weapon,5,5,0,7.8,0.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1008 Box Elder, Grouse Creek Any Legal Weapon 5 5 0 0.0 7.8",
2022,2023,antlerless,Antlerless Elk,EA1203,"Box Elder, Pilot Mtn",Antlerless Elk,Any Legal Weapon,5,5,4,3.0,75.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1203 Box Elder, Pilot Mtn Any Legal Weapon 5 5 4 75.0 3.0",
2022,2023,antlerless,Antlerless Elk,EA1204,"Box Elder, Pilot Mtn",Antlerless Elk,Any Legal Weapon,5,5,4,5.2,75.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1204 Box Elder, Pilot Mtn Any Legal Weapon 5 5 4 75.0 5.2",
2022,2023,antlerless,Antlerless Elk,EA1009,"Cache, East",Antlerless Elk,Any Legal Weapon,479,453,112,6.8,24.8,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1009 Cache, East Any Legal Weapon 479 453 112 24.8 6.8",
2022,2023,antlerless,Antlerless Elk,EA1010,"Cache, Rich",Antlerless Elk,Any Legal Weapon,69,61,10,6.4,15.8,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1010 Cache, Rich Any Legal Weapon 69 61 10 15.8 6.4",
2022,2023,antlerless,Antlerless Elk,EA1193,"Cache, Rich",Antlerless Elk,Any Legal Weapon,70,52,28,3.5,54.3,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1193 Cache, Rich Any Legal Weapon 70 52 28 54.3 3.5",
2022,2023,antlerless,Antlerless Elk,EA1011,"Cache, Richards Hollow",Antlerless Elk,Any Legal Weapon,45,39,27,5.4,69.2,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1011 Cache, Richards Hollow Any Legal Weapon 45 39 27 69.2 5.4",
2022,2023,antlerless,Antlerless Elk,EA1012,"Cache, Richmond Hyde Park",Antlerless Elk,Any Legal Weapon,10,3,0,4.0,0.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1012 Cache, Richmond Hyde Park Any Legal Weapon 10 3 0 0.0 4.0",
2022,2023,antlerless,Antlerless Elk,EA1194,"Cache, Richmond Hyde Park",Antlerless Elk,Any Legal Weapon,10,10,3,5.4,28.6,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1194 Cache, Richmond Hyde Park Any Legal Weapon 10 10 3 28.6 5.4",
2022,2023,antlerless,Antlerless Elk,EA1205,"Cache, Richmond Hyde Park",Antlerless Elk,Any Legal Weapon,10,10,2,4.2,16.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1205 Cache, Richmond Hyde Park Any Legal Weapon 10 10 2 16.7 4.2",
2022,2023,antlerless,Antlerless Elk,EA1206,"Cache, Richmond Hyde Park",Antlerless Elk,Any Legal Weapon,10,8,5,6.0,60.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Elk EA1206 Cache, Richmond Hyde Park Any Legal Weapon 10 8 5 60.0 6.0",
