species_raw,species,hunt_family,area,condition,conservation_rows,permits_per_year,permit_year_instances_2025_2027,selected_hunt_codes,possible_hunt_code_sets,match_confidence
Pronghorn,Pronghorn,Pronghorn,"La Sal, Potash/South Cisco",Any Legal Weapon,1,1.0,3.0,,PB5009|PB5035,MEDIUM
Pronghorn,Pronghorn,Pronghorn,Mt Dutton/Paunsaugunt,Any Legal Weapon,2,2.0,6.0,,PB5331|PB5332,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,7,7.0,21.0,,PB5011|PB5037|PB5059,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Nine Mile, Range Creek",Any Legal Weapon,1,1.0,3.0,,PB5038|PB5053,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"North Slope, Summit",Any Legal Weapon,1,1.0,3.0,PB5039,PB5039,HIGH
Pronghorn,Pronghorn,Pronghorn,"North Slope, Three Corners/West Daggett",Any Legal Weapon,3,3.0,9.0,,PB5012|PB5040|PB5066,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Panguitch Lake/Zion, North",Any Legal Weapon,2,2.0,6.0,,PB5041|PB5054|PB5061,MEDIUM
Pronghorn,Pronghorn,Pronghorn,Parker Mtn,Any Legal Weapon,4,4.0,12.0,,PB5076|PB5077|PB5078,MEDIUM
Pronghorn,Pronghorn,Pronghorn,Pine Valley,Any Legal Weapon,2,2.0,6.0,,PB5013|PB5042|PB5062,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"San Rafael, North",Any Legal Weapon,5,5.0,15.0,,PB5015|PB5046|PB5056,MEDIUM
Pronghorn,Pronghorn,Pronghorn,Southwest Desert,Any Legal Weapon,8,8.0,24.0,,PB5018|PB5024|PB5049,MEDIUM
Pronghorn,Pronghorn,Pronghorn,Statewide,,1,1.0,3.0,PB1000,PB1000,HIGH
Pronghorn,Pronghorn,Pronghorn,Vernal,Any Legal Weapon,5,5.0,15.0,,PB5017|PB5048|PB5072,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,4,4.0,12.0,,PB5019|PB5050,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"West Desert, Rush Valley",Any Legal Weapon,2,2.0,6.0,,PB5020|PB5051,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,5,5.0,15.0,,PB5021|PB5052,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",Any Legal Weapon,1,1.0,3.0,,RS1001|RS6701,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (early)",Any Legal Weapon,1,1.0,3.0,,RS1003|RS6703|RS6704|RS6722,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (late)",Any Legal Weapon,1,1.0,3.0,,RS1003|RS6703|RS6704|RS6722,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek (late)",Any Legal Weapon,1,1.0,3.0,,RS6720|RS6726|RS6727,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon",Any Legal Weapon,1,1.0,3.0,,RS1006|RS6712,MEDIUM
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Statewide,,1,1.0,3.0,RS0001,RS0001,HIGH
Turkey,Turkey,Turkey,Central Area,Multiseason,8,8.0,24.0,,TK1003|TK1012,MEDIUM
Turkey,Turkey,Turkey,Northeastern Area,Multiseason,8,8.0,24.0,,TK1004|TK1013,MEDIUM
Turkey,Turkey,Turkey,Northern Area,Multiseason,8,8.0,24.0,,TK1005|TK1014,MEDIUM
Turkey,Turkey,Turkey,Southeastern Area,Multiseason,8,8.0,24.0,,TK1006|TK1015,MEDIUM
Turkey,Turkey,Turkey,Southern Area,Multiseason,8,8.0,24.0,TK1007,TK1007,HIGH
Turkey,Turkey,Turkey,Statewide,,1,1.0,3.0,TK0001,TK0001,HIGH
