source_file,source_sha256,source_page,hunt_code,hunt_name,species_category,resident_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_permits,raw_hunt_line,raw_totals_line
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,35,EA1026,Antlerless Elk - Chalk Creek - Any Legal Weapon,Antlerless Elk,277,0,277,277,10,0,10,10,287,Hunt: EA1026 Antlerless Elk - Chalk Creek - Any Legal Weapon,Totals 277 0 277 277 1 in 1.0 Totals 10 0 10 10 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,36,EA1030,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Antlerless Elk,251,0,36,36,20,0,4,4,40,"Hunt: EA1030 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Totals 251 0 36 36 1 in 7.0 Totals 20 0 4 4 1 in 5.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,37,EA1031,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Antlerless Elk,341,0,36,36,35,0,4,4,40,"Hunt: EA1031 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Totals 341 0 36 36 1 in 9.5 Totals 35 0 4 4 1 in 8.8
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,38,EA1033,Antlerless Elk - Kamas - Any Legal Weapon,Antlerless Elk,321,0,90,90,18,0,11,11,101,Hunt: EA1033 Antlerless Elk - Kamas - Any Legal Weapon,Totals 321 0 90 90 1 in 3.6 Totals 18 0 11 11 1 in 1.6
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,39,EA1035,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",Antlerless Elk,157,0,101,101,7,0,7,7,108,"Hunt: EA1035 Antlerless Elk - Kamas, Oakley - Any Legal Weapon",Totals 157 0 101 101 1 in 1.6 Totals 7 0 7 7 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,40,EA1037,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",Antlerless Elk,89,0,36,36,32,0,4,4,40,"Hunt: EA1037 Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",Totals 89 0 36 36 1 in 2.5 Totals 32 0 4 4 1 in 8.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,41,EA1038,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Antlerless Elk,454,0,239,239,60,0,28,28,267,"Hunt: EA1038 Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Totals 454 0 239 239 1 in 1.9 Totals 60 0 28 28 1 in 2.1
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,42,EA1039,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Antlerless Elk,398,0,180,180,54,0,23,23,203,"Hunt: EA1039 Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Totals 398 0 180 180 1 in 2.2 Totals 54 0 23 23 1 in 2.3
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,43,EA1040,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",Antlerless Elk,96,0,6,6,3,0,1,1,7,"Hunt: EA1040 Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",Totals 96 0 6 6 1 in 16.0 Totals 3 0 1 1 1 in 3.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,44,EA1044,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",Antlerless Elk,73,0,25,25,9,0,4,4,29,"Hunt: EA1044 Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",Totals 73 0 25 25 1 in 2.9 Totals 9 0 4 4 1 in 2.3
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,45,EA1049,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",Antlerless Elk,135,0,54,54,26,0,7,7,61,"Hunt: EA1049 Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",Totals 135 0 54 54 1 in 2.5 Totals 26 0 7 7 1 in 3.7
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,46,EA1054,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",Antlerless Elk,205,0,39,39,10,0,1,1,40,"Hunt: EA1054 Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",Totals 205 0 39 39 1 in 5.3 Totals 10 0 1 1 1 in 10.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,47,EA1056,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",Antlerless Elk,61,0,5,5,0,0,0,0,5,"Hunt: EA1056 Antlerless Elk - North Slope, Greendale - Any Legal Weapon",Totals 61 0 5 5 1 in 12.2 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,48,EA1058,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",Antlerless Elk,256,0,116,116,17,0,15,15,131,"Hunt: EA1058 Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",Totals 256 0 116 116 1 in 2.2 Totals 17 0 15 15 1 in 1.1
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,49,EA1060,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",Antlerless Elk,53,0,16,16,1,0,1,1,17,"Hunt: EA1060 Antlerless Elk - North Slope, West Daggett - Muzzleloader",Totals 53 0 16 16 1 in 3.3 Totals 1 0 1 1 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,50,EA1061,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",Antlerless Elk,39,0,15,15,3,0,2,2,17,"Hunt: EA1061 Antlerless Elk - North Slope, West Daggett - Muzzleloader",Totals 39 0 15 15 1 in 2.6 Totals 3 0 2 2 1 in 1.5
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,51,EA1063,Antlerless Elk - Ogden - Any Legal Weapon,Antlerless Elk,124,0,61,61,9,0,8,8,69,Hunt: EA1063 Antlerless Elk - Ogden - Any Legal Weapon,Totals 124 0 61 61 1 in 2.0 Totals 9 0 8 8 1 in 1.1
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,52,EA1064,Antlerless Elk - Ogden - Any Legal Weapon,Antlerless Elk,84,0,44,44,1,0,1,1,45,Hunt: EA1064 Antlerless Elk - Ogden - Any Legal Weapon,Totals 84 0 44 44 1 in 1.9 Totals 1 0 1 1 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,53,EA1069,Antlerless Elk - Panguitch Lake - Any Legal Weapon,Antlerless Elk,958,0,18,18,91,0,3,3,21,Hunt: EA1069 Antlerless Elk - Panguitch Lake - Any Legal Weapon,Totals 958 0 18 18 1 in 53.2 Totals 91 0 3 3 1 in 30.3
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,54,EA1073,Antlerless Elk - Paunsaugunt - Any Legal Weapon,Antlerless Elk,121,0,15,15,2,0,2,2,17,Hunt: EA1073 Antlerless Elk - Paunsaugunt - Any Legal Weapon,Totals 121 0 15 15 1 in 8.1 Totals 2 0 2 2 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,55,EA1074,Antlerless Elk - Pine Valley - Any Legal Weapon,Antlerless Elk,45,0,4,4,4,0,1,1,5,Hunt: EA1074 Antlerless Elk - Pine Valley - Any Legal Weapon,Totals 45 0 4 4 1 in 11.3 Totals 4 0 1 1 1 in 4.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,56,EA1075,Antlerless Elk - Boulder East - Any Legal Weapon,Antlerless Elk,131,0,11,11,9,0,2,2,13,Hunt: EA1075 Antlerless Elk - Boulder East - Any Legal Weapon,Totals 131 0 11 11 1 in 11.9 Totals 9 0 2 2 1 in 4.5
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,57,EA1076,Antlerless Elk - Boulder West - Any Legal Weapon,Antlerless Elk,278,0,15,15,8,0,2,2,17,Hunt: EA1076 Antlerless Elk - Boulder West - Any Legal Weapon,Totals 278 0 15 15 1 in 18.5 Totals 8 0 2 2 1 in 4.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,58,EA1077,Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,Antlerless Elk,72,0,15,15,5,0,2,2,17,Hunt: EA1077 Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,Totals 72 0 15 15 1 in 4.8 Totals 5 0 2 2 1 in 2.5
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,59,EA1078,Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,Antlerless Elk,1004,0,101,101,51,0,12,12,113,Hunt: EA1078 Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,Totals 1004 0 101 101 1 in 9.9 Totals 51 0 12 12 1 in 4.3
