source_file,source_sha256,source_page,source_report_page,hunt_code,hunt_name,code_prefix,raw_hunt_line
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,12,28,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,DB,Hunt: DB1011 Limited-entry Archery Buck Deer - Book Cliffs - Archery Page 28
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,13,29,DB1012,"Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery",DB,"Hunt: DB1012 Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery Page 29"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,14,30,DB1013,"Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery",DB,"Hunt: DB1013 Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery Page 30"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,15,31,DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery",DB,"Hunt: DB1014 Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery Page 31"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,16,32,DB1015,"Limited-entry Archery Buck Deer - South Slope, Diamond Mtn - Archery",DB,"Hunt: DB1015 Limited-entry Archery Buck Deer - South Slope, Diamond Mtn - Archery Page 32"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,17,33,DB1016,"Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",DB,"Hunt: DB1016 Limited-entry Archery Buck Deer - West Desert, Vernon - Archery Page 33"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,18,34,DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",DB,"Hunt: DB1017 Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon Page 34"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,19,35,DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",DB,"Hunt: DB1018 Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon Page 35"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,20,36,DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DB,"Hunt: DB1019 Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon Page 36"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,21,37,DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon",DB,"Hunt: DB1020 Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon Page 37"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,22,38,DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",DB,"Hunt: DB1022 Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon Page 38"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,23,39,DB1023,"Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DB,"Hunt: DB1023 Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon Page 39"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,24,40,DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",DB,"Hunt: DB1024 Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon Page 40"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,25,41,DB1025,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,DB,Hunt: DB1025 Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader Page 41
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,26,42,DB1026,"Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader",DB,"Hunt: DB1026 Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader Page 42"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,27,43,DB1028,Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader,DB,Hunt: DB1028 Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader Page 43
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,28,44,DB1029,"Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader",DB,"Hunt: DB1029 Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader Page 44"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,29,45,DB1030,Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader,DB,Hunt: DB1030 Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader Page 45
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,30,46,DB1031,"Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader",DB,"Hunt: DB1031 Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader Page 46"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,31,47,DB1032,Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader,DB,Hunt: DB1032 Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader Page 47
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,32,48,DB1033,Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader,DB,Hunt: DB1033 Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader Page 48
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,33,49,DB1034,Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader,DB,Hunt: DB1034 Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader Page 49
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,34,50,DB1036,"Limited-entry Muzzleloader Buck Deer - Plateau, Thousand Lakes - Muzzleloader",DB,"Hunt: DB1036 Limited-entry Muzzleloader Buck Deer - Plateau, Thousand Lakes - Muzzleloader Page 50"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,35,51,DB1037,"Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader",DB,"Hunt: DB1037 Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader Page 51"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,36,52,DB1038,"Limited-entry Muzzleloader Buck Deer - South Slope, Diamond Mtn - Muzzleloader",DB,"Hunt: DB1038 Limited-entry Muzzleloader Buck Deer - South Slope, Diamond Mtn - Muzzleloader Page 52"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,37,53,DB1039,"Limited-entry Muzzleloader Buck Deer - South Slope, Yellowstone - Muzzleloader",DB,"Hunt: DB1039 Limited-entry Muzzleloader Buck Deer - South Slope, Yellowstone - Muzzleloader Page 53"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,38,54,DB1040,Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader,DB,Hunt: DB1040 Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader Page 54
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,39,55,DB1041,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader",DB,"Hunt: DB1041 Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader Page 55"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,40,56,DB1042,"Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",DB,"Hunt: DB1042 Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader Page 56"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,41,57,DB1043,Limited-entry Muzzleloader Buck Deer - Zion - Muzzleloader,DB,Hunt: DB1043 Limited-entry Muzzleloader Buck Deer - Zion - Muzzleloader Page 57
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,42,58,DB1044,Multi-season Limited-entry Buck Deer - Book Cliffs - Any Legal Weapon,DB,Hunt: DB1044 Multi-season Limited-entry Buck Deer - Book Cliffs - Any Legal Weapon Page 58
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,43,59,DB1045,"Multi-season Limited-entry Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DB,"Hunt: DB1045 Multi-season Limited-entry Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon Page 59"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,44,60,DB1046,"Multi-season Limited-entry Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",DB,"Hunt: DB1046 Multi-season Limited-entry Buck Deer - San Juan, Elk Ridge - Any Legal Weapon Page 60"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,45,61,DB1047,"Multi-season Limited-entry Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DB,"Hunt: DB1047 Multi-season Limited-entry Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon Page 61"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,46,62,DB1048,"Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon",DB,"Hunt: DB1048 Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon Page 62"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,47,63,DB1053,Limited-entry Muzzleloader Buck Deer - Mt Dutton - Muzzleloader,DB,Hunt: DB1053 Limited-entry Muzzleloader Buck Deer - Mt Dutton - Muzzleloader Page 63
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,48,64,DB1054,Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader,DB,Hunt: DB1054 Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader Page 64
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,49,65,DB1055,"Limited-entry Muzzleloader Buck Deer - Plateau, Fishlake - Muzzleloader",DB,"Hunt: DB1055 Limited-entry Muzzleloader Buck Deer - Plateau, Fishlake - Muzzleloader Page 65"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,50,66,DB1058,"Alw (rifle) Cactus Buck Deer - Paunsaugunt, Cactus Buck - Any Legal Weapon",DB,"Hunt: DB1058 Alw (rifle) Cactus Buck Deer - Paunsaugunt, Cactus Buck - Any Legal Weapon Page 66"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,51,67,DB1059,Limited-entry Muzzleloader Buck Deer - Beaver - Muzzleloader,DB,Hunt: DB1059 Limited-entry Muzzleloader Buck Deer - Beaver - Muzzleloader Page 67
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,52,68,DB1065,Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader,DB,Hunt: DB1065 Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader Page 68
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,53,69,DB1073,Management Archery Buck Deer - Paunsaugunt - Archery,DB,Hunt: DB1073 Management Archery Buck Deer - Paunsaugunt - Archery Page 69
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,54,70,DB1074,Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,DB,Hunt: DB1074 Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader Page 70
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,55,71,DB1077,Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader,DB,Hunt: DB1077 Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader Page 71
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,56,72,DB1078,Limited-entry Muzzleloader Buck Deer - Cache - Muzzleloader,DB,Hunt: DB1078 Limited-entry Muzzleloader Buck Deer - Cache - Muzzleloader Page 72
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,57,73,DB1079,"Limited-entry Muzzleloader Buck Deer - Central Mtns, Manti/san Rafael - Muzzleloader",DB,"Hunt: DB1079 Limited-entry Muzzleloader Buck Deer - Central Mtns, Manti/san Rafael - Muzzleloader Page 73"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,58,74,DB1080,"Limited-entry Muzzleloader Buck Deer - Central Mtns, Nebo - Muzzleloader",DB,"Hunt: DB1080 Limited-entry Muzzleloader Buck Deer - Central Mtns, Nebo - Muzzleloader Page 74"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,59,75,DB1081,"Limited-entry Muzzleloader Buck Deer - La Sal, La Sal Mtns - Muzzleloader",DB,"Hunt: DB1081 Limited-entry Muzzleloader Buck Deer - La Sal, La Sal Mtns - Muzzleloader Page 75"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,60,76,DB1082,Limited-entry Muzzleloader Buck Deer - Oquirrh-stansbury - Muzzleloader,DB,Hunt: DB1082 Limited-entry Muzzleloader Buck Deer - Oquirrh-stansbury - Muzzleloader Page 76
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,61,77,DB1083,Limited-entry Muzzleloader Buck Deer - Panguitch Lake - Muzzleloader,DB,Hunt: DB1083 Limited-entry Muzzleloader Buck Deer - Panguitch Lake - Muzzleloader Page 77
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,62,78,DB1084,"Limited-entry Muzzleloader Buck Deer - Plateau, Boulder/kaiparowits - Muzzleloader",DB,"Hunt: DB1084 Limited-entry Muzzleloader Buck Deer - Plateau, Boulder/kaiparowits - Muzzleloader Page 78"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,63,79,DB1085,"Limited-entry Muzzleloader Buck Deer - San Juan, Abajo Mtns - Muzzleloader",DB,"Hunt: DB1085 Limited-entry Muzzleloader Buck Deer - San Juan, Abajo Mtns - Muzzleloader Page 79"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,64,80,DB1086,"Limited-entry Muzzleloader Buck Deer - South Slope, Bonanza/vernal - Muzzleloader",DB,"Hunt: DB1086 Limited-entry Muzzleloader Buck Deer - South Slope, Bonanza/vernal - Muzzleloader Page 80"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,65,81,DB1087,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, West - Muzzleloader",DB,"Hunt: DB1087 Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, West - Muzzleloader Page 81"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,66,82,DB1088,"Limited-entry Muzzleloader Buck Deer - West Desert, Tintic - Muzzleloader",DB,"Hunt: DB1088 Limited-entry Muzzleloader Buck Deer - West Desert, Tintic - Muzzleloader Page 82"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,67,83,DB1089,"Limited-entry Muzzleloader Buck Deer - West Desert, West - Muzzleloader",DB,"Hunt: DB1089 Limited-entry Muzzleloader Buck Deer - West Desert, West - Muzzleloader Page 83"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,68,84,DB1090,"Limited-entry Hamss Buck Deer - Book Cliffs, Floy Canyon - H.a.m.s.s.",DB,"Hunt: DB1090 Limited-entry Hamss Buck Deer - Book Cliffs, Floy Canyon - H.a.m.s.s. Page 84"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,69,85,DB1091,Limited-entry Hamss Buck Deer - Kaiparowits Hamss - H.a.m.s.s.,DB,Hunt: DB1091 Limited-entry Hamss Buck Deer - Kaiparowits Hamss - H.a.m.s.s. Page 85
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,70,86,DB1094,"Limited-entry Muzzleloader Buck Deer - South Slope, Myton - Muzzleloader",DB,"Hunt: DB1094 Limited-entry Muzzleloader Buck Deer - South Slope, Myton - Muzzleloader Page 86"
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,71,87,DB1100,Limited-entry Muzzleloader Buck Deer - Chalk Creek - Muzzleloader,DB,Hunt: DB1100 Limited-entry Muzzleloader Buck Deer - Chalk Creek - Muzzleloader Page 87
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,72,88,DB1101,Limited-entry Muzzleloader Buck Deer - East Canyon - Muzzleloader,DB,Hunt: DB1101 Limited-entry Muzzleloader Buck Deer - East Canyon - Muzzleloader Page 88
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,73,89,DB1103,Limited-entry Muzzleloader Buck Deer - Morgan-south Rich - Muzzleloader,DB,Hunt: DB1103 Limited-entry Muzzleloader Buck Deer - Morgan-south Rich - Muzzleloader Page 89
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,74,90,DB1105,Limited-entry Hamss Buck Deer - East Canyon - H.a.m.s.s.,DB,Hunt: DB1105 Limited-entry Hamss Buck Deer - East Canyon - H.a.m.s.s. Page 90
