expo_row_id,source_year,permit_class,description,normalized_description_key,expo_permits,selected_hunt_code,match_status,match_confidence,match_notes,draw_2025_public_permits,harvest_report_2025_total_permits,rac_2026_total_permits,draw_2025_plus_expo,harvest_2025_minus_draw_plus_expo,rac_2026_minus_draw_plus_expo,source_hunt_name,source_weapon,discrepancy_flags,final_assignment_type,selected_boundary_id,component_hunt_codes,user_rule_applied,issue_class
49,2025,expo,"Bull Elk - Limited Entry - Any Weapon (late) - La Sal, La Sal Mtns - Permits: 1","Bull Elk - Limited Entry - Any Weapon (late) - La Sal, La Sal Mtns",1,EB3046,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,26.0,28.0,27.0,27.0,1.0,0.0,La Sal Mtns,Late Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
50,2025,expo,"Bull Elk - Limited Entry - Archery - La Sal, La Sal Mtns - Permits: 1","Bull Elk - Limited Entry - Archery - La Sal, La Sal Mtns",1,EB3009,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,39.0,42.0,40.0,40.0,2.0,0.0,La Sal Mtns,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
51,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - Mt Dutton - Permits: 1,Bull Elk - Limited Entry - Any Weapon (mid) - Mt Dutton,1,EB3187,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,23.0,25.0,25.0,24.0,1.0,1.0,Mt Dutton,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
52,2025,expo,Bull Elk - Limited Entry - Any Weapon (late) - Mt Dutton - Permits: 1,Bull Elk - Limited Entry - Any Weapon (late) - Mt Dutton,1,EB3050,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,13.0,15.0,15.0,14.0,1.0,1.0,Mt Dutton,Late Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
53,2025,expo,Bull Elk - Limited Entry - Archery - Mt Dutton - Permits: 1,Bull Elk - Limited Entry - Archery - Mt Dutton,1,EB3011,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,19.0,21.0,21.0,20.0,1.0,1.0,Mt Dutton,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
54,2025,expo,Bull Elk - Limited Entry - Any Weapon (early) - Panguitch Lake - Permits: 1,Bull Elk - Limited Entry - Any Weapon (early) - Panguitch Lake,1,EB3056,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,6.0,12.0,8.0,7.0,5.0,1.0,Panguitch Lake,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
55,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - Panguitch Lake - Permits: 1,Bull Elk - Limited Entry - Any Weapon (mid) - Panguitch Lake,1,EB3189,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,20.0,22.0,22.0,21.0,1.0,1.0,Panguitch Lake,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
56,2025,expo,Bull Elk - Limited Entry - Archery - Panguitch Lake - Permits: 1,Bull Elk - Limited Entry - Archery - Panguitch Lake,1,EB3015,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,17.0,18.0,19.0,18.0,0.0,1.0,Panguitch Lake,Archery,RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,YEAR_TO_YEAR_QUOTA_CHANGE_OR_MISSING_OVERLAY
57,2025,expo,Bull Elk - Limited Entry - Any Weapon (early) - Boulder - Permits: 1,Bull Elk - Limited Entry - Any Weapon (early) - Boulder,1,EB3148,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,12.0,14.0,14.0,13.0,1.0,1.0,Boulder,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
58,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - Boulder - Permits: 2,Bull Elk - Limited Entry - Any Weapon (mid) - Boulder,2,EB3191,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,35.0,38.0,41.0,37.0,1.0,4.0,Boulder,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
