hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,,permits_year_res,permits_year_nr,permits_year_total,permits_2026_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
EB3104,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,,,26,2,28,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3167,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,4,1,5,,,14,1,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EL3002,12,Book Cliffs Little Creek Roadless,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,16,,,14,1,15,,,,,,,
EL3028,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,21,,,0,2,2,,,,,,,
EL3079,12,Book Cliffs Little Creek Roadless,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,3,,,0,2,2,,,,,,,
EL3167,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,16,,,0,2,2,,,,,,,
DB1018,15,"Book Cliffs, South",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,34,4,38,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5002,15,"Book Cliffs, South",Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,9,,,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5027,15,"Book Cliffs, South",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,34,4,38,,,49,5,54,2026_RAC_CURRENT_YEAR_ALLOTMENT,34,4,38,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
RS1001,15,"Book Cliffs, South",Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",,,,,,17,2,19,,,,,,,
RS6701,15,"Book Cliffs, South",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,5,1,6,,,18,0,18,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,1,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA1266,18,"Box Elder, Hansel Mtn",Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2026 - Jan 31 2027,27,3,30,,,7,0,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2026,18,"Box Elder, Hansel Mtn",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,200,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
RE1000,20,"Box Elder, Newfoundland Mtn",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,General Season,Sept 08 2026 - Sept 16 2026,4,1,5,,,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_ewe_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
RS1003,20,"Box Elder, Newfoundland Mtn",Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Oct 25 - Dec 31, 2025",,,,,,9,0,9,,,,,,,
RS6703,20,"Box Elder, Newfoundland Mtn",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 23 2026,4,0,4,,,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
RS6704,20,"Box Elder, Newfoundland Mtn",Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Nov 13 2026,3,1,4,,,20,2,22,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
RS6722,20,"Box Elder, Newfoundland Mtn",Either Sex,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,Nov 14 2026 - Dec 06 2026,2,0,2,,,7,0,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
DA1031,21,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,20,,,35,3,38,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DA1033,23,"San Juan, Monticello",Antlerless,Deer,Archery,General Season,Aug 01 2026 - Sept 14 2026,,,5,,,7,0,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DA1042,23,"San Juan, Monticello",Antlerless,Deer,Archery,General Season,Nov 24 2026 - Dec 31 2026,,,5,,,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
PB5003,24,"Box Elder, Promontory",Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,4,0,4,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5028,24,"Box Elder, Promontory",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,14,2,16,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,14,2,16,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PD1012,24,"Box Elder, Promontory",Doe,Pronghorn,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,18,2,20,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_doe_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5004,25,"Box Elder, Puddle Valley",Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,3,1,4,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5029,25,"Box Elder, Puddle Valley",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,14,2,16,,,40,3,43,2026_RAC_CURRENT_YEAR_ALLOTMENT,14,2,16,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5005,27,"Box Elder, Snowville",Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,9,1,10,,,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5030,27,"Box Elder, Snowville",Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,28,3,31,,,14,1,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,28,3,31,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PB5080,27,"Box Elder, Snowville",Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,9,1,10,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_buck_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
PD1000,27,"Box Elder, Snowville",Doe,Pronghorn,Any Legal Weapon,General Season,Nov 07 2026 - Dec 06 2026,36,4,40,,,17,1,18,2026_RAC_CURRENT_YEAR_ALLOTMENT,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_doe_pronghorn_permits.csv,RAC_CURRENT_YEAR_SPLIT
DA1001,28,"Box Elder, West Bear River",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Aug 18 2026 - Aug 30 2026,,,30,,,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DA1002,28,"Box Elder, West Bear River",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Nov 24 2026 - Nov 29 2026,,,30,,,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DB1078,29,Cache,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,,,3,0,3,,,,,,,
DB1502,29,Cache,Buck,Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1160,,,18,2,20,,,,,,,
DB1627,29,Cache,Buck,Deer,Restricted Rifle,General Season,Oct 17 2026 - Oct 25 2026,,,3480,,,1,0,1,,,,,,,
DB1628,29,Cache,Buck,Deer,Restricted Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1160,,,5,0,5,,,,,,,
DB1771,29,Cache,Buck,Deer,Dedicated Hunter,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,,,588,,,3,0,3,,,,,,,
EA1267,29,Cache,Antlerless,Elk,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,180,20,200,,,13,1,14,2026_RAC_CURRENT_YEAR_ALLOTMENT,180,20,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EA2027,29,Cache,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2026 - Jan 31 2027,,,250,,,7,0,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,250,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_private_lands_only_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
LO1502,29,Cache,Buck,Deer,Archery,General Season - Private Land Only,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,,,22,2,24,,,,,,,
LO1627,29,Cache,Buck,Deer,Restricted Rifle,General Season - Private Land Only,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,2,,,5,0,5,,,,,,,
LO1628,29,Cache,Buck,Deer,Restricted Muzzleloader,General Season - Private Land Only,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,2,,,5,0,5,,,,,,,
MB6000,29,Cache,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,14,3,17,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,14,3,17,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bull_moose_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1026,32,"Cache, Crawford Mtn",Buck,Deer,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,,,22,1,23,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3003,33,"Cache, Meadowville",Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,9,1,10,,,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3032,33,"Cache, Meadowville",Bull,Elk,Early Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,1,4,,,7,0,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3033,33,"Cache, Meadowville",Bull,Elk,Late Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,6,1,7,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,1,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3081,33,"Cache, Meadowville",Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,5,1,6,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,1,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3105,33,"Cache, Meadowville",Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,0,1,,,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3168,33,"Cache, Meadowville",Bull,Elk,Late Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,5,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_late_archery_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3169,33,"Cache, Meadowville",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,11,1,12,,,25,2,27,2026_RAC_CURRENT_YEAR_ALLOTMENT,11,1,12,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EL3003,33,Cache Meadowville,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,16,,,9,1,10,,,,,,,
EL3032,33,Cache Meadowville,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,21,,,18,2,20,,,,,,,
EL3033,33,Cache Meadowville,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,16,,,10,1,11,,,,,,,
EL3081,33,Cache Meadowville,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,3,,,18,2,20,,,,,,,
EL3168,33,Cache Meadowville,Bull,Elk,Archery,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,14,,,5,0,5,,,,,,,
EL3169,33,Cache Meadowville,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,16,,,1,0,1,,,,,,,
