hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_total,permits_2026_total_numeric,source_file,source_sha256,source_status
EA2013,"Wasatch Mtns, Currant Creek",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 2000,2000,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2014,"Wasatch Mtns, Avintaquin - White River",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 400,400,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2015,Paunsaugunt,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 100,100,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2016,Nebo,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 275,275,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2017,Mt Dutton,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 75,75,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2018,Panguitch Lake,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 75,75,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2019,"West Desert, Tintic Valley",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 60,60,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2020,Zion,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 320,320,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2021,"Beaver, East",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 30,30,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2026,"Box Elder, Hansel Mtn",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 200,200,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2027,Cache,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 300,300,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2028,Vernal/Bonanza,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 450,450,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2029,"Nine Mile, Range Creek",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 150,150,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2030,Diamond Mtn,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 200,200,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2039,"Fillmore, Pahvant",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 150,150,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2040,Kamas,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 150,150,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2046,"Box Elder, Sawtooth",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 25,25,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
