hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,database_sex_type,species,weapon,database_weapon,hunt_type,database_hunt_type,season,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
Fishlake,DB1055,633,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1055,633,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,6,1,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
North Slope,DB1065,612,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1065,612,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,14,2,16,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Box Elder,DB1077,607,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1077,607,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,23,3,26,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Cache,DB1078,29,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1078,29,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,11,1,12,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Manti/San Rafael,DB1079,619,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1079,619,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,40,5,45,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Nebo,DB1080,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1080,616,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,23,3,26,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
La Sal Mtns,DB1081,617,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1081,617,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,8,1,9,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Panguitch Lake,DB1083,634,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1083,634,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,12,1,13,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Boulder/Kaiparowits,DB1084,455,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1084,455,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,12,1,13,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"San Juan, Abajo Mtns",DB1085,618,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1085,618,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,13,1,14,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
