hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,source_row_numbers,notes
San Juan,BR1016,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,20;21,
La Sal,BR1017,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,22;23,
Black Bear Pursuit - Nonresident,BR1018,Either Sex,Black Bear,Pursuit Only,Pursuit,"Spring: Mar 29-May 26, 2025 | Summer: July 5 - Aug 3, 2025 | Fall: Nov 3-9, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,24,
Beaver,BR7000,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,25;26,
"Book Cliffs, Bitter Creek/South",BR7001,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",49,5,54,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,27;28,
"Manti, North",BR7003,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",17,2,19,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,29;30,
"Manti, South/San Rafael, North",BR7004,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",18,0,18,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,31;32,
Nebo,BR7005,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,33;34,
"Fillmore, Pahvant",BR7007,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,35;36,
Mt Dutton,BR7009,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,37;38,
Panguitch Lake/Zion,BR7010,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,0,9,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,39;40,
Paunsaugunt,BR7011,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,41;42,
Boulder/Kaiparowits,BR7012,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",20,2,22,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,43;44,
Fishlake/Thousand Lakes,BR7013,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,45;46,
San Juan,BR7014,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",35,3,38,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,47;48,
Diamond Mtn/Vernal/Bonanza,BR7015,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,49;50,
"Wasatch Mtns, West-Central",BR7016,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",36,4,40,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,51;52,
Cache/Ogden,BR7017,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,53;54,
"Kamas/North Slope, Summit",BR7018,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,55;56,
Monroe,BR7020,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,57;58,
Dolores Triangle,BR7021,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,59;60,
La Sal Mtns,BR7022,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",40,3,43,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,61;62,
Beaver,BR7100,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,63;64,
"Book Cliffs, Bitter Creek/South",BR7101,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,65;66,
"Book Cliffs, Little Creek Roadless",BR7102,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,67;68,
"Manti, North",BR7104,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",17,1,18,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,69;70,
"Manti, South/San Rafael, North",BR7105,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,71;72,
Nebo,BR7106,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",8,0,8,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,73;74,
Mt Dutton,BR7109,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,75;76,
Nine Mile,BR7110,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,77;78,
"North Slope, Three Corners/West Daggett",BR7111,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,79;80,
Panguitch Lake/Zion,BR7112,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,81;82,
Paunsaugunt,BR7113,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,83;84,
Boulder/Kaiparowits,BR7114,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",13,1,14,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,85;86,
Fishlake/Thousand Lakes,BR7115,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,87;88,
San Juan,BR7116,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,2,24,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,89;90,
Diamond Mtn/Vernal/Bonanza,BR7117,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,91;92,
Yellowstone,BR7118,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,93;94,
"Wasatch Mtns, Avintaquin/Currant Creek",BR7119,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,95;96,
"Wasatch Mtns, West-Central",BR7120,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,1,23,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,97;98,
Cache/Ogden,BR7121,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,99;100,
Chalk Creek/East Canyon/Morgan-South Rich,BR7122,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,101;102,
"Kamas/North Slope, Summit",BR7123,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,103;104,
"Fillmore, Pahvant",BR7124,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,105;106,
Monroe,BR7125,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,107;108,
Dolores Triangle,BR7126,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,109;110,
La Sal Mtns,BR7127,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",25,2,27,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,111;112,
Beaver,BR7200,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,113;114,
"Book Cliffs, Bitter Creek/South",BR7201,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,115;116,
"Manti, North",BR7203,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,117;118,
"Manti, South/San Rafael, North",BR7204,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,119;120,
Nebo,BR7205,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,121;122,
"Fillmore, Pahvant",BR7207,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,123;124,
Mt Dutton,BR7210,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,125;126,
Nine Mile,BR7211,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,127;128,
"North Slope, Three Corners/West Daggett",BR7212,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,129;130,
Panguitch Lake/Zion,BR7213,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,131;132,
Paunsaugunt,BR7214,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,133;134,
Boulder/Kaiparowits,BR7215,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,135;136,
Fishlake/Thousand Lakes,BR7216,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,137;138,
San Juan,BR7217,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,139;140,
Diamond Mtn/Vernal/Bonanza,BR7218,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,141;142,
Yellowstone,BR7219,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,143;144,
"Wasatch Mtns, Avintaquin/Currant Creek",BR7220,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,145;146,
"Wasatch Mtns, West-Central",BR7221,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,147;148,
"Book Cliffs, Little Creek Roadless",BR7224,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,149;150,
"Book Cliffs, Little Creek Roadless",BR7225,Either Sex,Black Bear,Any Legal Weapon,Spot and Stalk,"Sept. 1 - Nov. 8, 2026",5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,151;152,
