hunt_code,species,hunt_name,unit,weapon,permits_2026,classification,modeled,has_prediction,has_point_ladder,has_crosswalk,has_harvest_evidence,has_coverage_record,display_odds_or_probability,model_version,final_state,gate_status,manual_review_required,source_current_database,source_prediction,source_crosswalk,source_coverage
DB1025,Deer,Book Cliffs,,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1044,Deer,Book Cliffs,,Multiseason,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1056,Deer,Book Cliffs (North & South),,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1075,Deer,Book Cliffs (North & South),,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1076,Deer,Book Cliffs (North & South),,Muzzleloader,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1030,Deer,"Nine Mile, Price River Valley",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1046,Deer,"Nine Mile, Price River Valley",,"Archery, Muzzleloader, Shotgun",,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR7102,Black Bear,Book Cliffs Little Creek Roadless,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR7224,Black Bear,Book Cliffs Little Creek Roadless,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR7225,Black Bear,Book Cliffs Little Creek Roadless,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR7301,Black Bear,Book Cliffs Little Creek Roadless,,Multiseason,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3002,Elk,"Book Cliffs, Little Creek Roadless",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3028,Elk,"Book Cliffs, Little Creek Roadless",,Early Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3079,Elk,"Book Cliffs, Little Creek Roadless",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3104,Elk,"Book Cliffs, Little Creek Roadless",,Multiseason,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3167,Elk,"Book Cliffs, Little Creek Roadless",,Mid Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3002,Elk,Book Cliffs Little Creek Roadless,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3028,Elk,Book Cliffs Little Creek Roadless,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3079,Elk,Book Cliffs Little Creek Roadless,,Muzzleloader,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3167,Elk,Book Cliffs Little Creek Roadless,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1018,Deer,"Book Cliffs, South",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5002,Pronghorn,"Book Cliffs, South",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5027,Pronghorn,"Book Cliffs, South",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS1001,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS6701,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1266,Elk,"Box Elder, Hansel Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA2026,Elk,"Box Elder, Hansel Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RE1000,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS1003,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS6703,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS6704,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS6722,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1031,Deer,"Oquirrh-Stansbury, Settlement Cyn",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1033,Deer,"San Juan, Monticello",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1042,Deer,"San Juan, Monticello",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5003,Pronghorn,"Box Elder, Promontory",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5028,Pronghorn,"Box Elder, Promontory",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PD1012,Pronghorn,"Box Elder, Promontory",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5004,Pronghorn,"Box Elder, Puddle Valley",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5029,Pronghorn,"Box Elder, Puddle Valley",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5005,Pronghorn,"Box Elder, Snowville",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5030,Pronghorn,"Box Elder, Snowville",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5080,Pronghorn,"Box Elder, Snowville",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PD1000,Pronghorn,"Box Elder, Snowville",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1001,Deer,"Box Elder, West Bear River",,"Archery, Muzzleloader, Shotgun",,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1002,Deer,"Box Elder, West Bear River",,"Archery, Muzzleloader, Shotgun",,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1078,Deer,Cache,,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1502,Deer,Cache,,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1627,Deer,Cache,,Restricted Rifle,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1628,Deer,Cache,,Restricted Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1771,Deer,Cache,,Dedicated Hunter,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1267,Elk,Cache,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA2027,Elk,Cache,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
LO1502,Deer,Cache,,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
LO1627,Deer,Cache,,Restricted Rifle,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
LO1628,Deer,Cache,,Restricted Muzzleloader,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
MB6000,Moose,Cache,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1026,Deer,"Cache, Crawford Mtn",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3003,Elk,"Cache, Meadowville",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3032,Elk,"Cache, Meadowville",,Early Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3033,Elk,"Cache, Meadowville",,Late Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3081,Elk,"Cache, Meadowville",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3105,Elk,"Cache, Meadowville",,Multiseason,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3168,Elk,"Cache, Meadowville",,Late Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3169,Elk,"Cache, Meadowville",,Mid Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3003,Elk,Cache Meadowville,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3032,Elk,Cache Meadowville,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3033,Elk,Cache Meadowville,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3081,Elk,Cache Meadowville,,Muzzleloader,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3168,Elk,Cache Meadowville,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3169,Elk,Cache Meadowville,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3132,Elk,"Cache, North",,September Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3139,Elk,"Cache, North",,HAMSS,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3132,Elk,Cache North,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3139,Elk,Cache North,,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1010,Elk,"Cache, Rich",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1193,Elk,"Cache, Rich",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5073,Pronghorn,"Cache, Rich",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5074,Pronghorn,"Cache, Rich",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
PB5075,Pronghorn,"Cache, Rich",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1011,Elk,"Cache, Richards Hollow",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1012,Elk,"Cache, Richmond Hyde Park",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1206,Elk,"Cache, Richmond Hyde Park",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3005,Elk,"Cache, South",,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3036,Elk,"Cache, South",,Early Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3037,Elk,"Cache, South",,Late Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3083,Elk,"Cache, South",,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3107,Elk,"Cache, South",,Multiseason,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3170,Elk,"Cache, South",,Late Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3171,Elk,"Cache, South",,Mid Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3005,Elk,Cache South,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3036,Elk,Cache South,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3037,Elk,Cache South,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3083,Elk,Cache South,,Muzzleloader,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3170,Elk,Cache South,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3171,Elk,Cache South,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1013,Elk,"Manti, Central",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1015,Elk,"Manti, Ferron Canyon",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1017,Elk,"Manti, Gordon Creek-Price Canyon",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA1018,Elk,"Manti, Horn Mtn",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EA2011,Elk,Manti,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3006,Elk,Manti,,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3038,Elk,Manti,,Early Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3039,Elk,Manti,,Late Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3084,Elk,Manti,,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3108,Elk,Manti,,Multiseason,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3126,Elk,Manti,,Mid Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EB3172,Elk,Manti,,Late Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3006,Elk,Manti,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3038,Elk,Manti,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3039,Elk,Manti,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3084,Elk,Manti,,Muzzleloader,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3126,Elk,Manti,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
EL3172,Elk,Manti,,Archery,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
