key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
deer|paunsaugunt|hunter s choice,Deer,Paunsaugunt,Hunter's Choice,,2.0,,,extracted_only,deer|paunsaugunt|hunter s choice,Deer
deer|paunsaugunt|multiseason,Deer,Paunsaugunt,Multiseason,,2.0,,,extracted_only,deer|paunsaugunt|multiseason,Deer
deer|san juan elk ridge|hunter s choice,Deer,"San Juan, Elk Ridge",Hunter's Choice,,1.0,,,extracted_only,deer|san juan elk ridge|hunter s choice,Deer
deer|san juan elk ridge|multiseason,Deer,"San Juan, Elk Ridge",Multiseason,,1.0,,,extracted_only,deer|san juan elk ridge|multiseason,Deer
deer|statewide|,Deer,Statewide,,,1.0,,,extracted_only,deer|statewide|,Deer
deer|west desert vernon|hunter s choice,Deer,"West Desert, Vernon",Hunter's Choice,,2.0,,,extracted_only,deer|west desert vernon|hunter s choice,Deer
deer|west desert vernon|multiseason,Deer,"West Desert, Vernon",Multiseason,,2.0,,,extracted_only,deer|west desert vernon|multiseason,Deer
elk|beaver east|hunter s choice,Elk,"Beaver, East",Hunter's Choice,,1.0,,,extracted_only,elk|beaver east|hunter s choice,Elk
elk|beaver east|multiseason,Elk,"Beaver, East",Multiseason,,1.0,,,extracted_only,elk|beaver east|multiseason,Elk
elk|book cliffs bitter creek east|hunter s choice,Elk,"Book Cliffs, Bitter Creek/East",Hunter's Choice,,1.0,,,extracted_only,elk|book cliffs bitter creek east|hunter s choice,Elk
elk|book cliffs bitter creek east|multiseason,Elk,"Book Cliffs, Bitter Creek/East",Multiseason,,1.0,,,extracted_only,elk|book cliffs bitter creek east|multiseason,Elk
elk|boulder|hunter s choice,Elk,Boulder,Hunter's Choice,,1.0,,,extracted_only,elk|boulder|hunter s choice,Elk
elk|boulder|multiseason,Elk,Boulder,Multiseason,,1.0,,,extracted_only,elk|boulder|multiseason,Elk
elk|box elder grouse creek|multiseason,Elk,"Box Elder, Grouse Creek",Multiseason,,1.0,,,extracted_only,elk|box elder grouse creek|multiseason,Elk
elk|box elder pilot mountain|multiseason,Elk,"Box Elder, Pilot Mtn",Multiseason,,1.0,,,extracted_only,elk|box elder pilot mountain|multiseason,Elk
elk|cache meadowville|hunter s choice,Elk,"Cache, Meadowville",Hunter's Choice,,1.0,,,extracted_only,elk|cache meadowville|hunter s choice,Elk
elk|cache meadowville|multiseason,Elk,"Cache, Meadowville",Multiseason,,1.0,,,extracted_only,elk|cache meadowville|multiseason,Elk
elk|cache south|hunter s choice,Elk,"Cache, South",Hunter's Choice,,1.0,,,extracted_only,elk|cache south|hunter s choice,Elk
elk|cache south|multiseason,Elk,"Cache, South",Multiseason,,1.0,,,extracted_only,elk|cache south|multiseason,Elk
elk|diamond mountain|hunter s choice,Elk,Diamond Mtn,Hunter's Choice,,1.0,,,extracted_only,elk|diamond mountain|hunter s choice,Elk
elk|diamond mountain|multiseason,Elk,Diamond Mtn,Multiseason,,1.0,,,extracted_only,elk|diamond mountain|multiseason,Elk
elk|fillmore pahvant|hunter s choice,Elk,"Fillmore, Pahvant",Hunter's Choice,,1.0,,,extracted_only,elk|fillmore pahvant|hunter s choice,Elk
elk|fillmore pahvant|multiseason,Elk,"Fillmore, Pahvant",Multiseason,,1.0,,,extracted_only,elk|fillmore pahvant|multiseason,Elk
elk|fishlake thousand lakes|any legal weapon late,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, late",,1.0,,,extracted_only,elk|fishlake thousand lakes|any legal weapon late,Elk
elk|fishlake thousand lakes|any legal weapon mid,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, mid",,1.0,,,extracted_only,elk|fishlake thousand lakes|any legal weapon mid,Elk
elk|fishlake thousand lakes|hunter s choice,Elk,Fishlake/Thousand Lakes,Hunter's Choice,,2.0,,,extracted_only,elk|fishlake thousand lakes|hunter s choice,Elk
elk|fishlake thousand lakes|multiseason,Elk,Fishlake/Thousand Lakes,Multiseason,,2.0,,,extracted_only,elk|fishlake thousand lakes|multiseason,Elk
elk|la sal la sal mountains|hunter s choice,Elk,"La Sal, La Sal Mtns",Hunter's Choice,,2.0,,,extracted_only,elk|la sal la sal mountains|hunter s choice,Elk
elk|la sal la sal mountains|multiseason,Elk,"La Sal, La Sal Mtns",Multiseason,,2.0,,,extracted_only,elk|la sal la sal mountains|multiseason,Elk
elk|manti|hunter s choice,Elk,Manti,Hunter's Choice,,2.0,,,extracted_only,elk|manti|hunter s choice,Elk
elk|manti|multiseason,Elk,Manti,Multiseason,,2.0,,,extracted_only,elk|manti|multiseason,Elk
elk|monroe|hunter s choice,Elk,Monroe,Hunter's Choice,,1.0,,,extracted_only,elk|monroe|hunter s choice,Elk
elk|monroe|multiseason,Elk,Monroe,Multiseason,,1.0,,,extracted_only,elk|monroe|multiseason,Elk
elk|mt dutton|hunter s choice,Elk,Mt Dutton,Hunter's Choice,,1.0,,,extracted_only,elk|mt dutton|hunter s choice,Elk
elk|mt dutton|multiseason,Elk,Mt Dutton,Multiseason,,1.0,,,extracted_only,elk|mt dutton|multiseason,Elk
elk|nebo san pitch mountains|hunter s choice,Elk,Nebo/San Pitch Mtns,Hunter's Choice,,1.0,,,extracted_only,elk|nebo san pitch mountains|hunter s choice,Elk
elk|nebo san pitch mountains|multiseason,Elk,Nebo/San Pitch Mtns,Multiseason,,1.0,,,extracted_only,elk|nebo san pitch mountains|multiseason,Elk
elk|north slope three corners|multiseason,Elk,"North Slope, Three Corners",Multiseason,,1.0,,,extracted_only,elk|north slope three corners|multiseason,Elk
elk|panguitch lake|hunter s choice,Elk,Panguitch Lake,Hunter's Choice,,1.0,,,extracted_only,elk|panguitch lake|hunter s choice,Elk
elk|panguitch lake|multiseason,Elk,Panguitch Lake,Multiseason,,1.0,,,extracted_only,elk|panguitch lake|multiseason,Elk
elk|san juan bull elk|hunter s choice,Elk,San Juan Bull Elk,Hunter's Choice,,1.0,,,extracted_only,elk|san juan bull elk|hunter s choice,Elk
elk|san juan bull elk|multiseason,Elk,San Juan Bull Elk,Multiseason,,1.0,,,extracted_only,elk|san juan bull elk|multiseason,Elk
elk|southwest desert south|hunter s choice,Elk,"Southwest Desert, South",Hunter's Choice,,1.0,,,extracted_only,elk|southwest desert south|hunter s choice,Elk
elk|southwest desert south|multiseason,Elk,"Southwest Desert, South",Multiseason,,2.0,,,extracted_only,elk|southwest desert south|multiseason,Elk
elk|statewide|,Elk,Statewide,,,1.0,,,extracted_only,elk|statewide|,Elk
elk|wasatch mountains|hunter s choice,Elk,Wasatch Mtns,Hunter's Choice,,2.0,,,extracted_only,elk|wasatch mountains|hunter s choice,Elk
elk|wasatch mountains|multiseason,Elk,Wasatch Mtns,Multiseason,,2.0,,,extracted_only,elk|wasatch mountains|multiseason,Elk
moose|statewide|,Moose,Statewide,,,1.0,,,extracted_only,moose|statewide|,Moose
mountain goat|statewide|,Mountain Goat,Statewide,,,1.0,,,extracted_only,mountain goat|statewide|,Mountain Goat
pronghorn|beaver|hunter s choice,Pronghorn,Beaver,Hunter's Choice,,2.0,,,extracted_only,pronghorn|beaver|hunter s choice,Pronghorn
pronghorn|statewide|,Pronghorn,Statewide,,,1.0,,,extracted_only,pronghorn|statewide|,Pronghorn
rocky mountain bighorn sheep|statewide|,Rocky Mountain Bighorn Sheep,Statewide,,,1.0,,,extracted_only,rocky mountain bighorn sheep|statewide|,Rocky Mountain Bighorn Sheep
turkey|central area|multiseason,Turkey,Central Area,Multiseason,,8.0,,,extracted_only,turkey|central area|multiseason,Turkey
turkey|northeastern area|multiseason,Turkey,Northeastern Area,Multiseason,,8.0,,,extracted_only,turkey|northeastern area|multiseason,Turkey
turkey|northern area|multiseason,Turkey,Northern Area,Multiseason,,8.0,,,extracted_only,turkey|northern area|multiseason,Turkey
turkey|southeastern area|multiseason,Turkey,Southeastern Area,Multiseason,,8.0,,,extracted_only,turkey|southeastern area|multiseason,Turkey
turkey|southern area|multiseason,Turkey,Southern Area,Multiseason,,8.0,,,extracted_only,turkey|southern area|multiseason,Turkey
turkey|statewide|,Turkey,Statewide,,,1.0,,,extracted_only,turkey|statewide|,Turkey
