key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
deer|fillmore oak creek le|alw,Deer,"Fillmore, Oak Creek LE",ALW,2.0,,2.0,CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-HUNTER-S-CHOICE;CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-MULTISEASON,active_only,deer|fillmore oak creek le|alw,Deer
deer|henry mountains|alw,Deer,Henry Mtns,ALW,2.0,,2.0,CP-DEER-HENRY-MTNS-BUCK-MULTISEASON;CP-DEER-HENRY-MTNS-BUCK-HUNTER-S-CHOICE,active_only,deer|henry mountains|alw,Deer
deer|la sal dolores triangle|alw,Deer,"La Sal, Dolores Triangle",ALW,1.0,,1.0,CP-DEER-LA-SAL-DOLORES-TRIANGLE-BUCK-MULTISEASON,active_only,deer|la sal dolores triangle|alw,Deer
deer|paunsaugunt|alw,Deer,Paunsaugunt,ALW,4.0,,3.0,CP-DEER-PAUNSAUGUNT-BUCK-HUNTER-S-CHOICE;CP-DEER-PAUNSAUGUNT-BUCK-HUNTER-S-CHOICE;CP-DEER-PAUNSAUGUNT-BUCK-MULTISEASON,active_only,deer|paunsaugunt|alw,Deer
deer|paunsaugunt|muzzleloader,Deer,Paunsaugunt,Muzzleloader,2.0,2.0,2.0,CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER;CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER,match,deer|paunsaugunt|muzzleloader,Deer
deer|paunsaugunt|archery,Deer,Paunsaugunt,Archery,1.0,1.0,1.0,CP-DEER-PAUNSAUGUNT-BUCK-ARCHERY,match,deer|paunsaugunt|archery,Deer
deer|san juan elk ridge|muzzleloader,Deer,"San Juan, Elk Ridge",Muzzleloader,1.0,1.0,1.0,CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MUZZLELOADER,match,deer|san juan elk ridge|muzzleloader,Deer
deer|san juan elk ridge|alw,Deer,"San Juan, Elk Ridge",ALW,2.0,,2.0,CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-HUNTER-S-CHOICE;CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MULTISEASON,active_only,deer|san juan elk ridge|alw,Deer
deer|san juan elk ridge|archery,Deer,"San Juan, Elk Ridge",Archery,1.0,1.0,1.0,CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-ARCHERY,match,deer|san juan elk ridge|archery,Deer
deer|statewide|any legal weapon,Deer,Statewide,Any Legal Weapon,1.0,,1.0,CP-DEER-STATEWIDE-BUCK-ANY-LEGAL-WEAPON,active_only,deer|statewide|any legal weapon,Deer
deer|west desert vernon|muzzleloader,Deer,"West Desert, Vernon",Muzzleloader,2.0,2.0,2.0,CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER;CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER,match,deer|west desert vernon|muzzleloader,Deer
deer|west desert vernon|archery,Deer,"West Desert, Vernon",Archery,2.0,2.0,2.0,CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY;CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY,match,deer|west desert vernon|archery,Deer
deer|west desert vernon|alw,Deer,"West Desert, Vernon",ALW,4.0,,3.0,CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON;CP-DEER-WEST-DESERT-VERNON-BUCK-HUNTER-S-CHOICE;CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON,active_only,deer|west desert vernon|alw,Deer
desert bighorn sheep|kaiparowits east|any legal weapon,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-EAST-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|kaiparowits east|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|kaiparowits escalante|any legal weapon,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-ESCALANTE-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|kaiparowits escalante|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|kaiparowits west|any legal weapon,Desert Bighorn Sheep,"Kaiparowits, West",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-WEST-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|kaiparowits west|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|la sal potash south cisco|any legal weapon,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-LA-SAL-POTASH-SOUTH-CISCO-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|la sal potash south cisco|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|pine valley beaver dam|any legal weapon,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-PINE-VALLEY-BEAVER-DAM-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|pine valley beaver dam|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|san rafael dirty devil|any legal weapon,Desert Bighorn Sheep,"San Rafael, Dirty Devil",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-SAN-RAFAEL-DIRTY-DEVIL-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|san rafael dirty devil|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|san rafael south|any legal weapon,Desert Bighorn Sheep,"San Rafael, South",Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-SAN-RAFAEL-SOUTH-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|san rafael south|any legal weapon,Desert Bighorn Sheep
desert bighorn sheep|statewide|any legal weapon,Desert Bighorn Sheep,Statewide,Any Legal Weapon,1.0,1.0,1.0,CP-DESERT-BIGHORN-SHEEP-STATEWIDE-RAM-ANY-LEGAL-WEAPON,match,desert bighorn sheep|statewide|any legal weapon,Desert Bighorn Sheep
elk|beaver east|alw,Elk,"Beaver, East",ALW,2.0,,2.0,CP-ELK-BEAVER-EAST-BULL-MULTISEASON;CP-ELK-BEAVER-EAST-BULL-HUNTER-S-CHOICE,active_only,elk|beaver east|alw,Elk
elk|beaver east|any legal weapon late,Elk,"Beaver, East","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-BEAVER-EAST-BULL-ANY-LEGAL-WEAPON,match,elk|beaver east|any legal weapon late,Elk
elk|beaver east|archery,Elk,"Beaver, East",Archery,1.0,1.0,1.0,CP-ELK-BEAVER-EAST-BULL-ARCHERY,match,elk|beaver east|archery,Elk
elk|book cliffs bitter creek east|alw,Elk,"Book Cliffs, Bitter Creek/East",ALW,2.0,,2.0,CP-ELK-BOOK-CLIFFS-BITTER-CREEK-EAST-BULL-HUNTER-S-CHOICE;CP-ELK-BOOK-CLIFFS-BITTER-CREEK-EAST-BULL-MULTISEASON,active_only,elk|book cliffs bitter creek east|alw,Elk
elk|book cliffs bitter creek east|any legal weapon late,Elk,"Book Cliffs, Bitter Creek/East","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-BOOK-CLIFFS-BITTER-CREEK-EAST-BULL-ANY-LEGAL-WEAPON,match,elk|book cliffs bitter creek east|any legal weapon late,Elk
elk|book cliffs bitter creek east|archery,Elk,"Book Cliffs, Bitter Creek/East",Archery,1.0,1.0,1.0,CP-ELK-BOOK-CLIFFS-BITTER-CREEK-EAST-BULL-ARCHERY,match,elk|book cliffs bitter creek east|archery,Elk
elk|boulder|any legal weapon late,Elk,Boulder,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-BOULDER-BULL-ANY-LEGAL-WEAPON,match,elk|boulder|any legal weapon late,Elk
elk|boulder|alw,Elk,Boulder,ALW,2.0,,2.0,CP-ELK-BOULDER-BULL-MULTISEASON;CP-ELK-BOULDER-BULL-HUNTER-S-CHOICE,active_only,elk|boulder|alw,Elk
elk|boulder|any legal weapon mid,Elk,Boulder,"Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-BOULDER-BULL-ANY-LEGAL-WEAPON,match,elk|boulder|any legal weapon mid,Elk
elk|boulder|archery,Elk,Boulder,Archery,1.0,1.0,1.0,CP-ELK-BOULDER-BULL-ARCHERY,match,elk|boulder|archery,Elk
elk|boulder|muzzleloader,Elk,Boulder,Muzzleloader,1.0,1.0,1.0,CP-ELK-BOULDER-BULL-MUZZLELOADER,match,elk|boulder|muzzleloader,Elk
elk|box elder grouse creek|alw,Elk,"Box Elder, Grouse Creek",ALW,1.0,,1.0,CP-ELK-BOX-ELDER-GROUSE-CREEK-BULL-MULTISEASON,active_only,elk|box elder grouse creek|alw,Elk
elk|box elder pilot mountain|alw,Elk,"Box Elder, Pilot Mtn",ALW,1.0,,1.0,CP-ELK-BOX-ELDER-PILOT-MTN-BULL-MULTISEASON,active_only,elk|box elder pilot mountain|alw,Elk
