Unit name,Year,n,Calves per 100 cows,Bulls per 100 cows,Mature bulls per 100 cows,source_page
"Box Elder, West",2017–18,,,,,3
"Box Elder, West",2018–19,,,,,3
"Box Elder, West",2019–20,,,,,3
"Box Elder, West",2020–21,,,,,3
"Box Elder, West",2021–22,226,46,68,62,3
"Box Elder, West",2022–23,,,,,3
"Box Elder, West",2023–24,,,,,3
"Box Elder, West",2024–25,,,,,3
Cache,2015–16,,,,,3
Cache,2016–17,,,,,3
Cache,2017–18,,,,,3
Cache,2018–19,2112,,,,3
Cache,2019–20,,,,,3
Cache,2020–21,,,,,3
Cache,2021–22,,,,,3
Cache,2022–23,1724,47,39,28,3
Cache,2023–24,,,,,3
Cache,2024–25,,,,,3
Chalk Creek,2015–16,,,,,4
Chalk Creek,2016–17,,,,,4
Chalk Creek,2017–18,,,,,4
Chalk Creek,2018–19,3177,,,,4
Chalk Creek,2019–20,,,,,4
Chalk Creek,2020–21,,,,,4
Chalk Creek,2021–22,3590,57,37,26,4
Chalk Creek,2022–23,,,,,4
2023–24 3490 51 33* —,2024–25,,,,,4
Diamond Mtn,2015–16,,,,,4
Diamond Mtn,2016–17,,,,,4
Diamond Mtn,2017–18,,,,,4
Diamond Mtn,2018–19,1013,41,22,,4
Diamond Mtn,2019–20,,,,,4
Diamond Mtn,2020–21,,,,,4
Diamond Mtn,2021–22,,,,,4
Diamond Mtn,2022–23,,,,,4
Diamond Mtn,2023–24,,,,,4
Diamond Mtn,2024–25,,,,,4
2015–16 2173 — 31* 21*,2016–17,,,,,5
2015–16 2173 — 31* 21*,2017–18,,,,,5
2015–16 2173 — 31* 21*,2018–19,,,,,5
2015–16 2173 — 31* 21*,2019–20,,,,,5
2015–16 2173 — 31* 21*,2020–21,2281,28,36,,5
2015–16 2173 — 31* 21*,2021–22,,,,,5
2015–16 2173 — 31* 21*,2022–23,,,,,5
2015–16 2173 — 31* 21*,2023–24,2305,48,51,,5
2015–16 2173 — 31* 21*,2024–25,,,,,5
"Fillmore, Oak Creek",2015–16,,,,,5
"Fillmore, Oak Creek",2016–17,,,,,5
"Fillmore, Oak Creek",2017–18,,,,,5
2018–19 309 — 3* 0*,2019–20,,,,,5
2018–19 309 — 3* 0*,2020–21,,,,,5
2018–19 309 — 3* 0*,2021–22,,,,,5
2018–19 309 — 3* 0*,2022–23,,,,,5
2018–19 309 — 3* 0*,2023–24,,,,,5
2018–19 309 — 3* 0*,2024–25,,,,,5
2015–16 1172 — 20* 9*,2016–17,,,,,6
2015–16 1172 — 20* 9*,2017–18,,,,,6
2018–19 1188 — 32* 25*,2019–20,,,,,6
2018–19 1188 — 32* 25*,2020–21,,,,,6
2021–22 874 — 17* 7*,2022–23,,,,,6
2021–22 874 — 17* 7*,2023–24,,,,,6
2021–22 874 — 17* 7*,2024–25,,,,,6
2015–16 2924 — 23* —,2016–17,,,,,6
2015–16 2924 — 23* —,2017–18,,,,,6
2015–16 2924 — 23* —,2018–19,,,,,6
2019–20 3794 — 19* 9*,2020–21,,,,,6
2019–20 3794 — 19* 9*,2021–22,,,,,6
2022–23 3233 — 11* —,2023–24,,,,,6
2022–23 3233 — 11* —,2024–25,,,,,6
Kamas,2015–16,,,,,7
Kamas,2016–17,,,,,7
Kamas,2017–18,,,,,7
Kamas,2018–19,483,,,,7
Kamas,2019–20,,,,,7
Kamas,2020–21,,,,,7
Kamas,2021–22,926,57,11,5,7
Kamas,2022–23,,,,,7
Kamas,2023–24,,,,,7
Kamas,2024–25,,,,,7
"La Sal, Dolores Triangle",2015–16,,,,,7
"La Sal, Dolores Triangle",2016–17,,,,,7
"La Sal, Dolores Triangle",2017–18,,,,,7
"La Sal, Dolores Triangle",2018–19,,,,,7
"La Sal, Dolores Triangle",2019–20,,,,,7
"La Sal, Dolores Triangle",2020–21,400,50,61,33,7
"La Sal, Dolores Triangle",2021–22,,,,,7
"La Sal, Dolores Triangle",2022–23,,,,,7
"La Sal, Dolores Triangle",2023–24,,,,,7
"La Sal, Dolores Triangle",2024–25,,,,,7
"La Sal, La Sal Mtns",2015–16,,,,,8
"La Sal, La Sal Mtns",2016–17,,,,,8
"La Sal, La Sal Mtns",2017–18,,,,,8
"La Sal, La Sal Mtns",2018–19,,,,,8
"La Sal, La Sal Mtns",2019–20,,,,,8
"La Sal, La Sal Mtns",2020–21,1711,27,27,14,8
"La Sal, La Sal Mtns",2021–22,,,,,8
"La Sal, La Sal Mtns",2022–23,,,,,8
"La Sal, La Sal Mtns",2023–24,,,,,8
"La Sal, La Sal Mtns",2024–25,,,,,8
Manti,2015–16,,,,,8
Manti,2016–17,7003,39,52,31,8
Manti,2017–18,,,,,8
Manti,2018–19,,,,,8
Manti,2019–20,5666,29,27,13,8
Manti,2020–21,,,,,8
Manti,2021–22,,,,,8
2022–23 9922 — 20* —,2023–24,,,,,8
2022–23 9922 — 20* —,2024–25,,,,,8
2015–16 810 — 22* 13*,2016–17,,,,,9
2015–16 810 — 22* 13*,2017–18,,,,,9
2015–16 810 — 22* 13*,2018–19,,,,,9
2019–20 861 — 39* 30*,2020–21,,,,,9
2019–20 861 — 39* 30*,2021–22,,,,,9
2022–23 889 — 32* —,2023–24,,,,,9
2022–23 889 — 32* —,2024–25,,,,,9
2015–16 3260 — 44* 33*,2016–17,,,,,9
2015–16 3260 — 44* 33*,2017–18,,,,,9
2015–16 3260 — 44* 33*,2018–19,,,,,9
2015–16 3260 — 44* 33*,2019–20,5189,50,81,68,9
2015–16 3260 — 44* 33*,2020–21,,,,,9
2015–16 3260 — 44* 33*,2021–22,5356,49,83,66,9
2015–16 3260 — 44* 33*,2022–23,,,,,9
2023–24 4663 — 60* —,2024–25,,,,,9
2015–16 1357 — 22* 4*,2016–17,,,,,10
2015–16 1357 — 22* 4*,2017–18,,,,,10
2015–16 1357 — 22* 4*,2018–19,,,,,10
2019–20 849 — 40* 24*,2020–21,,,,,10
2019–20 849 — 40* 24*,2021–22,,,,,10
2022–23 1097 — 28* —,2023–24,,,,,10
2022–23 1097 — 28* —,2024–25,,,,,10
Nebo,2015–16,,,,,10
2016–17 1688 — 17* 6*,2017–18,,,,,10
2016–17 1688 — 17* 6*,2018–19,,,,,10
2016–17 1688 — 17* 6*,2019–20,1514,35,48,13,10
2016–17 1688 — 17* 6*,2020–21,,,,,10
2016–17 1688 — 17* 6*,2021–22,,,,,10
2022–23 2250 — 23* —,2023–24,,,,,10
2022–23 2250 — 23* —,2024–25,,,,,10
"Nine Mile, Anthro",2015–16,,,,,11
"Nine Mile, Anthro",2016–17,780,31,26,,11
"Nine Mile, Anthro",2017–18,,,,,11
"Nine Mile, Anthro",2018–19,,,,,11
"Nine Mile, Anthro",2019–20,,,,,11
"Nine Mile, Anthro",2020–21,,,,,11
"Nine Mile, Anthro",2021–22,,,,,11
"Nine Mile, Anthro",2022–23,,,,,11
"Nine Mile, Anthro",2023–24,,,,,11
"Nine Mile, Anthro",2024–25,,,,,11
"Nine Mile, Range Creek",2015–16,,,,,11
"Nine Mile, Range Creek",2016–17,1300,32,49,23,11
"Nine Mile, Range Creek",2017–18,,,,,11
"Nine Mile, Range Creek",2018–19,,,,,11
"Nine Mile, Range Creek",2019–20,,,,,11
"Nine Mile, Range Creek",2020–21,1893,25,30,19,11
"Nine Mile, Range Creek",2021–22,,,,,11
"Nine Mile, Range Creek",2022–23,,,,,11
"Nine Mile, Range Creek",2023–24,1773,26,27,9,11
"Nine Mile, Range Creek",2024–25,,,,,11
"North Slope, Summit",2015–16,,,,,12
"North Slope, Summit",2016–17,,,,,12
"North Slope, Summit",2017–18,,,,,12
"North Slope, Summit",2018–19,299,,,,12
"North Slope, Summit",2019–20,,,,,12
"North Slope, Summit",2020–21,,,,,12
"North Slope, Summit",2021–22,590,57,22,18,12
"North Slope, Summit",2022–23,,,,,12
"North Slope, Summit",2023–24,,,,,12
"North Slope, Summit",2024–25,168,47,83,17,12
"North Slope, Three Corners",2015–16,,,,,12
"North Slope, Three Corners",2016–17,274,93,35,,12
"North Slope, Three Corners",2017–18,,,,,12
"North Slope, Three Corners",2018–19,323,24,44,,12
"North Slope, Three Corners",2019–20,,,,,12
"North Slope, Three Corners",2020–21,,,,,12
"North Slope, Three Corners",2021–22,475,23,73,,12
"North Slope, Three Corners",2022–23,,,,,12
"North Slope, Three Corners",2023–24,,,,,12
"North Slope, Three Corners",2024–25,,,,,12
"North Slope, West Daggett",2015–16,,,,,13
"North Slope, West Daggett",2016–17,463,33,14,,13
"North Slope, West Daggett",2017–18,,,,,13
"North Slope, West Daggett",2018–19,487,34,18,,13
"North Slope, West Daggett",2019–20,,,,,13
"North Slope, West Daggett",2020–21,,,,,13
"North Slope, West Daggett",2021–22,915,32,13,2,13
"North Slope, West Daggett",2022–23,,,,,13
"North Slope, West Daggett",2023–24,,,,,13
"North Slope, West Daggett",2024–25,,,,,13
Ogden,2015–16,,,,,13
Ogden,2016–17,,,,,13
Ogden,2017–18,,,,,13
Ogden,2018–19,1397,,,,13
Ogden,2019–20,,,,,13
Ogden,2020–21,,,,,13
Ogden,2021–22,,,,,13
Ogden,2022–23,1648,48,49,34,13
Ogden,2023–24,,,,,13
Ogden,2024–25,,,,,13
Oquirrh-Stansbury,2015–16,620,,,,14
Oquirrh-Stansbury,2016–17,,,,,14
Oquirrh-Stansbury,2017–18,,,,,14
Oquirrh-Stansbury,2018–19,,,,,14
Oquirrh-Stansbury,2019–20,561,4,21,8,14
Oquirrh-Stansbury,2020–21,,,,,14
Oquirrh-Stansbury,2021–22,,,,,14
2022–23 885 — 16* —,2023–24,,,,,14
2022–23 885 — 16* —,2024–25,,,,,14
2015–16 1356 — 7* 2*,2016–17,,,,,14
2015–16 1356 — 7* 2*,2017–18,,,,,14
2015–16 1356 — 7* 2*,2018–19,,,,,14
2015–16 1356 — 7* 2*,2019–20,,,,,14
2015–16 1356 — 7* 2*,2020–21,,,,,14
2021–22 504 — 24* 10*,2022–23,,,,,14
2021–22 504 — 24* 10*,2023–24,,,,,14
2021–22 504 — 24* 10*,2024–25,,,,,14
Paunsaugunt,2015–16,,,,,15
Paunsaugunt,2016–17,205,,,,15
Paunsaugunt,2017–18,,,,,15
Paunsaugunt,2018–19,,,,,15
Paunsaugunt,2019–20,,,,,15
Paunsaugunt,2020–21,22,,,,15
Paunsaugunt,2021–22,,,,,15
Paunsaugunt,2022–23,,,,,15
Paunsaugunt,2023–24,109,,9,,15
Paunsaugunt,2024–25,,,,,15
San Juan,2015–16,,,,,15
San Juan,2016–17,,,,,15
San Juan,2017–18,1024,36,53,27,15
San Juan,2018–19,,,,,15
San Juan,2019–20,,,,,15
San Juan,2020–21,1236,40,45,27,15
San Juan,2021–22,,,,,15
San Juan,2022–23,,,,,15
San Juan,2023–24,,,,,15
San Juan,2024–25,,,,,15
2015–16 1230 — 18* 6*,2016–17,,,,,16
2015–16 1230 — 18* 6*,2017–18,,,,,16
2015–16 1230 — 18* 6*,2018–19,,,,,16
2015–16 1230 — 18* 6*,2019–20,,,,,16
2015–16 1230 — 18* 6*,2020–21,,,,,16
2021–22 779 — 14* 4*,2022–23,,,,,16
2021–22 779 — 14* 4*,2023–24,,,,,16
2021–22 779 — 14* 4*,2024–25,,,,,16
Vernal/Bonanza,2015–16,,,,,16
Vernal/Bonanza,2016–17,,,,,16
Vernal/Bonanza,2017–18,,,,,16
Vernal/Bonanza,2018–19,1926,54,20,,16
Vernal/Bonanza,2019–20,,,,,16
Vernal/Bonanza,2020–21,,,,,16
Vernal/Bonanza,2021–22,,,,,16
Vernal/Bonanza,2022–23,,,,,16
Vernal/Bonanza,2023–24,,,,,16
Vernal/Bonanza,2024–25,,,,,16
"Wasatch Mtns, Avintaquin",2015–16,,,,,17
"Wasatch Mtns, Avintaquin",2016–17,1133,52,42,,17
"Wasatch Mtns, Avintaquin",2017–18,,,,,17
"Wasatch Mtns, Avintaquin",2018–19,,,,,17
"Wasatch Mtns, Avintaquin",2019–20,,,,,17
"Wasatch Mtns, Avintaquin",2020–21,,,,,17
"Wasatch Mtns, Avintaquin",2021–22,2101,30,15,5,17
"Wasatch Mtns, Avintaquin",2022–23,,,,,17
"Wasatch Mtns, Avintaquin",2023–24,,,,,17
"Wasatch Mtns, Avintaquin",2024–25,,,,,17
"Wasatch Mtns, Currant Creek",2015–16,,,,,17
"Wasatch Mtns, Currant Creek",2016–17,,,,,17
"Wasatch Mtns, Currant Creek",2017–18,,,,,17
"Wasatch Mtns, Currant Creek",2018–19,,,,,17
"Wasatch Mtns, Currant Creek",2019–20,,,,,17
"Wasatch Mtns, Currant Creek",2020–21,,,,,17
"Wasatch Mtns, Currant Creek",2021–22,3273,34,38,12,17
"Wasatch Mtns, Currant Creek",2022–23,,,,,17
"Wasatch Mtns, Currant Creek",2023–24,,,,,17
"Wasatch Mtns, Currant Creek",2024–25,,,,,17
"Wasatch Mtns, West",2015–16,,,,,18
"Wasatch Mtns, West",2016–17,2704,74,28,,18
"Wasatch Mtns, West",2017–18,,,,,18
"Wasatch Mtns, West",2018–19,,,,,18
"Wasatch Mtns, West",2019–20,,,,,18
"Wasatch Mtns, West",2020–21,,,,,18
"Wasatch Mtns, West",2021–22,2928,32,27,10,18
"Wasatch Mtns, West",2022–23,,,,,18
"Wasatch Mtns, West",2023–24,,,,,18
"West Desert, Deep Creek",2015–16,,,,,18
"West Desert, Deep Creek",2016–17,130,,,,18
"West Desert, Deep Creek",2017–18,,,,,18
"West Desert, Deep Creek",2018–19,,,,,18
"West Desert, Deep Creek",2019–20,,,,,18
"West Desert, Deep Creek",2020–21,74,,,,18
"West Desert, Deep Creek",2021–22,,,,,18
"West Desert, Deep Creek",2022–23,,,,,18
"West Desert, Deep Creek",2023–24,,,,,18
"West Desert, Deep Creek",2024–25,,,,,18
"West Desert, Tintic",2015–16,,,,,19
"West Desert, Tintic",2016–17,,,,,19
"West Desert, Tintic",2017–18,,,,,19
"West Desert, Tintic",2018–19,,,,,19
"West Desert, Tintic",2019–20,108,,,,19
"West Desert, Tintic",2020–21,,,,,19
"West Desert, Tintic",2021–22,,,,,19
2022–23 144 — 132* —,2023–24,,,,,19
2022–23 144 — 132* —,2024–25,,,,,19
Yellowstone,2015–16,,,,,19
Yellowstone,2016–17,,,,,19
Yellowstone,2017–18,,,,,19
Yellowstone,2018–19,6012,40,23,,19
Yellowstone,2019–20,,,,,19
Yellowstone,2020–21,,,,,19
Yellowstone,2021–22,,,,,19
Yellowstone,2022–23,,,,,19
Yellowstone,2023–24,,,,,19
Yellowstone,2024–25,,,,,19
Zion,2015–16,,,,,20
Zion,2016–17,645,,,,20
Zion,2017–18,,,,,20
Zion,2018–19,,,,,20
Zion,2019–20,,,,,20
Zion,2020–21,655,,,,20
Zion,2021–22,,,,,20
Zion,2022–23,,,,,20
Zion,2023–24,486,,11,3,20
Zion,2024–25,,,,,20
