hunt_code,huntCode,code,title,hunt_name,species,sex_type,weapon,hunt_type,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,boundary_id,boundaryId,unitCode,resolvedBoundaryIds,draw_family,data_status,source_authority,youth_flag,eligibility_class,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_draw_source,permits_2025_source,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_total,unitName,boundary_id_numeric,boundary_token,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6516,BI6516,BI6516,Henry Mtns,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,0,5,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,13.0,13.0,100.0,3.5,4.5,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,0,541,7,Bonus Point Draw Results,5,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6531,BI6531,BI6531,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,10,0,10,,889,889,889,889,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,7,0,7,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,7.0,6.0,85.7,3.7,3.7,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,7,0,544,10,Bonus Point Draw Results,7,"Book Cliffs, Little Creek/South",889,889,2026_RAC_CURRENT_YEAR_ALLOTMENT,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6534,BI6534,BI6534,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Sept 12 2026 - Sept 20 2026,10,0,10,,667,667,667,667,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,0,5,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,4.0,4.0,100.0,2.5,3.8,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,0,546,12,Bonus Point Draw Results,5,"Book Cliffs, Bitter Creek",667,667,2026_RAC_CURRENT_YEAR_ALLOTMENT,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6535,BI6535,BI6535,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 03 2026 - Oct 15 2026,8,0,8,,667,667,667,667,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,0,5,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,5.0,5.0,100.0,4.2,4.4,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,0,547,13,Bonus Point Draw Results,5,"Book Cliffs, Bitter Creek",667,667,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,0,8,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6537,BI6537,BI6537,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 07 2026 - Jan 31 2027,8,7,15,,889,889,889,889,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,5,10,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,11.0,10.0,90.9,3.7,4.6,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,5,549,15,Bonus Point Draw Results,10,"Book Cliffs, Little Creek/South",889,889,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,7,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,8,7,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6509,BI6509,BI6509,Henry Mtns,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,4,0,4,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,3.0,2.0,66.7,7.0,4.3,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,4,0,540,6,Bonus Point Draw Results,4,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6528,BI6528,BI6528,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,5,0,5,,889,889,889,889,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,0,5,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,5.0,5.0,100.0,2.0,5.0,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,0,542,8,Bonus Point Draw Results,5,"Book Cliffs, Little Creek/South",889,889,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6532,BI6532,BI6532,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,5,0,5,,667,667,667,667,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,0,5,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,3.0,3.0,100.0,2.0,5.0,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,0,545,11,Bonus Point Draw Results,5,"Book Cliffs, Bitter Creek",667,667,2026_RAC_CURRENT_YEAR_ALLOTMENT,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI1000,BI1000,BI1000,Bison - Statewide Permit,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,Statewide Permit,"Aug 1, 2026 - Jan 31, 2027",,,,,SW_BISON_2026,900006,900006,1;94;615;667;889,Sportsman,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,official_uploaded_source,False,STANDARD,,,,,,,2.0,2.0,100.0,1.0,5.0,Public,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_bison_either-sex.xlsx; no quota or permit total published in uploaded source.,True,False,False,bison bull.csv,2026_bison_either-sex.xlsx,,,,,,,Bison - Statewide Permit,900006,SW_BISON_2026,,,,,,,,,,,,
BR1007,BR1007,BR1007,Black Bear Pursuit - Resident,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,"Black Bear pursuit permit - resident: Pursuit only; this permit authorizes pursuit, but not harvest, of black bears. Season dates shown in the BR1007 print packet are Spring: Mar 28-May 25, 2026; Summer: July 5-July 31, 2026; Fall: Nov 2-8, 2026. The packet states a pursuit permit allows pursuit during open pursuit seasons and includes a warning that National Forests may contain private land requiring written permission. Full BR1007 area-specific pursuit information is indexed in 2026_black_bear_pursuit_BR1007_area_info_index.csv and sourced from black bear pursuit.pdf.",SW_BLACK_BEAR_2026,900007,900007,SW_BLACK_BEAR_2026,O.T.C.,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,official_uploaded_source,False,STANDARD,,,,,,,,,,,,Public,NO_QUOTA_PUBLISHED,BLACK_BEAR_PURSUIT_NO_QUOTA,Utah DWR Hunt Planner,Utah DWR Hunt Planner black bear pursuit export confirms resident pursuit hunt; no quota or permit total is published for pursuit-only permit.,,,,black bear.csv,2026_black_bear_pursuit.xlsx,,,,,,,Black Bear Pursuit - Resident,900007,SW_BLACK_BEAR_2026,,,,,,,,,,,,
BR1000,BR1000,BR1000,Black Bear - Statewide Permit,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,Statewide Permit,,,,,"Black Bear statewide permit: Any open season on any open bear unit during the 2026 season. See the 2026 Black Bear Guidebook and the BR1000 print packet for season dates, legal methods, access notes, land ownership, and unit-specific restrictions. Special provisions: this packet identifies the statewide permit as a late-season bear conservation permit and includes the required harvest reporting language. Any harvested bear must be checked by a DWR employee within 48 hours of kill; permanent possession tag requirements apply. Full BR1000 area-specific information is indexed in 2026_black_bear_statewide_BR1000_area_info_index.csv and sourced from BR1000 Print.pdf.",SW_BLACK_BEAR_2026,900007,900007,SW_BLACK_BEAR_2026,Sportsman,COMPLETE_TOTAL_ONLY,official_uploaded_source,False,STANDARD,,,,,,,,,,,,Public,TOTAL_ONLY,CONSERVATION_MULTIYEAR_TOTAL,Utah DWR Conservation Permit Working List,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.,,,,black bear.csv,8C1294DD__2025-27_conservation_permits.pdf,,,,,,,Black Bear - Statewide Permit,900007,SW_BLACK_BEAR_2026,,,,,,,,,,,,
CG9999,CG9999,CG9999,Cougar - Statewide,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,Statewide Permit,,,,,,SW_COUGAR_2026,900008,900008,SW_COUGAR_2026,Sportsman,COMPLETE,official_uploaded_source,False,STANDARD,,,,,,,,,,,,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_COUGAR_STATEWIDE.xlsx.,,,,cougar.csv,2026_COUGAR_STATEWIDE.xlsx,,,,,,,Cougar - Statewide,900008,SW_COUGAR_2026,,,,,,,,,,,,
DA1011,DA1011,DA1011,George Creek CWMU,George Creek CWMU,Deer,Antlerless,Any Legal Weapon,CWMU,CWMU,Contact operator for 2025 season dates,5,0,5,,806,806,806,806,CWMU,COMPLETE_TOTAL_ONLY,official_uploaded_source,False,STANDARD,5,0,5,,2025_DRAW_RESULTS_TABLES,,5.0,4.0,80.0,1.4,4.6,CWMU,TOTAL_ONLY,CWMU_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_cwmu.csv; no resident/nonresident split published in this source.,True,False,True,antlerless deer.xlsx,2026_deer_antlerless_cwmu.csv,,,,,,,George Creek CWMU,806,806,,,,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_CWMU_BIG_GAME,,,,,,
DA1012,DA1012,DA1012,Junction Valley CWMU,Junction Valley CWMU,Deer,Antlerless,Any Legal Weapon,CWMU,CWMU,Contact operator for 2025 season dates,15,0,15,,589,589,589,589,CWMU,COMPLETE_TOTAL_ONLY,official_uploaded_source,False,STANDARD,15,0,15,,2025_DRAW_RESULTS_TABLES,,14.0,14.0,100.0,1.8,5.0,CWMU,TOTAL_ONLY,CWMU_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_cwmu.csv; no resident/nonresident split published in this source.,True,False,True,antlerless deer.xlsx,2026_deer_antlerless_cwmu.csv,,,,,,,Junction Valley CWMU,589,589,,,,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_CWMU_BIG_GAME,,,,,,
