reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,bull_harvest,cow_harvest,calf_harvest,harvest_total,permits,hunters_afield,percent_success,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
1967,1968,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,4.0,6.0,0.0,10.0,10.0,10.0,100.0,1967 4 6 0 10 10 10 100.0,True,True,True
1968,1969,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,15.0,0.0,0.0,15.0,15.0,15.0,100.0,1968 15 0 0 15 15 15 100.0,True,True,True
1969,1970,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,8.0,0.0,0.0,8.0,10.0,10.0,80.0,1969 8 0 0 8 10 10 80.0,True,True,True
1970,1971,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,6.0,0.0,0.0,6.0,10.0,10.0,60.0,1970 6 0 0 6 10 10 60.0,True,True,True
1971,1972,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,8.0,2.0,0.0,10.0,15.0,15.0,66.7,1971 8 2 0 10 15 15 66.7,True,True,True
1972,1973,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1972 — — — — — — —,True,True,True
1973,1974,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1973 — — — — — — —,True,True,True
1974,1975,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,4.0,3.0,0.0,7.0,10.0,9.0,77.8,1974 4 3 0 7 10 9 77.8,True,True,True
1975,1976,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,7.0,2.0,0.0,9.0,10.0,9.0,100.0,1975 7 2 0 9 10 9 100.0,True,True,True
1976,1977,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,8.0,2.0,0.0,10.0,10.0,10.0,100.0,1976 8 2 0 10 10 10 100.0,True,True,True
1977,1978,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,9.0,1.0,0.0,10.0,10.0,10.0,100.0,1977 9 1 0 10 10 10 100.0,True,True,True
1978,1979,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,11.0,9.0,1.0,21.0,22.0,22.0,95.5,1978 11 9 1 21 22 22 95.5,True,True,True
1979,1980,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,14.0,12.0,1.0,27.0,27.0,27.0,100.0,1979 14 12 1 27 27 27 100.0,True,True,True
1980,1981,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,16.0,6.0,1.0,23.0,27.0,27.0,85.2,1980 16 6 1 23 27 27 85.2,True,True,True
1981,1982,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,20.0,5.0,0.0,25.0,27.0,27.0,92.6,1981 20 5 0 25 27 27 92.6,True,True,True
1982,1983,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,16.0,10.0,2.0,28.0,28.0,28.0,100.0,1982 16 10 2 28 28 28 100.0,True,True,True
1983,1984,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,20.0,8.0,0.0,28.0,28.0,28.0,100.0,1983 20 8 0 28 28 28 100.0,True,True,True
1984,1985,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,28.0,7.0,0.0,35.0,36.0,36.0,97.2,1984 28 7 0 35 36 36 97.2,True,True,True
1985,1986,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,29.0,12.0,0.0,41.0,45.0,45.0,91.1,1985 29 12 0 41 45 45 91.1,True,True,True
1986,1987,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,39.0,17.0,0.0,56.0,56.0,56.0,100.0,1986 39 17 0 56 56 56 100.0,True,True,True
1987,1988,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,40.0,14.0,1.0,55.0,56.0,56.0,98.2,1987 40 14 1 55 56 56 98.2,True,True,True
1988,1989,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,32.0,32.0,0.0,64.0,67.0,67.0,95.5,1988 32 32 0 64 67 67 95.5,True,True,True
1989,1990,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,31.0,28.0,1.0,60.0,67.0,67.0,89.6,1989 31 28 1 60 67 67 89.6,True,True,True
1990,1991,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,47.0,103.0,0.0,150.0,184.0,184.0,81.5,1990 47 103 0 150 184 184 81.5,True,True,True
1991,1992,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,44.0,32.0,2.0,78.0,92.0,91.0,85.7,1991 44 32 2 78 92 91 85.7,True,True,True
1992,1993,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,17.0,1.0,0.0,18.0,18.0,18.0,100.0,1992 17 1 0 18 18 18 100.0,True,True,True
1993,1994,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,41.0,7.0,0.0,48.0,51.0,51.0,94.1,1993 41 7 0 48 51 51 94.1,True,True,True
1994,1995,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,20.0,58.0,2.0,80.0,90.0,90.0,88.9,1994 20 58 2 80 90 90 88.9,True,True,True
1995,1996,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,32.0,44.0,0.0,76.0,102.0,102.0,74.5,1995 32 44 0 76 102 102 74.5,True,True,True
1996,1997,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,38.0,7.0,0.0,45.0,48.0,48.0,93.8,1996 38 7 0 45 48 48 93.8,True,True,True
1997,1998,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,24.0,28.0,0.0,52.0,56.0,56.0,92.9,1997 24 28 0 52 56 56 92.9,True,True,True
1998,1999,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,39.0,35.0,0.0,74.0,81.0,81.0,91.4,1998 39 35 0 74 81 81 91.4,True,True,True
1999,2000,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,30.0,52.0,0.0,82.0,103.0,102.0,80.4,1999 30 52 0 82 103 102 80.4,True,True,True
2000,2001,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,21.0,24.0,0.0,45.0,53.0,52.0,86.5,2000 21 24 0 45 53 52 86.5,True,True,True
2001,2002,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,39.0,38.0,0.0,77.0,92.0,92.0,83.7,2001 39 38 0 77 92 92 83.7,True,True,True
2002,2003,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,26.0,17.0,0.0,43.0,47.0,47.0,91.5,2002 26 17 0 43 47 47 91.5,True,True,True
2003,2004,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,34.0,14.0,0.0,48.0,60.0,60.0,80.0,2003 34 14 0 48 60 60 80.0,True,True,True
2004,2005,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,17.0,24.0,0.0,41.0,41.0,41.0,100.0,2004 17 24 0 41 41 41 100.0,True,True,True
2005,2006,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,12.0,11.0,0.0,23.0,25.0,23.0,100.0,2005 12 11 0 23 25 23 100.0,True,True,True
2006,2007,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,12.0,10.0,0.0,22.0,22.0,22.0,100.0,2006 12 10 0 22 22 22 100.0,True,True,True
2007,2008,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,61.0,59.0,0.0,121.0,143.0,141.0,85.8,2007 61 59 0 121 143 141 85.8,True,True,True
2008,2009,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,59.0,73.0,0.0,133.0,170.0,165.0,80.6,2008 59 73 0 133** 170 165 80.6,True,True,True
2009,2010,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,38.0,71.0,0.0,109.0,148.0,146.0,74.7,2009 38 71 0 109 148 146 74.7,True,True,True
2010,2011,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,31.0,7.0,0.0,38.0,51.0,48.0,79.2,2010 31 7 0 38 51 48 79.2,True,True,True
2011,2012,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,16.0,5.0,0.0,21.0,25.0,25.0,84.0,2011 16 5 0 21 25 25 84.0,True,True,True
2012,2013,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,49.0,48.0,0.0,97.0,123.0,123.0,78.9,2012 49 48 0 97 123 123 78.9,True,True,True
2013,2014,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,34.0,35.0,0.0,69.0,106.0,105.0,65.7,2013 34 35 0 69 106 105 65.7,True,True,True
2014,2015,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,41.0,32.0,0.0,73.0,87.0,85.0,85.9,2014 41 32 0 73 87 85 85.9,True,True,True
2015,2016,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,40.0,20.0,0.0,60.0,76.0,72.0,83.3,2015 40 20 0 60 76 72 83.3,True,True,True
2016,2017,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,53.0,25.0,0.0,78.0,94.0,92.0,84.8,2016 53 25 0 78 94 92 84.8,True,True,True
2017,2018,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,89.0,45.0,0.0,134.0,157.0,155.0,86.5,2017 89 45 0 134 157 155 86.5,True,True,True
2018,2019,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,96.0,106.0,0.0,202.0,266.0,261.0,77.4,2018 96 106 0 202 266 261 77.4,True,True,True
2019,2020,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,80.0,93.0,0.0,173.0,240.0,240.0,72.1,2019 80 93 0 173 240 240 72.1,True,True,True
2020,2021,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,134.0,91.0,0.0,225.0,364.0,345.0,65.2,2020 134 91 0 225 364 345 65.2,True,True,True
2021,2022,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,69.0,43.0,0.0,112.0,310.0,293.0,38.2,2021 69 43 0 112 310 293 38.2,True,True,True
2022,2023,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,91.0,46.0,0.0,137.0,216.0,204.0,67.2,2022 91 46 0 137 216 204 67.2,True,True,True
2023,2024,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,74.0,52.0,0.0,126.0,215.0,205.0,61.5,2023 74 52 0 126 215 205 61.5,True,True,True
2024,2025,bison harvest data.pdf,2,Bison Extra,Statewide bison harvest statistics,Bison,48.0,28.0,0.0,76.0,112.0,107.0,67.9,2024 48 28 0 76 112 107 67.9,True,True,True
