path,size_bytes,file_type,page_dependency,is_large,is_blocking_likely,should_lazy_load,should_cloudflare_r2,should_compress,should_split,should_not_publish,recommendation
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.gdbtable,3626,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.EditingTemplatesByDatasetGUID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.EditingTemplatesByName.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.EditingTemplatesByType.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.FDO_GlobalID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.gdbindexes,378,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.gdbtable,385,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000009.gdbtablx,32,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.EditingTemplateRelsByDestinationID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.EditingTemplateRelsByOriginID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.EditingTemplateRelsByType.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.gdbindexes,344,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.gdbtable,127,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000a.gdbtablx,32,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000b.gdbindexes,116,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000b.gdbtable,252172,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000b.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000b.horizon,32,HORIZON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000b.spx,4118,SPX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000c.gdbindexes,66,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000c.gdbtable,9669,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a0000000c.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/gdb,4,unknown,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/timestamps,400,unknown,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2_.KMZ,569598,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026PronghornLimitedEntry_-6120172427821280967.txt,4931839,TXT,,false,false,false,false,false,false,false,OK for current audit threshold.
data/annual_report_key_metrics.csv,1809,CSV,,false,false,false,false,false,false,false,OK for current audit threshold.
data/big_game_draw_hunt_totals.csv,271087,CSV,,false,false,false,false,false,false,false,OK for current audit threshold.
data/big_game_draw_point_level.csv,8463461,CSV,,true,false,false,true,true,false,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Compress or convert before public delivery.
data/bighorn_sheep_hunt_table_official.json,29153,JSON,index.html,false,false,false,false,false,false,false,OK for current audit threshold.
data/bison_hunt_table_official.json,7982,JSON,index.html,false,false,false,false,false,false,false,OK for current audit threshold.
data/black_bear_bonus_point_purchases.csv,2542,CSV,,false,false,false,false,false,false,false,OK for current audit threshold.
data/black_bear_hunt_table_official.json,53897,JSON,index.html,false,false,false,false,false,false,false,OK for current audit threshold.
data/blm-surface-ownership-shapefile,2,unknown,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/BI1000.kml,510169,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/BR1000.kml,5316904,GeoJSON,,true,false,false,true,false,true,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Split/tile/simplify this asset before browser runtime use.
data/boundaries/kml/BR1007.kml,4169462,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/CG9999.kml,8399106,GeoJSON,,true,false,false,true,false,true,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Split/tile/simplify this asset before browser runtime use.
data/boundaries/kml/DB0007.kml,3991363,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/DB0008.kml,760985,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EA2000.kml,829978,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1000.kml,3907595,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1002.kml,3543800,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1003.kml,3577084,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1004.kml,3577084,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1005.kml,6922570,GeoJSON,,true,false,false,true,false,true,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Split/tile/simplify this asset before browser runtime use.
data/boundaries/kml/EB1007.kml,3462165,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1009.kml,3577084,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1010.kml,3543800,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB1011.kml,7119317,GeoJSON,,true,false,false,true,false,true,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Split/tile/simplify this asset before browser runtime use.
data/boundaries/kml/EB1012.kml,370350,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EB3128.kml,27039,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/EX1000.kml,441896,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/GO1000.kml,1460198,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/MB1000.kml,1955756,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/PB1000.kml,5405741,GeoJSON,,true,false,false,true,false,true,false,Serve from Cloudflare/R2 or Workers endpoint instead of Pages. Split/tile/simplify this asset before browser runtime use.
data/boundaries/kml/RS0001.kml,1434583,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/TK1001.kml,232825,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/TK1019.kml,16614,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/TK1020.kml,379434,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kml/TK1022.kml,63685,GeoJSON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/BI1000.kmz,196275,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/BR1000.kmz,2033182,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/BR1007.kmz,1593603,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/CG9999.kmz,3181923,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/DB0007.kmz,1515642,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/DB0008.kmz,288483,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EA2000.kmz,316192,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1000.kmz,1493509,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/boundaries/kmz/EB1002.kmz,1342552,KMZ,,false,false,false,false,false,false,false,OK for current audit threshold.
