folder,title,type,year,href
"HARVEST DATA","2023 wasatch mtns west","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/938F5CB7__2023-wasatch-mtns-west.pdf"
"HARVEST DATA","22 bg report","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/22_bg_report.pdf"
"HARVEST DATA","22 black bear report","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/22_black_bear_report.pdf"
"HARVEST DATA","24 bg HARVEST report","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/24_bg_HARVEST_report.pdf"
"HARVEST DATA","24 black bear report","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/24_black_bear_report.pdf"
"HARVEST DATA","Antlerless big game","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/ca8a3d7c__Antlerless big game.pdf"
"HARVEST DATA","bear 2023","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/295db9e8__bear_2023.pdf"
"HARVEST DATA","BIGHORN SHEEP 2023 harvest data","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf"
"HARVEST DATA","cougar 2023","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/dbd8a659__cougar_2023.pdf"
"HARVEST DATA","General season buck deer","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/dc965eb4__General-season buck deer.pdf"
"HARVEST DATA","Limited entry and once in a lifetime species","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/ba50f481__Limited-entry and once-in-a-lifetime species.pdf"
"HARVEST DATA","mixed 2023 24","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/36a67499__mixed_2023-24.pdf"
"HARVEST DATA","2022","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/2173f802__2022.pdf"
"HARVEST DATA","2022 antlerless hr","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/FF6D4B3D__2022_antlerless_hr.pdf"
"HARVEST DATA","2022 gs buck deer hr","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/CCDD6E10__2022_gs_buck_deer_hr.pdf"
"HARVEST DATA","2022 harvest data","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/5E321DA5__2022-harvest-data.pdf"
"HARVEST DATA","2022 henry mountains","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/884746C2__2022-henry-mountains.pdf"
"HARVEST DATA","2022 le oial all","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/968EFF87__2022_le_oial_all.pdf"
"HARVEST DATA","2022 mineral mtns","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/C9789032__2022-mineral-mtns.pdf"
"HARVEST DATA","2022 nine mile gray canyon","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/D3E39E3F__2022-nine-mile-gray-canyon.pdf"
"HARVEST DATA","2022 oak creek","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/D09A33C9__2022-oak-creek.pdf"
"HARVEST DATA","2022 san rafael dirty devil","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/ECBBF5FB__2022-san-rafael-dirty-devil.pdf"
"HARVEST DATA","21 bg report","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/21_bg_report.pdf"
"HARVEST DATA","21 black bear report","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/21_black_bear_report.pdf"
"HARVEST DATA","Antlerless big game","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/d6cae860__Antlerless big game.pdf"
"HARVEST DATA","bear 2022","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/99d034bd__bear_2022.pdf"
"HARVEST DATA","conflict 20260506181037","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/21_black_bear_report__conflict_20260506181037.pdf"
"HARVEST DATA","cougar 2022","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/9cb7bd59__cougar_2022.pdf"
"HARVEST DATA","General season buck deer","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/442a70d8__General-season buck deer.pdf"
"HARVEST DATA","Limited entry and once in a lifetime species","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/19275c81__Limited-entry and once-in-a-lifetime species.pdf"
"HARVEST DATA","mixed 2022 23","pdf","2022","./pipeline/RAW/hunt_unit_database/2022/pdf/harvest_report/7406bf15__mixed_2022-23.pdf"
"HARVEST DATA","20 bg harvest report","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/20_bg_harvest_report.pdf"
"HARVEST DATA","20 bg report","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/20_bg_report.pdf"
"HARVEST DATA","20 black bear report","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/20_black_bear_report.pdf"
"HARVEST DATA","2021","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/b03e968a__2021.pdf"
"HARVEST DATA","2021 antlerless hr","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/2A5894B9__2021_antlerless_hr.pdf"
"HARVEST DATA","2021 antlerless hr","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/84EA3C5A__2021_antlerless_hr.pdf"
"HARVEST DATA","2021 box elder newfoundland mtn","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/77105EC4__2021-box-elder-newfoundland-mtn.pdf"
"HARVEST DATA","2021 box elder pilot mtn","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/B7C6169F__2021-box-elder-pilot-mtn.pdf"
"HARVEST DATA","2021 gs buck deer hr","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/2795C467__2021_gs_buck_deer_hr.pdf"
"HARVEST DATA","2021 harvest data","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/ABB95D60__2021-harvest-data.pdf"
"HARVEST DATA","2021 kaiparowits east west","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/9F8E4D0B__2021-kaiparowits-east-west.pdf"
"HARVEST DATA","2021 le oial all","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/6ACC2AEA__2021_le_oial_all.pdf"
"HARVEST DATA","2021 north slope bare top","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/043E31A3__2021-north-slope-bare-top.pdf"
"HARVEST DATA","2021 north slope goslin mtn","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/7AA56ADB__2021-north-slope-goslin-mtn.pdf"
"HARVEST DATA","2021 north slope red canyon","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/03E16E00__2021-north-slope-red-canyon.pdf"
"HARVEST DATA","2021 north slope sheep creek","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/670BA679__2021-north-slope-sheep-creek.pdf"
"HARVEST DATA","2021 san rafael north","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/1AAF42C7__2021-san-rafael-north.pdf"
"HARVEST DATA","2021 san rafael south","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/D014E894__2021-san-rafael-south.pdf"
"HARVEST DATA","2021 stansbury","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/86C2219B__2021-stansbury.pdf"
"HARVEST DATA","2021 zion","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/E8ECB6F8__2021-zion.pdf"
"HARVEST DATA","22 bg harvest report","pdf","2021","./pipeline/RAW/hunt_unit_database/2021/pdf/harvest_report/22_bg_harvest_report.pdf"
