hunt_code,hunt_name,species,field_2026,field_2025,value_2026_backfilled_from_dwr,value_2025,absolute_change,percent_change,change_flag,dwr_source_url
DB1269,North Promontory CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1269
DB1239,Fort Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1239
DB1325,Double Cone CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1325
EA1130,Double Cone CWMU,Elk,permits_2026_res,permits_2025_res,7,7,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1130
EB3515,Double Cone CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3515
EA1158,Cactus Ranch LLC CWMU,Elk,permits_2026_res,permits_2025_res,7,7,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1158
EB3545,Cactus Ranch LLC CWMU,Elk,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3545
DB1264,Mountain Meadow CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1264
DB1236,Engineer Springs CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1236
DB1233,East Fork Chalk Creek CWMU,Deer,permits_2026_res,permits_2025_res,4,4,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1233
EA1132,East Fork Chalk Creek CWMU,Elk,permits_2026_res,permits_2025_res,30,30,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1132
EB3517,East Fork Chalk Creek CWMU,Elk,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3517
MB6208,East Fork Chalk Creek CWMU,Moose,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6208
DB1304,Two Bear CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1304
EA1174,Two Bear CWMU,Elk,permits_2026_res,permits_2025_res,60,60,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1174
DB1237,Ensign Ranches CWMU,Deer,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1237
EA1134,Ensign Ranches CWMU,Elk,permits_2026_res,permits_2025_res,60,60,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1134
EB3519,Ensign Ranches CWMU,Elk,permits_2026_res,permits_2025_res,6,4,2.0,50.00,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3519
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,permits_2026_res,permits_2025_res,9,9,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1349
EA1263,Weber Florence Creek/Stillman Creek CWMU,Elk,permits_2026_res,permits_2025_res,35,35,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1263
EB3619,Weber Florence Creek/Stillman Creek CWMU,Elk,permits_2026_res,permits_2025_res,10,10,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3619
MB6266,Weber Florence Creek/Stillman Creek CWMU,Moose,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6266
DB1242,Grass Valley/Clark Canyon CWMU,Deer,permits_2026_res,permits_2025_res,14,14,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1242
EA1136,Grass Valley/Clark Canyon CWMU,Elk,permits_2026_res,permits_2025_res,50,50,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1136
EB3521,Grass Valley/Clark Canyon CWMU,Elk,permits_2026_res,permits_2025_res,10,10,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3521
MB6211,Grass Valley/Clark Canyon CWMU,Moose,permits_2026_res,permits_2025_res,4,3,1.0,33.33,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6211
DB1200,Alton - Premium Buck CWMU,Deer,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1200
DB1201,Alton - Management Buck CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1201
DB1334,Alton - Cactus Buck CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1334
EA1118,Alton CWMU,Elk,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1118
EB3500,Alton CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3500
DB1205,Bar J Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1205
EA1119,Bar J Ranch CWMU,Elk,permits_2026_res,permits_2025_res,12,12,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1119
EB3501,Bar J Ranch CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3501
DB1213,Boobe Hole CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1213
EA1121,Boobe Hole CWMU,Elk,permits_2026_res,permits_2025_res,10,10,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1121
EB3505,Boobe Hole CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3505
DB1243,Grazing Pasture CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1243
EA1137,Grazing Pasture CWMU,Elk,permits_2026_res,permits_2025_res,9,9,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1137
EB3522,Grazing Pasture CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3522
DB1255,Johnson Mountain Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1255
EA1145,Johnson Mountain Ranch CWMU,Elk,permits_2026_res,permits_2025_res,20,20,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1145
EB3531,Johnson Mountain Ranch CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3531
DA1013,Mt Carmel CWMU,Deer,permits_2026_res,permits_2025_res,5,5,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1013
DB1266,Mt Carmel CWMU,Deer,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1266
DB1271,Oak Ranch CWMU,Deer,permits_2026_res,permits_2025_res,3,2,1.0,50.00,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1271
DB1272,Old Woman Plateau CWMU,Deer,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1272
EA1153,Old Woman Plateau CWMU,Elk,permits_2026_res,permits_2025_res,4,4,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1153
EB3540,Old Woman Plateau CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3540
PB5315,Zane CWMU,Pronghorn,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5315
PD1049,Zane CWMU,Pronghorn,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1049
DB1287,Scofield Canyons CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1287
EA1161,Scofield Canyons CWMU,Elk,permits_2026_res,permits_2025_res,9,9,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1161
EB3548,Scofield Canyons CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3548
EA1162,Scofield East CWMU,Elk,permits_2026_res,permits_2025_res,14,14,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1162
EB3549,Scofield East CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3549
DB1288,Scofield West CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1288
EA1163,Scofield West CWMU,Elk,permits_2026_res,permits_2025_res,19,19,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1163
EB3550,Scofield West CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3550
DB1279,Preston Nutter Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1279
EA1156,Preston Nutter Ranch CWMU,Elk,permits_2026_res,permits_2025_res,21,21,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1156
EB3543,Preston Nutter Ranch CWMU,Elk,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3543
DB1283,Roan Cliffs CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1283
EA1159,Roan Cliffs CWMU,Elk,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1159
EB3546,Roan Cliffs CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3546
DB1216,Castle Valley Outdoors CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1216
PB5338,Castle Valley Outdoors CWMU,Pronghorn,permits_2026_res,permits_2025_res,1,2,-1.0,-50.00,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5338
DB1295,Spring Creek/Dodge CWMU,Deer,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1295
EA1168,Spring Creek/Dodge CWMU,Elk,permits_2026_res,permits_2025_res,15,14,1.0,7.14,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1168
EB3555,Spring Creek/Dodge CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3555
DB1299,Summit Point CWMU,Deer,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1299
EA1171,Summit Point CWMU,Elk,permits_2026_res,permits_2025_res,5,5,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1171
EB3558,Summit Point CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3558
DB1282,Redd Ranches CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1282
EA1157,Redd Ranches CWMU,Elk,permits_2026_res,permits_2025_res,35,35,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1157
EB3544,Redd Ranches CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3544
DB1253,Circle E Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1253
EA1143,Circle E Ranch CWMU,Elk,permits_2026_res,permits_2025_res,21,21,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1143
EB3529,Circle E Ranch CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3529
DB1249,Hiawatha CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1249
EA1141,Hiawatha CWMU,Elk,permits_2026_res,permits_2025_res,12,12,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1141
EB3526,Hiawatha CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3526
DB1261,Minnie Maud Ridge CWMU,Deer,permits_2026_res,permits_2025_res,5,5,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1261
EA1149,Minnie Maud Ridge CWMU,Elk,permits_2026_res,permits_2025_res,15,15,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1149
EB3536,Minnie Maud Ridge CWMU,Elk,permits_2026_res,permits_2025_res,5,5,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3536
DB1292,Soldier Summit CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1292
EA1166,Soldier Summit CWMU,Elk,permits_2026_res,permits_2025_res,16,14,2.0,14.29,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1166
EB3553,Soldier Summit CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3553
DB1301,Three C CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1301
EA1172,Three C CWMU,Elk,permits_2026_res,permits_2025_res,9,9,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1172
EB3559,Three C CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3559
DB1230,Double R Ranch CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1230
EA1200,Double R Ranch CWMU,Elk,permits_2026_res,permits_2025_res,10,10,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1200
EB3604,Double R Ranch CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3604
DB1248,Heaston East CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1248
