hunt_code,hunt_name,species,permits_2024,permits_2025,permits_2026,permit_change_pct_2025_to_2026,draw_family_changed,species_changed,change_flags,context_note
PB5004,"Box Elder, Puddle Valley",Pronghorn,,4,4,0,,,management_objective_missing,
PB5029,"Box Elder, Puddle Valley",Pronghorn,,16,16,0,,,management_objective_missing,
PB5005,"Box Elder, Snowville",Pronghorn,,10,10,0,,,management_objective_missing,
PB5030,"Box Elder, Snowville",Pronghorn,,30,31,3.33,,,permit_count_changed|management_objective_missing,
PB5080,"Box Elder, Snowville",Pronghorn,,7,10,42.86,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
PD1000,"Box Elder, Snowville",Pronghorn,,80,80,0,,,age_missing|management_objective_missing,
DA1001,"Box Elder, West Bear River",Deer,,26,30,15.38,,,permit_count_changed|age_missing|management_objective_missing,
DA1002,"Box Elder, West Bear River",Deer,,30,30,0,,,age_missing|management_objective_missing,
DB1078,Cache,Deer,,10,12,20,,,permit_count_changed|age_missing|management_objective_missing,
DB1502,Cache,Deer,,918,1160,26.36,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1627,Cache,Deer,,2705,3480,28.65,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1628,Cache,Deer,,399,1160,190.73,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1771,Cache,Deer,,141,588,317.02,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
EA1267,Cache,Elk,,90,90,0,,,age_missing|management_objective_missing,
EA2027,Cache,Elk,,,300,,,,new_hunts_2026|age_missing|management_objective_missing,
LO1502,Cache,Deer,,,,,,,age_missing|management_objective_missing,
LO1627,Cache,Deer,,,2,,,,new_hunts_2026|age_missing|management_objective_missing,
LO1628,Cache,Deer,,,2,,,,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,
MB6000,Cache,Moose,,15,17,13.33,,,permit_count_changed|management_objective_missing,
DB1026,"Cache, Crawford Mtn",Deer,,7,9,28.57,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
EB3003,"Cache, Meadowville",Elk,,11,10,-9.09,,,permit_count_changed|age_missing|management_objective_missing,
EB3032,"Cache, Meadowville",Elk,,5,4,-20,,,permit_count_changed|age_missing|management_objective_missing,
EB3033,"Cache, Meadowville",Elk,,8,7,-12.5,,,permit_count_changed|age_missing|management_objective_missing,
EB3081,"Cache, Meadowville",Elk,,7,6,-14.29,,,permit_count_changed|age_missing|management_objective_missing,
EB3105,"Cache, Meadowville",Elk,,1,1,0,,,management_objective_missing,
EB3168,"Cache, Meadowville",Elk,,3,5,66.67,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3169,"Cache, Meadowville",Elk,,15,12,-20,,,permit_count_changed|age_missing|management_objective_missing,
EL3003,Cache Meadowville,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3032,Cache Meadowville,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3033,Cache Meadowville,Elk,,,,,,,management_objective_missing,
EL3081,Cache Meadowville,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3168,Cache Meadowville,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
EL3169,Cache Meadowville,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
EB3132,"Cache, North",Elk,,28,24,-14.29,,,permit_count_changed|age_missing|management_objective_missing,
EB3139,"Cache, North",Elk,,28,24,-14.29,,,permit_count_changed|age_missing|management_objective_missing,
EL3132,Cache North,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
EL3139,Cache North,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
EA1010,"Cache, Rich",Elk,,20,20,0,,,age_missing|management_objective_missing,
EA1193,"Cache, Rich",Elk,,20,20,0,,,age_missing|management_objective_missing,
PB5073,"Cache, Rich",Pronghorn,,6,6,0,,,management_objective_missing,
PB5074,"Cache, Rich",Pronghorn,,2,2,0,,,management_objective_missing,
PB5075,"Cache, Rich",Pronghorn,,2,2,0,,,management_objective_missing,
EA1011,"Cache, Richards Hollow",Elk,,10,10,0,,,age_missing|management_objective_missing,
EA1012,"Cache, Richmond Hyde Park",Elk,,5,5,0,,,age_missing|management_objective_missing,
EA1206,"Cache, Richmond Hyde Park",Elk,,10,10,0,,,age_missing|management_objective_missing,
EB3005,"Cache, South",Elk,,9,11,22.22,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3036,"Cache, South",Elk,,3,4,33.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3037,"Cache, South",Elk,,6,7,16.67,,,permit_count_changed|age_missing|management_objective_missing,
EB3083,"Cache, South",Elk,,6,6,0,,,age_missing|management_objective_missing,
EB3107,"Cache, South",Elk,,1,1,0,,,management_objective_missing,
EB3170,"Cache, South",Elk,,5,5,0,,,age_missing|management_objective_missing,
EB3171,"Cache, South",Elk,,11,12,9.09,,,permit_count_changed|age_missing|management_objective_missing,
EL3005,Cache South,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3036,Cache South,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3037,Cache South,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3083,Cache South,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3170,Cache South,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
EL3171,Cache South,Elk,,,,,,,age_missing|management_objective_missing,
EA1013,"Manti, Central",Elk,,70,70,0,,,management_objective_missing,
EA1015,"Manti, Ferron Canyon",Elk,,69,70,1.45,,,permit_count_changed|age_missing|management_objective_missing,
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,,100,100,0,,,age_missing|management_objective_missing,
EA1018,"Manti, Horn Mtn",Elk,,60,60,0,,,age_missing|management_objective_missing,
EA2011,Manti,Elk,,,300,,,,new_hunts_2026|management_objective_missing,
EB3006,Manti,Elk,,172,165,-4.07,,,permit_count_changed|age_missing|management_objective_missing,
EB3038,Manti,Elk,,70,68,-2.86,,,permit_count_changed|age_missing|management_objective_missing,
EB3039,Manti,Elk,,117,113,-3.42,,,permit_count_changed|age_missing|management_objective_missing,
EB3084,Manti,Elk,,102,99,-2.94,,,permit_count_changed|age_missing|management_objective_missing,
EB3108,Manti,Elk,,21,20,-4.76,,,permit_count_changed|management_objective_missing,
EB3126,Manti,Elk,,202,195,-3.47,,,permit_count_changed|age_missing|management_objective_missing,
EB3172,Manti,Elk,,10,10,0,,,age_missing|management_objective_missing,
EL3006,Manti,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3038,Manti,Elk,,,,,,,management_objective_missing,
EL3039,Manti,Elk,,,,,,,management_objective_missing,
EL3084,Manti,Elk,,,,,,,management_objective_missing,
EL3126,Manti,Elk,,,,,,,management_objective_missing,
EL3172,Manti,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
BR7003,Manti North,Black Bear,,18,19,5.56,,,permit_count_changed|management_objective_missing,
BR7104,Manti North,Black Bear,,13,18,38.46,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7203,Manti North,Black Bear,,11,11,0,,,management_objective_missing,
BR7303,Manti North,Black Bear,,11,14,27.27,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
EA1020,"Manti, Mohrland-Stump Flat",Elk,,120,120,0,,,age_missing|management_objective_missing,
EA1022,"Manti, North",Elk,,300,300,0,,,management_objective_missing,
DB1100,Chalk Creek,Deer,,11,11,0,,,age_missing|management_objective_missing,
DB1599,Chalk Creek,Deer,,800,880,10,,,permit_count_changed|age_missing|management_objective_missing,
DB1600,Chalk Creek,Deer,,252,440,74.6,,,permit_count_changed|permit_change_gt_20_percent|age_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1601,Chalk Creek,Deer,,321,440,37.07,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1602,Chalk Creek,Deer,,168,440,161.9,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1799,Chalk Creek,Deer,,19,292,1436.84,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
EA1026,Chalk Creek,Elk,,260,350,34.62,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EA2004,Chalk Creek,Elk,,,600,,,,new_hunts_2026|age_missing|management_objective_missing,
LO1599,Chalk Creek,Deer,,,,,,,age_missing|management_objective_missing,
LO1600,Chalk Creek,Deer,,,,,,,harvest_missing|age_missing|management_objective_missing,
LO1601,Chalk Creek,Deer,,,,,,,age_missing|management_objective_missing,
LO1602,Chalk Creek,Deer,,,,,,,harvest_missing|age_missing|management_objective_missing,
MB6001,Chalk Creek,Moose,,3,4,33.33,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
RS6721,"Oquirrh-Stansbury, West",Rocky Mountain Bighorn Sheep,,3,3,0,,,management_objective_missing,
DA1027,"East Canyon, Davis-North Salt Lake",Deer,,30,30,0,,,age_missing|management_objective_missing,
MB6003,"East Canyon, Morgan-Summit",Moose,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
LP5033,"Fillmore, Oak Creek South - Private Land Only",Pronghorn,,,,,,,management_objective_missing,
PB5008,"Fillmore, Oak Creek South",Pronghorn,,14,17,21.43,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
PB5033,"Fillmore, Oak Creek South",Pronghorn,,43,51,18.6,,,permit_count_changed|age_missing|management_objective_missing,
PB5065,"Fillmore, Oak Creek South",Pronghorn,,15,17,13.33,,,permit_count_changed|management_objective_missing,
PD1034,"Fillmore, Oak Creek South",Pronghorn,,30,30,0,,,management_objective_missing,
PD1035,"Fillmore, Oak Creek South",Pronghorn,,30,30,0,,,management_objective_missing,
DB1012,"Fillmore, Oak Creek LE",Deer,,12,13,8.33,,,permit_count_changed|age_missing|management_objective_missing,
DB1019,"Fillmore, Oak Creek LE",Deer,,32,37,15.63,,,permit_count_changed|age_missing|management_objective_missing,
DB1029,"Fillmore, Oak Creek LE",Deer,,12,13,8.33,,,permit_count_changed|age_missing|management_objective_missing,
DB1045,"Fillmore, Oak Creek LE",Deer,,2,2,0,,,age_missing|management_objective_missing,
EA1209,"Fillmore, Oak Creek LE",Elk,,50,50,0,,,management_objective_missing,
LD1019,"Fillmore, Oak Creek LE - Private Land Only",Deer,,,,,,,age_missing|management_objective_missing,
EA2036,"Oquirrh-Stansbury, East",Elk,,60,60,0,,,management_objective_missing,
BR7007,Fillmore Pahvant,Black Bear,,1,1,0,,,age_missing|management_objective_missing,
BR7124,Fillmore Pahvant,Black Bear,,1,2,100,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7207,Fillmore Pahvant,Black Bear,,1,1,0,,,age_missing|management_objective_missing,
EA1030,"Fillmore, Pahvant",Elk,,50,50,0,,,management_objective_missing,
EA1031,"Fillmore, Pahvant",Elk,,50,50,0,,,management_objective_missing,
EA2039,"Fillmore, Pahvant",Elk,,,150,,,,new_hunts_2026|age_missing|management_objective_missing,
EB3008,"Fillmore, Pahvant",Elk,,20,21,5,,,permit_count_changed|age_missing|management_objective_missing,
EB3042,"Fillmore, Pahvant",Elk,,9,9,0,,,age_missing|management_objective_missing,
EB3043,"Fillmore, Pahvant",Elk,,14,15,7.14,,,permit_count_changed|age_missing|management_objective_missing,
EB3086,"Fillmore, Pahvant",Elk,,13,13,0,,,age_missing|management_objective_missing,
EB3110,"Fillmore, Pahvant",Elk,,3,3,0,,,management_objective_missing,
EB3180,"Fillmore, Pahvant",Elk,,15,20,33.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3181,"Fillmore, Pahvant",Elk,,25,25,0,,,age_missing|management_objective_missing,
EL3008,Fillmore Pahvant,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3042,Fillmore Pahvant,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3043,Fillmore Pahvant,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3086,Fillmore Pahvant,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3180,Fillmore Pahvant,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3181,Fillmore Pahvant,Elk,,,,,,,management_objective_missing,
BR7017,Cache/Ogden,Black Bear,,2,2,0,,,management_objective_missing,
BR7121,Cache/Ogden,Black Bear,,2,4,100,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7228,Cache/Ogden,Black Bear,,1,1,0,,,management_objective_missing,
BR7320,Cache/Ogden,Black Bear,,1,4,300,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,,6,7,16.67,,,permit_count_changed|management_objective_missing,
BI6503,Henry Mtns,Bison,,6,6,0,,,age_missing|management_objective_missing,
BI6504,Henry Mtns,Bison,,7,7,0,,,age_missing|management_objective_missing,
BI6505,Henry Mtns,Bison,,28,11,-60.71,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
BI6506,Henry Mtns,Bison,,30,11,-63.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
BI6509,Henry Mtns,Bison,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
BI6516,Henry Mtns,Bison,,5,6,20,,,permit_count_changed|age_missing|management_objective_missing,
BI6539,Henry Mtns,Bison,,,11,,,,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,
DB1003,Henry Mtns Premium,Deer,,24,27,12.5,,,permit_count_changed|management_objective_missing,
DB1005,Henry Mtns Premium,Deer,,9,9,0,,,management_objective_missing,
DB1007,Henry Mtns Premium,Deer,,1,1,0,,,management_objective_missing,
DB1009,Henry Mtns Management,Deer,,11,11,0,,,age_missing|management_objective_missing,
DS6600,Henry Mtns,Desert Bighorn Sheep,,3,3,0,,,age_missing|management_objective_missing,
EA1077,Boulder-Circle Cliffs,Elk,,30,30,0,,,age_missing|management_objective_missing,
PB5034,Kaiparowits,Pronghorn,,2,2,0,,,management_objective_missing,
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,,,1,,,,new_hunts_2026|age_missing|management_objective_missing,
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,,11,13,18.18,,,permit_count_changed|age_missing|management_objective_missing,
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,,,1,,,,new_hunts_2026|age_missing|management_objective_missing,
DS6603,"Kaiparowits, West",Desert Bighorn Sheep,,5,4,-20,,,permit_count_changed|age_missing|management_objective_missing,
GO6804,High Uintas Kamas,Mountain Goat,,1,1,0,,,management_objective_missing,
EA1035,"Kamas, Oakley",Elk,,115,125,8.7,,,permit_count_changed|age_missing|management_objective_missing,
EA1207,"Nebo, Moroni Hills",Elk,,10,10,0,,,age_missing|management_objective_missing,
EA1226,"Nebo, Moroni Hills",Elk,,9,10,11.11,,,permit_count_changed|age_missing|management_objective_missing,
BR7021,Dolores Triangle,Black Bear,,,2,,,,new_hunts_2026|harvest_missing|management_objective_missing,
BR7126,Dolores Triangle,Black Bear,,,6,,,,new_hunts_2026|harvest_missing|management_objective_missing,
BR7238,Dolores Triangle,Black Bear,,,2,,,,new_hunts_2026|harvest_missing|management_objective_missing,
DB1013,Dolores Triangle,Deer,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1020,Dolores Triangle,Deer,,12,15,25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1031,Dolores Triangle,Deer,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1118,Dolores Triangle,Deer,,,,,,,harvest_missing|age_missing|management_objective_missing,
EA1037,Dolores Triangle,Elk,,50,50,0,,,management_objective_missing,
EB3044,Dolores Triangle,Elk,,7,7,0,,,age_missing|management_objective_missing,
EL3044,La Sal Dolores Triangle,Elk,,,,,,,harvest_missing|management_objective_missing,
PD1033,"San Rafael, Poison Springs Bench",Pronghorn,,15,15,0,,,age_missing|management_objective_missing,
DA1003,"Monroe/Plateau, Sevier Valley",Deer,,15,15,0,,,age_missing|management_objective_missing,
EA1231,"West Desert, Tintic Valley",Elk,,50,50,0,,,management_objective_missing,
EA2019,"West Desert, Tintic Valley",Elk,,,60,,,,new_hunts_2026|management_objective_missing,
DB1103,Morgan-South Rich,Deer,,7,8,14.29,,,permit_count_changed|age_missing|management_objective_missing,
DB1607,Morgan-South Rich,Deer,,621,640,3.06,,,permit_count_changed|age_missing|management_objective_missing,
DB1608,Morgan-South Rich,Deer,,180,320,77.78,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1609,Morgan-South Rich,Deer,,230,320,39.13,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1610,Morgan-South Rich,Deer,,87,320,267.82,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1801,Morgan-South Rich,Deer,,11,211,1818.18,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
EA1228,Morgan-South Rich,Elk,,71,75,5.63,,,permit_count_changed|age_missing|management_objective_missing,
EA1229,Morgan-South Rich,Elk,,160,160,0,,,age_missing|management_objective_missing,
EA2002,Morgan-South Rich,Elk,,,600,,,,new_hunts_2026|age_missing|management_objective_missing,
EB3208,Morgan-South Rich,Elk,,10,10,0,,,age_missing|management_objective_missing,
EL3208,Morgan-South Rich,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
LO1607,Morgan-South Rich,Deer,,,,,,,age_missing|management_objective_missing,
LO1608,Morgan-South Rich,Deer,,,,,,,age_missing|management_objective_missing,
LO1609,Morgan-South Rich,Deer,,,,,,,harvest_missing|age_missing|management_objective_missing,
LO1610,Morgan-South Rich,Deer,,,,,,,harvest_missing|age_missing|management_objective_missing,
MA1005,Morgan-South Rich,Moose,,7,7,0,,,management_objective_missing,
MA1007,Morgan-South Rich,Moose,,3,3,0,,,age_missing|management_objective_missing,
MB6005,Morgan-South Rich,Moose,,6,6,0,,,management_objective_missing,
EA1044,"Morgan-South Rich, South Rich",Elk,,34,35,2.94,,,permit_count_changed|age_missing|management_objective_missing,
EA2034,"Nine Mile, Anthro",Elk,,9,200,2122.22,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EA2008,"Nine Mile, Anthro-Myton Bench",Elk,,,250,,,,new_hunts_2026|management_objective_missing,
PB5011,"Nine Mile, Anthro-Myton Bench",Pronghorn,,32,33,3.13,,,permit_count_changed|management_objective_missing,
PB5037,"Nine Mile, Anthro-Myton Bench",Pronghorn,,96,99,3.13,,,permit_count_changed|management_objective_missing,
PB5059,"Nine Mile, Anthro-Myton Bench",Pronghorn,,32,33,3.13,,,permit_count_changed|management_objective_missing,
EA1054,"Nine Mile, West Anthro",Elk,,49,50,2.04,,,permit_count_changed|management_objective_missing,
EA1056,"North Slope, Greendale",Elk,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
EA1058,"North Slope, Henrys Fork-Burnt Fork",Elk,,95,100,5.26,,,permit_count_changed|management_objective_missing,
EA1196,"North Slope, Summit",Elk,,75,75,0,,,management_objective_missing,
EA1268,"North Slope, Summit",Elk,,81,200,146.91,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
MB6006,"North Slope, Summit",Moose,,22,23,4.55,,,permit_count_changed|age_missing|management_objective_missing,
PB5039,"North Slope, Summit",Pronghorn,,17,17,0,,,management_objective_missing,
EA1273,"North Slope, Three Corners",Elk,,23,25,8.7,,,permit_count_changed|age_missing|management_objective_missing,
EA1274,"North Slope, Three Corners",Elk,,16,25,56.25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EA1277,"North Slope, Three Corners",Elk,,24,25,4.17,,,permit_count_changed|age_missing|management_objective_missing,
EB3013,"North Slope, Three Corners",Elk,,7,7,0,,,age_missing|management_objective_missing,
EB3053,"North Slope, Three Corners",Elk,,10,10,0,,,age_missing|management_objective_missing,
EB3091,"North Slope, Three Corners",Elk,,4,4,0,,,age_missing|management_objective_missing,
EB3115,"North Slope, Three Corners",Elk,,1,1,0,,,management_objective_missing,
EB3210,"North Slope, Three Corners",Elk,,5,5,0,,,age_missing|management_objective_missing,
EL3013,North Slope Three Corners,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3053,North Slope Three Corners,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3091,North Slope Three Corners,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3210,North Slope Three Corners,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
RS6708,"North Slope, Three Corners",Rocky Mountain Bighorn Sheep,,3,2,-33.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EA1060,"North Slope, West Daggett",Elk,,18,20,11.11,,,permit_count_changed|management_objective_missing,
EA1061,"North Slope, West Daggett",Elk,,20,20,0,,,management_objective_missing,
EA1250,"North Slope, West Daggett",Elk,,30,30,0,,,management_objective_missing,
EA2005,"North Slope, West Daggett",Elk,,,100,,,,new_hunts_2026|management_objective_missing,
