workbook,pdf_exists,row_number,hunt_code,hunt_name,species,age_cell_value,hard_data_age,hard_data_reported_hunt_year,hard_data_source_file,status
2026 BLACK BEAR DRAW.xlsx,true,31,BR7020,Monroe,Black Bear,9,9,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,32,BR7021,Dolores Triangle,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,33,BR7022,La Sal Mtns,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,34,BR7100,Beaver,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,35,BR7101,Book Cliffs Bitter Creek/South,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,36,BR7102,Book Cliffs Little Creek Roadless,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,37,BR7104,Manti North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,38,BR7105,Manti South/San Rafael North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,39,BR7106,Nebo,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,40,BR7109,Mt Dutton,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,41,BR7110,Nine Mile,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,42,BR7111,North Slope Three Corners/West Daggett,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,43,BR7112,Panguitch Lake/Zion,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,44,BR7113,Paunsaugunt,Black Bear,3,3,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,45,BR7114,Boulder/Kaiparowits,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,46,BR7115,Fishlake/Thousand Lakes,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,47,BR7116,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,48,BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,49,BR7118,Yellowstone,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,50,BR7119,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,51,BR7120,Wasatch Mtns West-Central,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,52,BR7121,Cache/Ogden,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,53,BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,54,BR7123,Kamas/North Slope Summit,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,55,BR7124,Fillmore Pahvant,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,56,BR7125,Monroe,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,57,BR7126,Dolores Triangle,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,58,BR7127,La Sal Mtns,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,59,BR7200,Beaver,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,60,BR7201,Book Cliffs Bitter Creek/South,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,61,BR7203,Manti North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,62,BR7204,Manti South/San Rafael North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,63,BR7205,Nebo,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,64,BR7207,Fillmore Pahvant,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,65,BR7210,Mt Dutton,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,66,BR7211,Nine Mile,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,67,BR7212,North Slope Three Corners/West Daggett,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,68,BR7213,Panguitch Lake/Zion,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,69,BR7214,Paunsaugunt,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,70,BR7215,Boulder/Kaiparowits,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,71,BR7216,Fishlake/Thousand Lakes,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,72,BR7217,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,73,BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,74,BR7219,Yellowstone,Black Bear,5.3,5.3,2021,21_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,75,BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,76,BR7221,Wasatch Mtns West-Central,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,77,BR7224,Book Cliffs Little Creek Roadless,Black Bear,12.3,12.3,2021,21_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,78,BR7225,Book Cliffs Little Creek Roadless,Black Bear,12.3,12.3,2021,21_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,79,BR7228,Cache/Ogden,Black Bear,5.5,5.5,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,80,BR7229,Kamas/North Slope Summit,Black Bear,4.2,4.2,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,81,BR7237,Monroe,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,82,BR7238,Dolores Triangle,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,83,BR7239,La Sal Mtns,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,84,BR7300,Book Cliffs Bitter Creek/South,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,85,BR7301,Book Cliffs Little Creek Roadless,Black Bear,12.3,12.3,2021,21_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,86,BR7303,Manti North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,87,BR7304,Manti South/San Rafael North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,88,BR7305,Nebo,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,89,BR7307,La Sal,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,90,BR7308,North Slope Three Corners/West Daggett,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,91,BR7309,Panguitch Lake/Zion,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,92,BR7310,Boulder/Kaiparowits,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,93,BR7311,Fishlake/Thousand Lakes,Black Bear,6,6,2021,21_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,94,BR7312,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,95,BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,96,BR7314,Yellowstone,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,97,BR7315,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,98,BR7316,Wasatch Mtns West-Central,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,99,BR7317,Nine Mile,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,100,BR7318,Beaver,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,101,BR7320,Cache/Ogden,Black Bear,5.5,5.5,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,102,BR7321,Kamas/North Slope Summit,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,103,BR7322,Mt Dutton,Black Bear,4.5,4.5,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,104,BR7323,Paunsaugunt,Black Bear,3,3,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,105,BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,3.5,3.5,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,106,BR7325,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,107,BR7326,La Sal Mtns,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 COUGAR DRAW.xlsx,true,2,CG9999,Cougar - Statewide,Cougar,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS CWMU.xlsx,true,2,DA1011,George Creek CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS CWMU.xlsx,true,3,DA1012,Junction Valley CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS CWMU.xlsx,true,4,DA1013,Mt Carmel CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS CWMU.xlsx,true,5,DA1050,The Rose of Snowville CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,2,DA1001,"Box Elder, West Bear River",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,3,DA1002,"Box Elder, West Bear River",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,4,DA1003,"Monroe/Plateau, Sevier Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,5,DA1009,"Pine Valley, Enterprise",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,6,DA1011,George Creek CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,7,DA1012,Junction Valley CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,8,DA1013,Mt Carmel CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,9,DA1018,"Pine Valley, New Harmony",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,10,DA1027,"East Canyon, Davis-North Salt Lake",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,11,DA1030,"Nine Mile, Price River Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,12,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,13,DA1033,"San Juan, Monticello",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,14,DA1041,"Nine Mile, Green River Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,15,DA1042,"San Juan, Monticello",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,16,DA1045,"Fillmore, Oak City",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,17,DA1046,"Nine Mile, Price River Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,18,DA1047,Vernal-Ouray Valley,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,19,DA1048,Fillmore City,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,20,DA1049,"Vernal, Ashley Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,true,21,DA1050,The Rose of Snowville CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,2,DA1001,"Box Elder, West Bear River",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,3,DA1002,"Box Elder, West Bear River",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,4,DA1003,"Monroe/Plateau, Sevier Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,5,DA1009,"Pine Valley, Enterprise",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,6,DA1011,George Creek CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,7,DA1012,Junction Valley CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,8,DA1013,Mt Carmel CWMU,Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,9,DA1018,"Pine Valley, New Harmony",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,10,DA1027,"East Canyon, Davis-North Salt Lake",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,11,DA1030,"Nine Mile, Price River Valley",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,12,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 DEER ANTLERLESS DRAW.xlsx,true,13,DA1033,"San Juan, Monticello",Deer,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
