file,rows,species,sex_type,hunt_type,weapon,hunt_class_split,res_permit_rows,nr_permit_rows,total_permit_rows,season_rows,average_harvest_age_rows,notes_rows,database_code_join_rows,database_name_join_rows,database_missing_join_rows,status
2026 DEER BUCK P.L.E MULTISEASON.xlsx,2,DEER,BUCK,P.L.E,MULTISEASON,,2,1,2,2,2,2,2,0,0,OK
2026 DEER BUCK P.L.E MUZZLELOADER.xlsx,2,DEER,BUCK,P.L.E,MUZZLELOADER,,2,2,2,2,1,2,2,0,0,OK
2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx,10,DEER,BUCK,L.E,ANY LEGAL WEAPON,,10,10,10,10,0,10,10,0,0,OK
2026 DEER BUCK L.E ARCHERY.xlsx,6,DEER,BUCK,L.E,ARCHERY,,6,5,6,6,0,6,6,0,0,OK
2026 DEER BUCK L.E HAMSS HANDGUN ARCHERY MUZZLELOADER SHOTGUN OR STRAIGHT-WALLED RIFLE.xlsx,4,DEER,BUCK,L.E,HAMSS HANDGUN ARCHERY MUZZLELOADER SHOTGUN OR STRAIGHT-WALLED RIFLE,,4,4,4,4,0,4,4,0,0,OK
2026 DEER BUCK L.E MULTISEASON.xlsx,5,DEER,BUCK,L.E,MULTISEASON,,5,2,5,5,0,5,5,0,0,OK
2026 DEER BUCK L.E MUZZLELOADER.xlsx,38,DEER,BUCK,L.E,MUZZLELOADER,,38,37,38,38,0,38,38,0,0,OK
2026 DEER BUCK L.E RESTRICTED ARCHERY.xlsx,1,DEER,BUCK,L.E,RESTRICTED ARCHERY,,1,1,1,1,0,1,1,0,0,OK
2026 DEER BUCK L.E RESTRICTED MULTISEASON.xlsx,1,DEER,BUCK,L.E,RESTRICTED MULTISEASON,,1,0,1,1,0,1,1,0,0,OK
2026 DEER BUCK L.E RESTRICTED MUZZLELOADER.xlsx,1,DEER,BUCK,L.E,RESTRICTED MUZZLELOADER,,1,1,1,1,0,1,1,0,0,OK
2026 DEER BUCK L.E RESTRICTED RIFLE.xlsx,1,DEER,BUCK,L.E,RESTRICTED RIFLE,,1,1,1,1,0,1,1,0,0,OK
2026 DEER BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,4,DEER,BUCK,L.E - PRIVATE LAND ONLY,ANY LEGAL WEAPON,,0,0,0,4,1,4,4,0,0,OK
2026 DEER BUCK L.E - PRIVATE LAND ONLY ARCHERY.xlsx,2,DEER,BUCK,L.E - PRIVATE LAND ONLY,ARCHERY,,0,0,0,2,1,2,2,0,0,OK
2026 DEER BUCK L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,1,DEER,BUCK,L.E - PRIVATE LAND ONLY,MUZZLELOADER,,0,0,0,1,1,1,1,0,0,OK
2026 DEER BUCK L.E - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,1,DEER,BUCK,L.E - PRIVATE LAND ONLY,RESTRICTED RIFLE,,0,0,0,1,0,1,1,0,0,OK
2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON EARLY.xlsx,12,DEER,BUCK,GENERAL SEASON,ANY LEGAL WEAPON EARLY,,0,0,12,12,0,12,12,0,0,OK
2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON LATE.xlsx,28,DEER,BUCK,GENERAL SEASON,ANY LEGAL WEAPON LATE,,0,0,28,28,0,28,28,0,0,OK
2026 DEER BUCK GENERAL SEASON ARCHERY.xlsx,31,DEER,BUCK,GENERAL SEASON,ARCHERY,,0,0,31,31,0,31,31,0,0,OK
2026 DEER BUCK GENERAL SEASON DEDICATED HUNTER.xlsx,31,DEER,BUCK,GENERAL SEASON,DEDICATED HUNTER,,0,0,31,31,0,31,31,0,0,OK
2026 DEER BUCK GENERAL SEASON MUZZLELOADER.xlsx,28,DEER,BUCK,GENERAL SEASON,MUZZLELOADER,,0,0,28,28,0,28,28,0,0,OK
2026 DEER BUCK GENERAL SEASON RESTRICTED MUZZLELOADER.xlsx,3,DEER,BUCK,GENERAL SEASON,RESTRICTED MUZZLELOADER,,0,0,3,3,0,3,3,0,0,OK
2026 DEER BUCK GENERAL SEASON RESTRICTED RIFLE.xlsx,3,DEER,BUCK,GENERAL SEASON,RESTRICTED RIFLE,,0,0,3,3,0,3,3,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,36,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,ANY LEGAL WEAPON,,0,0,17,36,0,36,36,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON EARLY.xlsx,1,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,ANY LEGAL WEAPON EARLY,,0,0,1,1,0,1,1,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,3,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,ANY LEGAL WEAPON LATE,,0,0,0,3,0,3,3,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ARCHERY.xlsx,31,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,ARCHERY,,0,0,0,31,0,31,31,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY MUZZLELOADER.xlsx,28,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,MUZZLELOADER,,0,0,0,28,0,28,28,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED MUZZLELOADER.xlsx,3,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,RESTRICTED MUZZLELOADER,,0,0,1,3,0,3,3,0,0,OK
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,3,DEER,BUCK,GENERAL SEASON - PRIVATE LAND ONLY,RESTRICTED RIFLE,,0,0,1,3,0,3,3,0,0,OK
2026 DEER BUCK CWMU ANY LEGAL WEAPON.xlsx,110,DEER,BUCK,CWMU,ANY LEGAL WEAPON,,0,0,110,110,0,110,110,0,0,OK
2026 DEER BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,1,DEER,BUCK,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 DEER BUCK CACTUS BUCK ANY LEGAL WEAPON.xlsx,1,DEER,BUCK,CACTUS BUCK,ANY LEGAL WEAPON,,1,1,1,1,1,1,1,0,0,OK
2026 DEER BUCK CONSERVATION ANY LEGAL WEAPON.xlsx,1,DEER,BUCK,CONSERVATION,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 DEER BUCK CONSERVATION ARCHERY.xlsx,1,DEER,BUCK,CONSERVATION,ARCHERY,,0,0,0,1,0,1,1,0,0,OK
2026 DEER BUCK CONSERVATION MULTISEASON.xlsx,1,DEER,BUCK,CONSERVATION,MULTISEASON,,0,0,0,1,0,1,1,0,0,OK
2026 DEER BUCK CONSERVATION MUZZLELOADER.xlsx,1,DEER,BUCK,CONSERVATION,MUZZLELOADER,,0,0,0,1,0,1,1,0,0,OK
2026 DEER BUCK MANAGEMENT BUCK DEER ANY LEGAL WEAPON.xlsx,3,DEER,BUCK,MANAGEMENT BUCK DEER,ANY LEGAL WEAPON,,3,2,3,3,1,3,3,0,0,OK
2026 DEER BUCK MANAGEMENT BUCK DEER ARCHERY.xlsx,1,DEER,BUCK,MANAGEMENT BUCK DEER,ARCHERY,,1,1,1,1,1,1,1,0,0,OK
2026 DEER BUCK MANAGEMENT BUCK DEER MUZZLELOADER.xlsx,1,DEER,BUCK,MANAGEMENT BUCK DEER,MUZZLELOADER,,1,1,1,1,1,1,1,0,0,OK
2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx,4,DEER,BUCK,TRIBAL,ANY LEGAL WEAPON,,0,0,0,4,0,4,4,0,0,OK
2026 DEER BUCK TRIBAL ARCHERY.xlsx,3,DEER,BUCK,TRIBAL,ARCHERY,,0,0,0,3,0,3,3,0,0,OK
2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx,3,DEER,BUCK,TRIBAL,MUZZLELOADER,,0,0,0,3,0,3,3,0,0,OK
2026 DEER HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,1,DEER,HUNTERS CHOICE,EXTENDED ARCHERY,ARCHERY,,0,0,1,1,0,1,1,0,0,OK
2026 DESERT BIGHORN SHEEP RAM CONSERVATION ANY LEGAL WEAPON.xlsx,6,DESERT BIGHORN SHEEP,RAM,CONSERVATION,ANY LEGAL WEAPON,,6,0,6,6,0,6,6,0,0,OK
2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,17,DESERT BIGHORN SHEEP,RAM,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,17,5,17,17,2,17,17,0,0,OK
2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ARCHERY.xlsx,1,DESERT BIGHORN SHEEP,RAM,ONCE-IN-A-LIFETIME,ARCHERY,,1,0,1,1,0,1,1,0,0,OK
2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,98,ELK,ANTLERLESS,GENERAL SEASON,ANY LEGAL WEAPON,,95,95,98,98,56,98,98,0,0,OK
2026 ELK ANTLERLESS GENERAL SEASON ARCHERY.xlsx,9,ELK,ANTLERLESS,GENERAL SEASON,ARCHERY,,9,9,9,9,3,9,9,0,0,OK
2026 ELK ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,5,ELK,ANTLERLESS,GENERAL SEASON,MUZZLELOADER,,5,5,5,5,4,5,5,0,0,OK
2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,59,ELK,ANTLERLESS,CWMU,ANY LEGAL WEAPON,,0,0,59,59,0,59,59,0,0,OK
2026 ELK ANTLERLESS ANTLERLESS ELK CONTROL ANY LEGAL WEAPON.xlsx,1,ELK,ANTLERLESS,ANTLERLESS ELK CONTROL,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 ELK ANTLERLESS CONSERVATION ANY LEGAL WEAPON.xlsx,5,ELK,ANTLERLESS,CONSERVATION,ANY LEGAL WEAPON,,0,0,0,5,0,5,5,0,0,OK
2026 ELK ANTLERLESS PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,27,ELK,ANTLERLESS,PRIVATE LAND ONLY,ANY LEGAL WEAPON,,0,0,27,27,18,27,27,0,0,OK
2026 ELK BULL L.E ANY LEGAL WEAPON.xlsx,60,ELK,BULL,L.E,ANY LEGAL WEAPON,,60,57,60,60,0,60,60,0,0,OK
2026 ELK BULL L.E ARCHERY.xlsx,46,ELK,BULL,L.E,ARCHERY,,46,44,46,46,0,46,46,0,0,OK
2026 ELK BULL L.E MULTISEASON.xlsx,19,ELK,BULL,L.E,MULTISEASON,,19,3,19,19,17,19,19,0,0,OK
2026 ELK BULL L.E MUZZLELOADER.xlsx,20,ELK,BULL,L.E,MUZZLELOADER,,20,18,20,20,0,20,20,0,0,OK
2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,62,ELK,BULL,L.E - PRIVATE LAND ONLY,ANY LEGAL WEAPON,,0,0,0,62,45,62,62,0,0,OK
2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,1,ELK,BULL,L.E - PRIVATE LAND ONLY,ANY LEGAL WEAPON LATE,,0,0,0,1,0,1,1,0,0,OK
2026 ELK BULL L.E - PRIVATE LAND ONLY ARCHERY.xlsx,42,ELK,BULL,L.E - PRIVATE LAND ONLY,ARCHERY,,0,0,0,42,28,42,42,0,0,OK
2026 ELK BULL L.E - PRIVATE LAND ONLY HAMSS.xlsx,5,ELK,BULL,L.E - PRIVATE LAND ONLY,HAMSS,,0,0,0,5,1,5,5,0,0,OK
2026 ELK BULL L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,21,ELK,BULL,L.E - PRIVATE LAND ONLY,MUZZLELOADER,,0,0,0,21,18,21,21,0,0,OK
2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON GENERAL BULL.xlsx,3,ELK,BULL,GENERAL SEASON - ANY BULL,ANY LEGAL WEAPON,GENERAL BULL,0,0,3,3,0,3,3,0,0,OK
2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON YOUTH.xlsx,1,ELK,BULL,GENERAL SEASON - ANY BULL,ANY LEGAL WEAPON,YOUTH,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - ANY BULL MUZZLELOADER.xlsx,1,ELK,BULL,GENERAL SEASON - ANY BULL,MUZZLELOADER,,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - ARCHERY ARCHERY.xlsx,1,ELK,BULL,GENERAL SEASON - ARCHERY,ARCHERY,,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - SPIKE BULL ANY LEGAL WEAPON.xlsx,1,ELK,BULL,GENERAL SEASON - SPIKE BULL,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - SPIKE BULL MULTISEASON.xlsx,1,ELK,BULL,GENERAL SEASON - SPIKE BULL,MULTISEASON,,0,0,0,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - SPIKE BULL MUZZLELOADER.xlsx,1,ELK,BULL,GENERAL SEASON - SPIKE BULL,MUZZLELOADER,,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL GENERAL SEASON - YOUTH ANY LEGAL WEAPON.xlsx,1,ELK,BULL,GENERAL SEASON - YOUTH,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 ELK BULL CWMU ANY LEGAL WEAPON.xlsx,64,ELK,BULL,CWMU,ANY LEGAL WEAPON,,0,0,64,64,0,64,64,0,0,OK
2026 ELK BULL STATEWIDE ANY LEGAL WEAPON.xlsx,1,ELK,BULL,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 ELK BULL CONSERVATION MULTISEASON.xlsx,2,ELK,BULL,CONSERVATION,MULTISEASON,,0,0,2,2,0,2,2,0,0,OK
2026 ELK HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,1,ELK,HUNTERS CHOICE,EXTENDED ARCHERY,ARCHERY,,0,0,0,1,0,1,1,0,0,OK
2026 MOOSE ANTLERLESS L.E ANY LEGAL WEAPON.xlsx,2,MOOSE,ANTLERLESS,L.E,ANY LEGAL WEAPON,,2,2,2,2,1,2,2,0,0,OK
2026 MOOSE ANTLERLESS L.E ARCHERY.xlsx,1,MOOSE,ANTLERLESS,L.E,ARCHERY,,1,0,1,1,0,1,1,0,0,OK
2026 MOOSE ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,2,MOOSE,ANTLERLESS,CWMU,ANY LEGAL WEAPON,,0,0,2,2,0,2,2,0,0,OK
2026 MOOSE MALE ONLY CWMU ANY LEGAL WEAPON.xlsx,13,MOOSE,MALE ONLY,CWMU,ANY LEGAL WEAPON,,0,0,13,13,1,13,13,0,0,OK
2026 MOOSE MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,1,MOOSE,MALE ONLY,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 MOOSE MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,13,MOOSE,MALE ONLY,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,13,4,13,13,9,13,13,0,0,OK
2026 MOUNTAIN GOAT HUNTER'S CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,1,MOUNTAIN GOAT,HUNTER'S CHOICE,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,15,MOUNTAIN GOAT,HUNTER'S CHOICE,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,15,5,15,15,15,15,15,0,0,OK
2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,2,MOUNTAIN GOAT,HUNTER'S CHOICE,ONCE-IN-A-LIFETIME,ARCHERY,,2,0,2,2,1,2,2,0,0,OK
2026 PRONGHORN ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,13,PRONGHORN,ANTLERLESS,GENERAL SEASON,ANY LEGAL WEAPON,,13,13,13,13,2,13,13,0,0,OK
2026 PRONGHORN ANTLERLESS GENERAL SEASON ARCHERY.xlsx,1,PRONGHORN,ANTLERLESS,GENERAL SEASON,ARCHERY,,1,1,1,1,0,1,1,0,0,OK
2026 PRONGHORN ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,1,PRONGHORN,ANTLERLESS,GENERAL SEASON,MUZZLELOADER,,1,1,1,1,0,1,1,0,0,OK
2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,8,PRONGHORN,ANTLERLESS,CWMU,ANY LEGAL WEAPON,,0,0,8,8,0,8,8,0,0,OK
2026 PRONGHORN BUCK L.E ANY LEGAL WEAPON.xlsx,28,PRONGHORN,BUCK,L.E,ANY LEGAL WEAPON,,28,25,28,28,22,28,28,0,0,OK
2026 PRONGHORN BUCK L.E ARCHERY.xlsx,25,PRONGHORN,BUCK,L.E,ARCHERY,,25,20,25,25,25,25,25,0,0,OK
2026 PRONGHORN BUCK L.E MUZZLELOADER.xlsx,13,PRONGHORN,BUCK,L.E,MUZZLELOADER,,13,12,13,13,10,13,13,0,0,OK
2026 PRONGHORN BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,6,PRONGHORN,BUCK,L.E - PRIVATE LAND ONLY,ANY LEGAL WEAPON,,0,0,0,6,6,6,6,0,0,OK
2026 PRONGHORN BUCK CWMU ANY LEGAL WEAPON.xlsx,21,PRONGHORN,BUCK,CWMU,ANY LEGAL WEAPON,,0,0,21,21,0,21,21,0,0,OK
2026 PRONGHORN BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,1,PRONGHORN,BUCK,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 ROCKY MOUNTAIN BIGHORN SHEEP ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,1,ROCKY MOUNTAIN BIGHORN SHEEP,ANTLERLESS,GENERAL SEASON,ANY LEGAL WEAPON,,1,1,1,1,0,1,1,0,0,OK
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,1,ROCKY MOUNTAIN BIGHORN SHEEP,MALE ONLY,STATEWIDE,ANY LEGAL WEAPON,,1,0,1,1,0,1,1,0,0,OK
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY CONSERVATION ANY LEGAL WEAPON.xlsx,3,ROCKY MOUNTAIN BIGHORN SHEEP,MALE ONLY,CONSERVATION,ANY LEGAL WEAPON,,3,0,3,3,0,3,3,0,0,OK
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,14,ROCKY MOUNTAIN BIGHORN SHEEP,MALE ONLY,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,13,4,14,14,3,14,14,0,0,OK
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ARCHERY.xlsx,2,ROCKY MOUNTAIN BIGHORN SHEEP,MALE ONLY,ONCE-IN-A-LIFETIME,ARCHERY,,2,0,2,2,0,2,2,0,0,OK
2026 TURKEY BEARDED L.E ANY LEGAL WEAPON.xlsx,5,TURKEY,BEARDED,L.E,ANY LEGAL WEAPON,,0,0,5,5,0,5,5,0,0,OK
2026 TURKEY BEARDED SPRING GENERAL SEASON ANY LEGAL WEAPON.xlsx,1,TURKEY,BEARDED,SPRING GENERAL SEASON,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 TURKEY BEARDED CWMU ANY LEGAL WEAPON.xlsx,2,TURKEY,BEARDED,CWMU,ANY LEGAL WEAPON,,0,0,2,2,0,2,2,0,0,OK
2026 TURKEY BEARDED STATEWIDE ANY LEGAL WEAPON.xlsx,1,TURKEY,BEARDED,STATEWIDE,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 TURKEY BEARDED CONSERVATION ANY LEGAL WEAPON.xlsx,5,TURKEY,BEARDED,CONSERVATION,ANY LEGAL WEAPON,,0,0,0,5,0,5,5,0,0,OK
2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON.xlsx,2,TURKEY,EITHER SEX,FALL MANAGEMENT,ANY LEGAL WEAPON,MANAGEMENT,0,0,2,2,0,2,2,0,0,OK
2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON PRIVATE LAND ONLY.xlsx,2,TURKEY,EITHER SEX,FALL MANAGEMENT,ANY LEGAL WEAPON,PRIVATE LAND ONLY,0,0,2,2,0,2,2,0,0,OK
